<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10AV72,D,140225,000000,100,101.22,100,100.75,11317
RU000A10AV72,D,170225,000000,100.74,100.99,100.55,100.99,19071
RU000A10AV72,D,180225,000000,100.99,101.45,100.8,101.44,16518
RU000A10AV72,D,190225,000000,101.45,101.85,100.85,101.5,22888
RU000A10AV72,D,200225,000000,101.5,101.97,101.26,101.95,5544
RU000A10AV72,D,210225,000000,101.93,102.1,101.66,101.89,2053
RU000A10AV72,D,240225,000000,101.8,102.48,101.64,101.64,12066
RU000A10AV72,D,250225,000000,101.65,102.3,101.41,101.98,1573
RU000A10AV72,D,260225,000000,101.99,102,101.3,101.45,8211
RU000A10AV72,D,270225,000000,101.89,101.89,101.29,101.7,1668
RU000A10AV72,D,280225,000000,101.45,102.18,101.45,101.72,4501
RU000A10AV72,D,030325,000000,101.72,102.38,101.7,102.01,9032
RU000A10AV72,D,040325,000000,102.35,102.4,101.85,102.2,4839
RU000A10AV72,D,050325,000000,101.81,102.38,101.51,102.01,3593
RU000A10AV72,D,060325,000000,102.01,102.4,102.01,102.19,26723
RU000A10AV72,D,070325,000000,102.1,102.6,102.01,102.6,1678
RU000A10AV72,D,100325,000000,102.04,102.6,102.02,102.46,1674
RU000A10AV72,D,110325,000000,102.6,103.88,102.47,103.69,1921
RU000A10AV72,D,120325,000000,102.48,103.4,102.48,102.51,1225
RU000A10AV72,D,130325,000000,103,103.37,102.5,103.05,1606
RU000A10AV72,D,140325,000000,103,103.37,102.36,103.06,6525
RU000A10AV72,D,170325,000000,103.06,103.59,102,102.55,1527
RU000A10AV72,D,180325,000000,102.55,102.7,102.08,102.58,607
RU000A10AV72,D,190325,000000,103.18,103.2,102,102.34,6123
RU000A10AV72,D,200325,000000,102.34,102.75,102.04,102.39,600
RU000A10AV72,D,210325,000000,102.29,103.06,102.06,102.21,6296
RU000A10AV72,D,240325,000000,102.21,103,102.11,102.68,695
RU000A10AV72,D,250325,000000,103.04,103.05,102.32,102.49,264
RU000A10AV72,D,260325,000000,102.3,103.04,102.3,102.63,908
RU000A10AV72,D,270325,000000,102.99,102.99,102.35,102.73,353
RU000A10AV72,D,280325,000000,102.9,103.12,102.36,102.99,1817
RU000A10AV72,D,310325,000000,102.6,102.99,102.52,102.64,1605
RU000A10AV72,D,010425,000000,102.66,103.23,102.1,102.58,739
RU000A10AV72,D,020425,000000,102.58,102.58,102.11,102.5,199
RU000A10AV72,D,030425,000000,102.49,102.5,102.01,102.32,1561
RU000A10AV72,D,040425,000000,102.56,102.79,102,102.15,598
RU000A10AV72,D,070425,000000,102.3,102.3,99.44,101.66,11252
RU000A10AV72,D,080425,000000,101.99,101.99,101.23,101.97,642
RU000A10AV72,D,090425,000000,101.27,101.98,101.1,101.14,553
RU000A10AV72,D,100425,000000,101.8,101.8,101.43,101.56,814
RU000A10AV72,D,110425,000000,101.57,102.75,101.56,101.99,891
RU000A10AV72,D,140425,000000,102.89,102.89,101.66,101.89,1097
