<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B2D2,D,130325,000000,100.2,100.2,99.11,100.07,11525
RU000A10B2D2,D,140325,000000,100.17,100.19,100,100.06,8681
RU000A10B2D2,D,170325,000000,100.07,100.09,99.7,99.7,6929
RU000A10B2D2,D,180325,000000,99.97,99.98,99.7,99.95,9111
RU000A10B2D2,D,190325,000000,100,100.36,99.95,100.1,8131
RU000A10B2D2,D,200325,000000,100.34,100.34,99.92,100.06,4473
RU000A10B2D2,D,210325,000000,100.06,100.15,100,100.06,5595
RU000A10B2D2,D,240325,000000,100.15,100.19,99.99,100.12,10149
RU000A10B2D2,D,250325,000000,100.14,100.15,100.01,100.06,5260
RU000A10B2D2,D,260325,000000,100.11,100.12,100,100.03,2723
RU000A10B2D2,D,270325,000000,100.08,100.09,99.99,100.08,3399
RU000A10B2D2,D,280325,000000,99.99,100.12,99.95,100.01,3031
RU000A10B2D2,D,310325,000000,100.01,100.03,99.7,99.97,7929
RU000A10B2D2,D,010425,000000,99.97,99.99,99.9,99.92,13441
RU000A10B2D2,D,020425,000000,99.92,99.99,99.88,99.97,3064
RU000A10B2D2,D,030425,000000,99.99,100,99.9,99.91,1834
RU000A10B2D2,D,040425,000000,100,100,99,99.49,4461
RU000A10B2D2,D,070425,000000,99.44,99.69,98.7,99.07,2825
RU000A10B2D2,D,080425,000000,99.88,99.88,99.11,99.82,2861
RU000A10B2D2,D,090425,000000,99.82,99.89,98.85,99.52,977
RU000A10B2D2,D,100425,000000,99.67,99.88,99.6,99.86,1563
RU000A10B2D2,D,110425,000000,99.8,99.95,99.52,99.95,7412
RU000A10B2D2,D,140425,000000,99.99,100.03,99.54,99.96,2480
RU000A10B2D2,D,150425,000000,99.95,100.17,99.8,100.1,9068
RU000A10B2D2,D,160425,000000,100.1,100.17,100,100.16,7957
RU000A10B2D2,D,170425,000000,100.14,100.19,100.03,100.1,1811
RU000A10B2D2,D,180425,000000,100.11,100.13,100,100.1,5797
RU000A10B2D2,D,210425,000000,100.1,100.19,99.99,100.09,2718
RU000A10B2D2,D,220425,000000,100.11,100.12,100,100.08,1517
RU000A10B2D2,D,230425,000000,100.09,100.3,100.04,100.27,1310
RU000A10B2D2,D,240425,000000,100.35,100.35,100.02,100.05,2124
RU000A10B2D2,D,250425,000000,100.12,100.25,100.05,100.13,4005
RU000A10B2D2,D,280425,000000,100.26,100.69,100.23,100.48,2997
RU000A10B2D2,D,290425,000000,100.69,101,100.52,100.85,1578
RU000A10B2D2,D,300425,000000,100.99,101.43,100.6,101.39,2046
RU000A10B2D2,D,020525,000000,101.39,101.4,100.04,100.69,2033
RU000A10B2D2,D,050525,000000,101.29,101.45,100.62,100.63,3330
RU000A10B2D2,D,060525,000000,100.63,101.42,100.63,101.14,1418
RU000A10B2D2,D,070525,000000,100.1,101.44,100.1,101.4,2275
RU000A10B2D2,D,080525,000000,101.44,101.99,100.3,101.8,1000
RU000A10B2D2,D,120525,000000,101.86,101.86,101.03,101.6,1845
RU000A10B2D2,D,130525,000000,101.84,101.85,101.5,101.79,1996
RU000A10B2D2,D,140525,000000,101.84,101.84,101.57,101.67,1654
RU000A10B2D2,D,150525,000000,101.84,101.84,101.51,101.6,1822
RU000A10B2D2,D,160525,000000,101.74,101.85,100.65,101.63,4463
RU000A10B2D2,D,190525,000000,101.84,101.85,101.05,101.29,1423
RU000A10B2D2,D,200525,000000,101.34,101.79,101.2,101.5,2254
RU000A10B2D2,D,210525,000000,101.69,101.69,101.09,101.3,1386
RU000A10B2D2,D,220525,000000,101.36,101.45,100.75,101.2,1451
RU000A10B2D2,D,230525,000000,101.2,101.21,100.21,101.2,2037
RU000A10B2D2,D,260525,000000,101.19,101.23,100.4,101.1,2490
RU000A10B2D2,D,270525,000000,101.02,101.79,100.5,101,2663
RU000A10B2D2,D,280525,000000,101.24,101.5,100.91,101.27,1944
RU000A10B2D2,D,290525,000000,101.35,101.35,100.9,101.2,1265
RU000A10B2D2,D,300525,000000,101.18,101.39,100.73,101,928
RU000A10B2D2,D,020625,000000,101.4,101.43,100.52,101.14,934
RU000A10B2D2,D,030625,000000,101.14,101.4,101,101.39,1988
RU000A10B2D2,D,040625,000000,101.38,101.7,101.17,101.7,692
RU000A10B2D2,D,050625,000000,101.7,101.99,101.6,101.95,1374
RU000A10B2D2,D,060625,000000,102,102.8,101.9,102.19,3451
RU000A10B2D2,D,090625,000000,102.31,103.9,102.03,102.45,2859
RU000A10B2D2,D,100625,000000,103.5,103.95,102.23,102.78,1546
RU000A10B2D2,D,110625,000000,102.77,103.95,102.77,103.89,1272
RU000A10B2D2,D,130625,000000,103.89,104.2,102.82,104.2,1024
RU000A10B2D2,D,160625,000000,104.2,104.7,103.5,103.95,3140
RU000A10B2D2,D,170625,000000,103.95,103.95,102,102.66,2437
RU000A10B2D2,D,180625,000000,102,102.56,101.16,101.8,1137
RU000A10B2D2,D,190625,000000,101.84,102.24,101.03,101.55,1427
RU000A10B2D2,D,200625,000000,101.55,101.85,101.11,101.85,1160
RU000A10B2D2,D,230625,000000,101.96,102,101.22,101.84,2224
