<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10BPN7,D,290525,000000,100.1,100.99,99.8,100.2,208487
RU000A10BPN7,D,300525,000000,100.19,100.99,99.98,100.9,112654
RU000A10BPN7,D,020625,000000,100.96,101.95,100.02,101.9,136288
RU000A10BPN7,D,030625,000000,102,102.5,101.31,102.17,138187
RU000A10BPN7,D,040625,000000,102.17,102.38,101.52,102.17,105416
RU000A10BPN7,D,050625,000000,102.28,102.8,101.85,102.7,65400
RU000A10BPN7,D,060625,000000,102.8,102.99,102.21,102.74,93579
RU000A10BPN7,D,090625,000000,102.75,102.75,101.55,101.95,58701
RU000A10BPN7,D,100625,000000,102.15,103.1,101.9,102.81,76002
RU000A10BPN7,D,110625,000000,103.09,103.21,102.63,103.16,40116
RU000A10BPN7,D,130625,000000,103.2,103.5,103.16,103.4,16572
RU000A10BPN7,D,160625,000000,103.4,103.6,101.78,102.8,33569
RU000A10BPN7,D,170625,000000,102.98,102.98,101.7,102.02,49257
RU000A10BPN7,D,180625,000000,102.28,102.44,76.65,101.6,110900
RU000A10BPN7,D,190625,000000,101.83,101.84,101.22,101.83,57608
RU000A10BPN7,D,200625,000000,101.88,101.98,101.5,101.73,86726
RU000A10BPN7,D,230625,000000,101.78,101.79,99.15,100.39,127800
RU000A10BPN7,D,240625,000000,100.69,101.21,100.3,100.9,112775
RU000A10BPN7,D,250625,000000,100.97,101.81,100.5,101.74,72155
RU000A10BPN7,D,260625,000000,101.81,102.25,101.79,102.25,68668
RU000A10BPN7,D,270625,000000,102.3,102.48,102.05,102.47,45209
RU000A10BPN7,D,300625,000000,102.47,102.98,101.55,102.85,81530
RU000A10BPN7,D,010725,000000,102.7,104.97,102.6,103.89,54267
RU000A10BPN7,D,020725,000000,103.89,104.8,103,104.34,50377
RU000A10BPN7,D,030725,000000,104.34,104.99,104,104.4,57227
RU000A10BPN7,D,040725,000000,104.4,104.57,103.31,104.55,41927
RU000A10BPN7,D,070725,000000,104.57,104.7,103.52,104.13,45916
RU000A10BPN7,D,080725,000000,104.19,104.44,103.85,104.33,49200
RU000A10BPN7,D,090725,000000,104.32,104.6,103.98,104.27,63517
RU000A10BPN7,D,100725,000000,104.27,104.5,104,104.29,41077
RU000A10BPN7,D,110725,000000,104.37,105,104.11,104.99,37317
RU000A10BPN7,D,140725,000000,104.91,105.39,104.33,105.29,42146
RU000A10BPN7,D,150725,000000,105.29,106.46,105.2,106.3,70548
RU000A10BPN7,D,160725,000000,106.31,107.5,106.31,107.41,24860
RU000A10BPN7,D,170725,000000,107.8,108.35,106.3,108.2,37857
RU000A10BPN7,D,180725,000000,108.11,109.59,107.3,108.34,32622
RU000A10BPN7,D,210725,000000,108.34,108.91,107.5,108.09,38082
RU000A10BPN7,D,220725,000000,108.38,108.48,107.53,108.39,74358
RU000A10BPN7,D,230725,000000,108.48,109.51,108.41,109.49,38689
RU000A10BPN7,D,240725,000000,109.5,110.2,109,109.95,37341
RU000A10BPN7,D,250725,000000,109.96,110.2,108.61,110.08,33404
RU000A10BPN7,D,280725,000000,110.08,110.2,109.22,109.3,34640
RU000A10BPN7,D,290725,000000,109.39,109.79,109.15,109.74,31101
RU000A10BPN7,D,300725,000000,109.74,109.84,109.18,109.72,30649
RU000A10BPN7,D,310725,000000,109.72,109.98,108.1,109.09,29782
