<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10AV23,D,100325,000000,100.5,100.5,100.5,100.5,69
RU000A10AV23,D,130325,000000,100.5,100.5,100.5,100.5,325
RU000A10AV23,D,210325,000000,100.5,100.5,100.5,100.5,1
RU000A10AV23,D,260325,000000,100.5,100.5,100.5,100.5,1
RU000A10AV23,D,080425,000000,100.5,100.5,100.5,100.5,1
RU000A10AV23,D,100425,000000,100.5,100.5,100.5,100.5,2
RU000A10AV23,D,110425,000000,99,99,99,99,1
RU000A10AV23,D,160425,000000,100.5,100.5,100.5,100.5,5
RU000A10AV23,D,170425,000000,100.7,100.7,100.7,100.7,9954
RU000A10AV23,D,210425,000000,101.15,101.16,100.5,100.5,6
RU000A10AV23,D,220425,000000,100.5,100.5,100.5,100.5,2
RU000A10AV23,D,230425,000000,100.5,100.5,100.5,100.5,3
RU000A10AV23,D,240425,000000,100.5,100.5,100.5,100.5,3
RU000A10AV23,D,250425,000000,100.5,100.5,100.5,100.5,14
RU000A10AV23,D,280425,000000,100.47,100.47,100.47,100.47,1
RU000A10AV23,D,300425,000000,100,100,100,100,1
RU000A10AV23,D,020525,000000,99.82,99.82,99.82,99.82,1
RU000A10AV23,D,050525,000000,109.79,109.79,109.79,109.79,14
RU000A10AV23,D,060525,000000,109.79,109.79,109.79,109.79,1
RU000A10AV23,D,070525,000000,114.99,114.99,114.99,114.99,2
RU000A10AV23,D,120525,000000,114.99,114.99,114.99,114.99,2
RU000A10AV23,D,140525,000000,99.82,99.82,99.82,99.82,1
RU000A10AV23,D,150525,000000,100.5,100.5,100.26,100.26,20
RU000A10AV23,D,200525,000000,100.5,100.5,85.43,98.99,115
RU000A10AV23,D,210525,000000,102.43,102.43,102,102,3
RU000A10AV23,D,230525,000000,100.75,100.75,100.75,100.75,14
RU000A10AV23,D,260525,000000,100.75,100.75,100.75,100.75,19
RU000A10AV23,D,270525,000000,100.75,100.75,100.75,100.75,605
RU000A10AV23,D,280525,000000,100.75,100.75,100.75,100.75,6251
RU000A10AV23,D,290525,000000,102.34,102.34,100.75,100.75,147
RU000A10AV23,D,300525,000000,102.45,110.82,102.45,109.98,10
RU000A10AV23,D,020625,000000,100.5,109.98,100.5,109.98,12
RU000A10AV23,D,030625,000000,109.98,109.99,109.98,109.99,39
RU000A10AV23,D,040625,000000,109.99,109.99,109.99,109.99,1
RU000A10AV23,D,050625,000000,109.99,109.99,109.99,109.99,1
RU000A10AV23,D,100625,000000,102,102,101.6,102,36
RU000A10AV23,D,110625,000000,102.5,102.5,102.5,102.5,2
RU000A10AV23,D,130625,000000,112.01,112.01,112.01,112.01,3
RU000A10AV23,D,160625,000000,101.01,111.85,101,111.85,42493
RU000A10AV23,D,170625,000000,111.85,111.85,102,102,26
RU000A10AV23,D,180625,000000,102.01,102.01,101.6,101.9,143
RU000A10AV23,D,190625,000000,111.87,111.87,101.9,101.9,511
RU000A10AV23,D,200625,000000,101.9,101.9,101.9,101.9,147
RU000A10AV23,D,230625,000000,112,112,101.91,111.69,5
RU000A10AV23,D,240625,000000,111.56,111.56,111.49,111.49,4
RU000A10AV23,D,260625,000000,111.99,111.99,105,105,5
RU000A10AV23,D,270625,000000,105,105,104.05,104.05,2
RU000A10AV23,D,300625,000000,104,112,104,112,16
RU000A10AV23,D,010725,000000,112.01,112.01,112.01,112.01,3
RU000A10AV23,D,020725,000000,111.97,111.97,111.97,111.97,1
RU000A10AV23,D,030725,000000,113.97,113.97,113.97,113.97,1
RU000A10AV23,D,040725,000000,114,117.8,113.97,113.97,5
RU000A10AV23,D,070725,000000,102.59,102.59,102.58,102.58,5
RU000A10AV23,D,080725,000000,112.82,112.84,112.82,112.84,13
RU000A10AV23,D,090725,000000,119.97,119.97,119.97,119.97,2
RU000A10AV23,D,100725,000000,101.99,118.74,101.99,118.74,36
RU000A10AV23,D,110725,000000,124.95,124.97,124.95,124.97,28
RU000A10AV23,D,140725,000000,108.75,124.98,102.01,124.94,47
RU000A10AV23,D,150725,000000,124.93,124.93,102,102,604
RU000A10AV23,D,160725,000000,112.01,112.01,101.99,102,2308
RU000A10AV23,D,170725,000000,106.99,109.71,102,102,2270
RU000A10AV23,D,180725,000000,102,107.01,101.59,101.59,232
RU000A10AV23,D,210725,000000,103.98,103.98,101.83,102,127
RU000A10AV23,D,220725,000000,102.93,102.93,102,102,223
RU000A10AV23,D,230725,000000,102.89,102.89,102,102,96
RU000A10AV23,D,240725,000000,102,102.89,101.71,101.71,618
RU000A10AV23,D,250725,000000,101.72,102.77,101.72,101.83,554
RU000A10AV23,D,280725,000000,102.87,102.87,102.6,102.86,210
RU000A10AV23,D,290725,000000,103.49,103.5,103.03,103.5,132
RU000A10AV23,D,300725,000000,103.8,103.8,103.8,103.8,3
RU000A10AV23,D,310725,000000,103.1,103.1,102.08,102.65,85
