<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10AZ45,D,260225,000000,105,105.5,102.1,104.75,618.471
RU000A10AZ45,D,270225,000000,104.87,105.84,103.6,103.75,89.205
RU000A10AZ45,D,280225,000000,105.34,105.34,103.65,104.87,19.115
RU000A10AZ45,D,030325,000000,104.51,105.49,103.91,104.31,15.815
RU000A10AZ45,D,040325,000000,104.79,104.84,103.71,104.84,17.921
RU000A10AZ45,D,050325,000000,104.99,106,104.5,105.7,72.335
RU000A10AZ45,D,060325,000000,105.6,107,104.99,106,142.888
RU000A10AZ45,D,070325,000000,107,107.45,106.5,106.99,45.111
RU000A10AZ45,D,100325,000000,106.99,108.99,106.99,107.82,12.899
RU000A10AZ45,D,110325,000000,108.47,108.47,107.01,107.78,16.913
RU000A10AZ45,D,120325,000000,107.78,107.91,106.8,107.78,1.728
RU000A10AZ45,D,130325,000000,107.89,107.89,106.84,107.5,1.710
RU000A10AZ45,D,140325,000000,107.74,108,106.81,108,31.171
RU000A10AZ45,D,170325,000000,108.5,109.99,107.85,108.35,1.279
RU000A10AZ45,D,180325,000000,109.97,109.99,108.56,109.24,98.854
RU000A10AZ45,D,190325,000000,109.24,109.97,109.24,109.5,2.274
RU000A10AZ45,D,200325,000000,109.99,109.99,109.03,109.25,2.747
RU000A10AZ45,D,210325,000000,109.49,109.8,109.01,109.47,31.613
RU000A10AZ45,D,240325,000000,110.95,110.95,107.1,109.49,8.125
RU000A10AZ45,D,250325,000000,109.97,109.97,109.2,109.21,2.234
RU000A10AZ45,D,260325,000000,109.94,109.95,107.5,109.27,2.258
RU000A10AZ45,D,270325,000000,109.01,109.3,108,108.5,19.891
RU000A10AZ45,D,280325,000000,109.5,109.5,108.71,109,2.310
RU000A10AZ45,D,310325,000000,109.45,110,108.99,109.01,1.720
RU000A10AZ45,D,010425,000000,110.5,110.5,108.99,109.74,2.620
RU000A10AZ45,D,020425,000000,109,110.25,108.65,109,924
RU000A10AZ45,D,030425,000000,109,109.98,108.76,109.29,811
RU000A10AZ45,D,040425,000000,110,110.39,107.22,108,1.895
RU000A10AZ45,D,070425,000000,108,110.28,105.15,107.25,3.227
RU000A10AZ45,D,080425,000000,106.01,108.74,105.72,108.6,8.938
RU000A10AZ45,D,090425,000000,107.16,109.39,106.78,107.47,832
RU000A10AZ45,D,100425,000000,107.67,107.7,106.17,107.35,1.758
RU000A10AZ45,D,110425,000000,107.75,107.75,106.25,107.31,7.941
RU000A10AZ45,D,140425,000000,107.31,107.83,105.75,107.55,1.375
RU000A10AZ45,D,150425,000000,107.55,107.55,105.43,107,932
RU000A10AZ45,D,160425,000000,107.7,107.82,106.99,107.5,1.365
RU000A10AZ45,D,170425,000000,107.87,107.87,106.84,107.84,515
RU000A10AZ45,D,180425,000000,107.83,107.83,107.1,107.46,1.271
RU000A10AZ45,D,210425,000000,107.46,107.88,106.5,107.87,12.550
RU000A10AZ45,D,220425,000000,107.88,107.88,105.75,107.14,1.745
RU000A10AZ45,D,230425,000000,106.69,107.88,106.15,107.46,25.915
