<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10ASE2,D,310125,000000,102,102,99.99,100.08,102601
RU000A10ASE2,D,030225,000000,100.09,100.09,99.01,99.47,107771
RU000A10ASE2,D,040225,000000,99.47,99.5,99.3,99.47,48080
RU000A10ASE2,D,050225,000000,99.49,99.79,99.4,99.47,33502
RU000A10ASE2,D,060225,000000,99.5,100.18,99.4,100.16,35183
RU000A10ASE2,D,070225,000000,100.17,100.44,100.05,100.4,23595
RU000A10ASE2,D,100225,000000,100.49,100.87,100.01,100.33,31225
RU000A10ASE2,D,110225,000000,100.3,100.59,98.56,99.4,97728
RU000A10ASE2,D,120225,000000,99.4,99.5,99.2,99.28,38048
RU000A10ASE2,D,130225,000000,99.66,99.99,99.31,99.91,64824
RU000A10ASE2,D,140225,000000,100,100.4,99.56,100.3,58380
RU000A10ASE2,D,170225,000000,100,100.47,99.97,100.44,29374
RU000A10ASE2,D,180225,000000,100.4,100.59,100.3,100.48,18707
RU000A10ASE2,D,190225,000000,100.41,100.42,100.01,100.3,28154
RU000A10ASE2,D,200225,000000,100.3,100.43,100.02,100.35,22419
RU000A10ASE2,D,210225,000000,100.4,101,100.3,100.78,17223
RU000A10ASE2,D,240225,000000,100.97,101,100.25,100.63,20181
RU000A10ASE2,D,250225,000000,100.7,100.75,100.3,100.65,19489
RU000A10ASE2,D,260225,000000,100.74,100.9,100.65,100.86,19000
RU000A10ASE2,D,270225,000000,100.88,100.89,100.61,100.88,11989
RU000A10ASE2,D,280225,000000,100.88,100.98,100.7,100.86,17153
RU000A10ASE2,D,030325,000000,100.77,100.94,100.5,100.93,24984
RU000A10ASE2,D,040325,000000,100.89,101.25,100.72,101.2,23209
RU000A10ASE2,D,050325,000000,101.26,101.28,100.95,101.18,10262
RU000A10ASE2,D,060325,000000,101.18,101.75,100.8,101.5,11065
RU000A10ASE2,D,070325,000000,101.68,102.9,101.21,102.44,16823
RU000A10ASE2,D,100325,000000,102.2,102.4,101.55,102.29,12612
RU000A10ASE2,D,110325,000000,102.34,102.78,102,102.5,10457
RU000A10ASE2,D,120325,000000,102.51,102.67,102.15,102.22,5872
RU000A10ASE2,D,130325,000000,102.42,102.42,101.7,102.17,7473
RU000A10ASE2,D,140325,000000,102,102.5,101.55,102.2,6999
RU000A10ASE2,D,170325,000000,102.78,102.78,101.5,101.6,18214
RU000A10ASE2,D,180325,000000,101.6,102.77,101.5,102,9842
RU000A10ASE2,D,190325,000000,102.28,102.39,101.86,102.39,6720
RU000A10ASE2,D,200325,000000,102.3,103,101.5,102.95,10640
RU000A10ASE2,D,210325,000000,102.75,103.27,102.04,103.23,5125
RU000A10ASE2,D,240325,000000,102.95,103.23,101.51,102.69,13942
RU000A10ASE2,D,250325,000000,102.69,102.9,102.5,102.88,7654
RU000A10ASE2,D,260325,000000,102.88,102.94,102.51,102.89,6830
RU000A10ASE2,D,270325,000000,102.7,103,102.51,102.82,6832
RU000A10ASE2,D,280325,000000,102.93,103,102,102.53,7135
RU000A10ASE2,D,310325,000000,102.56,102.95,102.5,102.7,8992
RU000A10ASE2,D,010425,000000,102.7,102.92,102.5,102.77,8152
RU000A10ASE2,D,020425,000000,102.8,102.9,101.5,102.41,10460
RU000A10ASE2,D,030425,000000,102,102.19,101,101.53,7376
RU000A10ASE2,D,040425,000000,102.24,102.7,101,101.1,11144
RU000A10ASE2,D,070425,000000,100.89,101.08,95.01,100.99,18830
RU000A10ASE2,D,080425,000000,100.99,101.97,100.99,101.09,4711
RU000A10ASE2,D,090425,000000,101,101.46,99.5,100.1,7271
RU000A10ASE2,D,100425,000000,100.32,100.99,100,100.9,6728
RU000A10ASE2,D,110425,000000,101.07,101.51,100.92,101.23,3774
RU000A10ASE2,D,140425,000000,101.24,101.49,100.67,101.01,5338
RU000A10ASE2,D,150425,000000,100.96,101.01,99.56,101,7936
RU000A10ASE2,D,160425,000000,100.97,101.15,100.52,101.12,4432
RU000A10ASE2,D,170425,000000,101.14,101.24,100.84,101.12,4057
RU000A10ASE2,D,180425,000000,101.25,101.48,100.5,101.13,4924
RU000A10ASE2,D,210425,000000,101.47,101.65,100.52,100.84,5627
RU000A10ASE2,D,220425,000000,100.8,101.06,100.4,100.66,7484
RU000A10ASE2,D,230425,000000,100.91,100.91,100.21,100.6,8294
RU000A10ASE2,D,240425,000000,100.5,101,100.2,100.64,7599
RU000A10ASE2,D,250425,000000,100.88,101.47,100.86,101.2,5712
RU000A10ASE2,D,280425,000000,101.4,102,101.05,102,6411
RU000A10ASE2,D,290425,000000,102,102,101.5,101.89,3833
RU000A10ASE2,D,300425,000000,101.9,102.46,101.8,102.46,4777
RU000A10ASE2,D,020525,000000,102.4,102.5,101.81,102.05,5455
RU000A10ASE2,D,050525,000000,102.04,102.2,101.05,101.8,8840
RU000A10ASE2,D,060525,000000,101.8,102.5,101.61,102.35,7404
RU000A10ASE2,D,070525,000000,102.35,102.5,101.95,102.42,3804
RU000A10ASE2,D,080525,000000,102.5,102.8,102.22,102.66,2316
RU000A10ASE2,D,120525,000000,102.69,103,101.58,102.39,6064
RU000A10ASE2,D,130525,000000,102.4,102.57,102.17,102.45,5777
RU000A10ASE2,D,140525,000000,102.49,102.49,102.05,102.3,4634
RU000A10ASE2,D,150525,000000,102.43,102.43,101.76,101.8,9062
RU000A10ASE2,D,160525,000000,101.79,102.13,101.11,101.7,7511
RU000A10ASE2,D,190525,000000,101.71,102.16,101,101.87,8852
RU000A10ASE2,D,200525,000000,101.88,101.88,101,101.74,9576
RU000A10ASE2,D,210525,000000,101.68,101.75,101.12,101.48,7158
RU000A10ASE2,D,220525,000000,101.48,101.52,100.9,101.14,3925
RU000A10ASE2,D,230525,000000,101.2,102.5,101.18,101.99,10854
RU000A10ASE2,D,260525,000000,101.65,102.48,101.1,101.87,5783
RU000A10ASE2,D,270525,000000,101.9,102,101.5,101.6,6476
RU000A10ASE2,D,280525,000000,101.6,101.95,100,101.48,7215
RU000A10ASE2,D,290525,000000,101.69,101.7,100.23,101.24,7648
