<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B2F7,D,130325,000000,102.3,102.3,100.8,101.78,133931
RU000A10B2F7,D,140325,000000,102.09,103.7,102,103.2,41970
RU000A10B2F7,D,170325,000000,103.3,103.75,101.71,102.15,48900
RU000A10B2F7,D,180325,000000,102.15,102.46,101.98,102.45,15713
RU000A10B2F7,D,190325,000000,102.28,102.98,102.11,102.68,13452
RU000A10B2F7,D,200325,000000,102.87,104.89,102.71,103.9,19115
RU000A10B2F7,D,210325,000000,104.5,104.95,103.6,103.96,8900
RU000A10B2F7,D,240325,000000,104.08,104.4,102.7,103.1,10367
RU000A10B2F7,D,250325,000000,103.3,103.8,102.51,102.89,12561
RU000A10B2F7,D,260325,000000,103,103.1,102.53,102.99,6006
RU000A10B2F7,D,270325,000000,102.73,102.98,102.12,102.5,9598
RU000A10B2F7,D,280325,000000,102.77,102.77,102.01,102.54,4807
RU000A10B2F7,D,310325,000000,102.3,102.33,101.79,102.21,9819
RU000A10B2F7,D,010425,000000,102.49,102.94,102.25,102.49,5862
RU000A10B2F7,D,020425,000000,102.32,102.68,101.92,102.28,9499
RU000A10B2F7,D,030425,000000,102.19,102.3,101.54,101.98,9809
RU000A10B2F7,D,040425,000000,102.05,102.44,100.11,101.35,29756
RU000A10B2F7,D,070425,000000,100.98,100.98,99.51,100.5,38781
RU000A10B2F7,D,080425,000000,101.19,101.85,100.45,101.16,12030
RU000A10B2F7,D,090425,000000,101.34,101.34,100,100.71,17061
RU000A10B2F7,D,100425,000000,100.8,101.49,100.8,101.39,5067
RU000A10B2F7,D,110425,000000,101.59,101.59,101.02,101.49,5005
RU000A10B2F7,D,140425,000000,101.38,101.9,101.01,101.48,4546
RU000A10B2F7,D,150425,000000,101.61,101.68,101.2,101.49,6092
RU000A10B2F7,D,160425,000000,101.46,101.7,101.45,101.45,5069
RU000A10B2F7,D,170425,000000,101.55,101.61,101.12,101.2,7730
RU000A10B2F7,D,180425,000000,101.28,101.6,101.05,101.23,8265
RU000A10B2F7,D,210425,000000,101.59,101.59,100.3,101.13,20775
RU000A10B2F7,D,220425,000000,101.25,101.25,100.52,101.06,7150
RU000A10B2F7,D,230425,000000,101.07,101.25,100.92,101.17,6050
RU000A10B2F7,D,240425,000000,101.16,101.36,100.55,101.27,9083
RU000A10B2F7,D,250425,000000,101.36,101.4,101,101.19,6186
RU000A10B2F7,D,280425,000000,101.27,101.6,101.22,101.54,5632
RU000A10B2F7,D,290425,000000,101.6,101.6,101.19,101.53,4124
RU000A10B2F7,D,300425,000000,101.55,101.57,101.24,101.5,6845
RU000A10B2F7,D,020525,000000,101.56,101.7,101.21,101.44,5747
RU000A10B2F7,D,050525,000000,101.79,101.79,101.3,101.53,6788
RU000A10B2F7,D,060525,000000,101.92,101.92,101.53,101.79,6270
RU000A10B2F7,D,070525,000000,101.77,102,101.33,101.86,20137
RU000A10B2F7,D,080525,000000,102.2,102.71,101.91,102.13,4313
RU000A10B2F7,D,120525,000000,102.61,103.57,101.9,103.18,5810
RU000A10B2F7,D,130525,000000,103.22,103.88,103.21,103.6,4801
RU000A10B2F7,D,140525,000000,103.82,103.87,102.5,103.49,3778
RU000A10B2F7,D,150525,000000,103.63,103.79,102.82,103.01,2018
RU000A10B2F7,D,160525,000000,103.59,103.66,102.8,102.8,6063
RU000A10B2F7,D,190525,000000,102.81,103.28,102.25,102.49,3480
RU000A10B2F7,D,200525,000000,102.49,102.8,101.43,102.57,5875
RU000A10B2F7,D,210525,000000,102.17,102.48,102,102.39,3432
RU000A10B2F7,D,220525,000000,102.64,102.65,102.09,102.38,2725
RU000A10B2F7,D,230525,000000,102.39,102.39,101.7,101.7,4151
RU000A10B2F7,D,260525,000000,101.7,102.48,101.35,101.81,7817
RU000A10B2F7,D,270525,000000,102.26,102.35,101.95,102.24,4657
RU000A10B2F7,D,280525,000000,102.24,102.65,102.05,102.65,2461
RU000A10B2F7,D,290525,000000,102.64,103.33,101.89,102.63,10746
RU000A10B2F7,D,300525,000000,101.9,102.68,101.88,102.63,5719
RU000A10B2F7,D,020625,000000,102.88,102.9,102.12,102.6,6061
RU000A10B2F7,D,030625,000000,102.86,102.86,102.41,102.73,5091
RU000A10B2F7,D,040625,000000,102.89,103.25,102.66,103,4371
RU000A10B2F7,D,050625,000000,103.09,103.49,103,103.27,15648
RU000A10B2F7,D,060625,000000,103.34,103.88,103.02,103.66,6520
RU000A10B2F7,D,090625,000000,103.66,103.95,102.71,103.41,3187
RU000A10B2F7,D,100625,000000,103.81,103.84,102.98,103.7,3417
RU000A10B2F7,D,110625,000000,103.69,104.72,103.13,104.56,5831
