<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10ATT8,D,070225,000000,100.15,100.15,100,100.15,13007
RU000A10ATT8,D,100225,000000,100.4,100.4,100.1,100.23,293885
RU000A10ATT8,D,110225,000000,100.4,100.4,100.16,100.35,10364
RU000A10ATT8,D,120225,000000,100.4,100.44,100.25,100.44,120718
RU000A10ATT8,D,130225,000000,101,102.5,100.5,101.5,138311
RU000A10ATT8,D,140225,000000,101.6,104,101.46,102.39,17774
RU000A10ATT8,D,170225,000000,101.6,103,101.12,102,19555
RU000A10ATT8,D,180225,000000,102.99,103.59,102,102.19,11088
RU000A10ATT8,D,190225,000000,102.34,102.41,101.82,102.41,14369
RU000A10ATT8,D,200225,000000,102.41,102.5,102.03,102.4,10114
RU000A10ATT8,D,210225,000000,102.41,102.5,101.9,102.1,1018592
RU000A10ATT8,D,240225,000000,102.3,102.3,102,102.07,22920
RU000A10ATT8,D,250225,000000,102.15,102.25,101.93,102.2,18733
RU000A10ATT8,D,260225,000000,102.21,102.24,101.3,102.09,1057133
RU000A10ATT8,D,270225,000000,101.99,102.15,101.5,102,75469
RU000A10ATT8,D,280225,000000,102.25,102.25,101.75,102,56271
RU000A10ATT8,D,030325,000000,102,102.24,101.91,102.1,88888
RU000A10ATT8,D,040325,000000,102.24,102.25,102.09,102.2,30055
RU000A10ATT8,D,050325,000000,102.25,102.5,102.2,102.3,56587
RU000A10ATT8,D,060325,000000,103.01,103.5,102.28,102.5,64889
RU000A10ATT8,D,070325,000000,103.45,103.45,102.26,102.98,7475
RU000A10ATT8,D,100325,000000,102.98,103.5,102.9,103.3,7128
RU000A10ATT8,D,110325,000000,103.3,104.72,103,103.09,75011
RU000A10ATT8,D,120325,000000,103.5,103.5,102.42,103.29,102776
RU000A10ATT8,D,130325,000000,103.49,103.5,102.27,102.59,10104
RU000A10ATT8,D,140325,000000,103.49,103.49,102.5,102.99,13050
RU000A10ATT8,D,170325,000000,103.49,103.49,102.64,103.3,6460
RU000A10ATT8,D,180325,000000,103.4,103.49,102.55,102.75,18708
RU000A10ATT8,D,190325,000000,103.47,103.47,102.61,103.01,79356
RU000A10ATT8,D,200325,000000,103.49,103.9,102.93,103.82,1564
RU000A10ATT8,D,210325,000000,102.93,103.89,102.6,103.74,39282
RU000A10ATT8,D,240325,000000,103.74,103.95,102.73,103.33,1710
RU000A10ATT8,D,250325,000000,103.95,103.95,102.73,103.5,990
RU000A10ATT8,D,260325,000000,103.8,103.8,103.11,103.29,26163
RU000A10ATT8,D,270325,000000,103.29,103.29,102.72,102.88,42381
RU000A10ATT8,D,280325,000000,103.29,103.79,102.5,102.71,124449
RU000A10ATT8,D,310325,000000,103.94,103.94,102.11,102.53,2164
RU000A10ATT8,D,010425,000000,103.32,103.32,102.52,102.99,29018
RU000A10ATT8,D,020425,000000,103.3,103.3,102.6,103.3,5578
RU000A10ATT8,D,030425,000000,103.43,103.43,102.8,102.8,5780
RU000A10ATT8,D,040425,000000,103.43,103.43,102.52,102.99,1491
RU000A10ATT8,D,070425,000000,103.19,103.2,101,102.07,112319
RU000A10ATT8,D,080425,000000,102.08,102.75,101.8,102.75,2006
RU000A10ATT8,D,090425,000000,102.75,102.75,101.1,102.39,6883
RU000A10ATT8,D,100425,000000,102.64,102.65,102.08,102.6,1104
RU000A10ATT8,D,110425,000000,102.61,102.61,102,102.58,2389
RU000A10ATT8,D,140425,000000,102.58,102.6,101.92,102.49,1272
RU000A10ATT8,D,150425,000000,102.5,102.5,101.95,102.05,21200
RU000A10ATT8,D,160425,000000,102.6,102.6,102.01,102.49,10161
RU000A10ATT8,D,170425,000000,102.31,102.49,102.02,102.48,1097
RU000A10ATT8,D,180425,000000,102.6,103.4,102.33,103,2946
RU000A10ATT8,D,210425,000000,102.5,103.5,102.02,102.9,4478
RU000A10ATT8,D,220425,000000,103.32,103.5,102.65,102.84,895
RU000A10ATT8,D,230425,000000,102.84,103.45,102.45,102.74,1179
RU000A10ATT8,D,240425,000000,102.74,103,102.14,102.9,4799
RU000A10ATT8,D,250425,000000,103.29,103.45,102.51,102.99,87681
RU000A10ATT8,D,280425,000000,103.5,103.5,102.05,102.8,21319
RU000A10ATT8,D,290425,000000,103.48,103.48,102.81,102.95,1084
RU000A10ATT8,D,300425,000000,102.96,103.47,102.51,103.1,714
RU000A10ATT8,D,020525,000000,103.49,103.5,102.57,102.75,535
RU000A10ATT8,D,050525,000000,102.74,103.38,102.5,102.93,1135
RU000A10ATT8,D,060525,000000,102.93,103.46,102.29,102.92,83518
RU000A10ATT8,D,070525,000000,103.46,103.46,102.52,103,1130
RU000A10ATT8,D,080525,000000,103.48,103.5,103.01,103.5,237
RU000A10ATT8,D,120525,000000,103.5,103.5,102.7,103,2017
RU000A10ATT8,D,130525,000000,103,103,102.54,102.9,31073
RU000A10ATT8,D,140525,000000,103.3,103.3,102.5,103,795
RU000A10ATT8,D,150525,000000,102.98,103,102.5,102.9,444
RU000A10ATT8,D,160525,000000,103,103,102.22,102.89,3143
RU000A10ATT8,D,190525,000000,102.99,102.99,102.16,102.54,7570
RU000A10ATT8,D,200525,000000,103.47,103.47,102.22,102.64,5367
RU000A10ATT8,D,210525,000000,102.39,102.81,102.39,102.62,25653
RU000A10ATT8,D,220525,000000,102.62,102.7,102.5,102.5,43613
RU000A10ATT8,D,230525,000000,102.66,102.69,102.3,102.34,31246
RU000A10ATT8,D,260525,000000,102.34,102.8,102.3,102.6,27277
RU000A10ATT8,D,270525,000000,102.58,102.6,102.3,102.31,28341
RU000A10ATT8,D,280525,000000,102.56,102.57,102.22,102.48,2307
RU000A10ATT8,D,290525,000000,102.54,102.54,102.31,102.31,25745
RU000A10ATT8,D,300525,000000,102.98,102.98,102.23,102.79,37844
RU000A10ATT8,D,020625,000000,102.79,102.79,102.32,102.75,1240
RU000A10ATT8,D,030625,000000,102.89,103.27,102.5,102.77,22406
RU000A10ATT8,D,040625,000000,103.49,103.49,102.33,103.27,142515
RU000A10ATT8,D,050625,000000,103.27,103.49,102.58,103.47,3890
RU000A10ATT8,D,060625,000000,103.5,103.7,103.25,103.25,2738
RU000A10ATT8,D,090625,000000,103.1,103.2,102.66,102.9,20450
RU000A10ATT8,D,100625,000000,102.9,103,102.7,102.8,2449
RU000A10ATT8,D,110625,000000,102.88,103.15,102.81,103.15,27793
RU000A10ATT8,D,130625,000000,103.25,103.66,102.8,103.21,682
RU000A10ATT8,D,160625,000000,103.31,103.58,102.98,103.53,1621
RU000A10ATT8,D,170625,000000,103.52,103.52,103.01,103.37,1689
RU000A10ATT8,D,180625,000000,103.33,103.53,102.9,103.44,3711
RU000A10ATT8,D,190625,000000,103.56,103.56,103.15,103.4,9421
RU000A10ATT8,D,200625,000000,103.55,103.55,103,103.3,5257
RU000A10ATT8,D,230625,000000,103.25,103.3,102.67,103.05,6759
RU000A10ATT8,D,240625,000000,103.21,103.24,102.66,103.21,148100
RU000A10ATT8,D,250625,000000,103.3,103.56,103,103.19,50555
RU000A10ATT8,D,260625,000000,103.18,105.23,103.07,103.28,7664
RU000A10ATT8,D,270625,000000,104.67,104.67,103.02,103.51,6220
