<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10ASB8,D,310125,000000,100.3,100.3,100.2,100.2,9843
RU000A10ASB8,D,030225,000000,102.6,102.6,100.1,100.45,116553
RU000A10ASB8,D,040225,000000,100.3,100.5,100.11,100.5,123743
RU000A10ASB8,D,050225,000000,100.3,100.3,100.1,100.25,150676
RU000A10ASB8,D,060225,000000,100.25,100.3,100.1,100.24,92275
RU000A10ASB8,D,070225,000000,100.95,101.94,100.19,100.2,84591
RU000A10ASB8,D,100225,000000,101,101.6,100.23,100.29,108142
RU000A10ASB8,D,110225,000000,100.3,100.5,100.21,100.5,166085
RU000A10ASB8,D,120225,000000,100.89,100.9,100.65,100.7,49919
RU000A10ASB8,D,130225,000000,101.49,101.91,100.83,101.9,356940
RU000A10ASB8,D,140225,000000,102.9,104.5,101.52,102.15,526639
RU000A10ASB8,D,170225,000000,104.2,104.2,102.15,102.9,510423
RU000A10ASB8,D,180225,000000,102.97,102.97,102.15,102.2,228636
RU000A10ASB8,D,190225,000000,102.21,102.9,102.2,102.71,9454
RU000A10ASB8,D,200225,000000,102.94,103,102.2,102.71,10862
RU000A10ASB8,D,210225,000000,103.1,103.94,102.81,103.32,14027
RU000A10ASB8,D,240225,000000,103.95,106.39,103.3,103.65,2512
RU000A10ASB8,D,250225,000000,103.89,105.5,102.55,102.99,6995
RU000A10ASB8,D,260225,000000,104,104,102.42,102.75,9533
RU000A10ASB8,D,270225,000000,102.74,102.99,102.4,102.85,9971
RU000A10ASB8,D,280225,000000,103,103,102.43,102.75,2995
RU000A10ASB8,D,030325,000000,102.76,103.5,102.4,102.89,65847
RU000A10ASB8,D,040325,000000,102.92,103,102.62,102.9,5139
RU000A10ASB8,D,050325,000000,103,103.33,102.85,102.99,61382
RU000A10ASB8,D,060325,000000,103.4,103.42,103.01,103.4,17213
RU000A10ASB8,D,070325,000000,103.96,104,103.4,103.99,64678
RU000A10ASB8,D,100325,000000,104.49,104.49,103.4,104.24,22847
RU000A10ASB8,D,110325,000000,104.23,104.23,103.4,104.14,3679
RU000A10ASB8,D,120325,000000,104.5,104.94,103.75,104.1,15402
RU000A10ASB8,D,130325,000000,104.1,105.73,103.47,104.02,2577
RU000A10ASB8,D,140325,000000,104.57,104.58,103.72,104.29,733
RU000A10ASB8,D,170325,000000,105.76,105.76,103.44,104.12,2560
RU000A10ASB8,D,180325,000000,104.14,104.59,104.12,104.27,805
RU000A10ASB8,D,190325,000000,105.8,105.8,103.5,104.35,781
RU000A10ASB8,D,200325,000000,105.78,105.78,103.99,103.99,3227
RU000A10ASB8,D,210325,000000,104.48,105.74,103.44,104.21,4932
RU000A10ASB8,D,240325,000000,104.4,105.04,103.78,104.35,2056
RU000A10ASB8,D,250325,000000,104.01,105.54,103.78,104.3,5030
RU000A10ASB8,D,260325,000000,105.7,105.7,104,104.95,250573
RU000A10ASB8,D,270325,000000,104.95,105.8,104.15,104.77,1213
RU000A10ASB8,D,280325,000000,105.77,105.77,104,104.5,3835
RU000A10ASB8,D,310325,000000,104.5,105.24,104.5,104.67,918
RU000A10ASB8,D,010425,000000,104.8,104.8,103.78,104.29,4593
RU000A10ASB8,D,020425,000000,104.25,104.58,104,104.5,1021
RU000A10ASB8,D,030425,000000,104.3,104.3,104,104.01,1352
RU000A10ASB8,D,040425,000000,103.78,104.3,103.78,104.09,5445
RU000A10ASB8,D,070425,000000,104.3,104.3,102.5,103.79,3924
RU000A10ASB8,D,080425,000000,103.79,104.3,102.53,103.34,1620
RU000A10ASB8,D,090425,000000,104.18,104.3,101.84,102.41,4448
RU000A10ASB8,D,100425,000000,102.71,103.89,102.03,103.17,1177
RU000A10ASB8,D,110425,000000,104.18,104.28,103.18,104.28,1361
RU000A10ASB8,D,140425,000000,104.28,104.28,102.28,103.82,15648
RU000A10ASB8,D,150425,000000,104.18,104.29,103,104.2,1157
RU000A10ASB8,D,160425,000000,104.19,104.19,103,103.29,4049
RU000A10ASB8,D,170425,000000,104.1,104.1,103.01,103.49,6823
RU000A10ASB8,D,180425,000000,104.1,104.29,103.3,103.95,9607
RU000A10ASB8,D,210425,000000,104.02,104.02,103.01,103.98,13098
RU000A10ASB8,D,220425,000000,104.13,104.16,103.6,103.9,8809
RU000A10ASB8,D,230425,000000,105.49,105.49,103.45,103.45,1508
RU000A10ASB8,D,240425,000000,103.88,103.93,103.2,103.56,12505
RU000A10ASB8,D,250425,000000,103.5,104.49,103.5,103.65,12299
RU000A10ASB8,D,280425,000000,104.1,104.1,103.5,103.6,5215
RU000A10ASB8,D,290425,000000,104,104.31,103.3,103.5,8719
RU000A10ASB8,D,300425,000000,103.51,104.35,103.5,103.94,3363
RU000A10ASB8,D,020525,000000,103.94,105.77,103.2,104.5,1179
RU000A10ASB8,D,050525,000000,105.59,105.59,103.2,103.71,2203
RU000A10ASB8,D,060525,000000,103.7,103.7,103.2,103.58,2234
RU000A10ASB8,D,070525,000000,103.99,104,102.77,103.74,4419
RU000A10ASB8,D,080525,000000,103.99,103.99,103.25,103.75,1083
RU000A10ASB8,D,120525,000000,104.47,104.47,103.43,103.95,1163
RU000A10ASB8,D,130525,000000,103.96,104.42,103.51,103.57,2773
RU000A10ASB8,D,140525,000000,104.41,104.41,103.44,103.7,5705
RU000A10ASB8,D,150525,000000,103.71,104.44,103.5,104.44,2690
RU000A10ASB8,D,160525,000000,103.75,104.45,103.5,104.1,24180
RU000A10ASB8,D,190525,000000,104.1,104.5,104.1,104.4,13680
RU000A10ASB8,D,200525,000000,105.59,105.8,103.84,104.01,3470
RU000A10ASB8,D,210525,000000,104.05,104.28,103.7,104.18,12365
RU000A10ASB8,D,220525,000000,104,104.34,103.7,104.11,938
RU000A10ASB8,D,230525,000000,104.14,104.14,103.5,103.96,19019
RU000A10ASB8,D,260525,000000,104.13,104.13,103.33,103.56,1915
RU000A10ASB8,D,270525,000000,104.49,104.5,103.73,103.91,5514
RU000A10ASB8,D,280525,000000,104.48,104.49,103.5,103.94,3953
RU000A10ASB8,D,290525,000000,103.94,104.15,103.51,103.99,20062
RU000A10ASB8,D,300525,000000,104.14,104.48,103.6,104.3,6427
RU000A10ASB8,D,020625,000000,103.96,104.18,103.51,103.85,6858
RU000A10ASB8,D,030625,000000,103.86,104.28,103.85,104.01,27354
RU000A10ASB8,D,040625,000000,104.01,104.5,103.85,104.41,2977
RU000A10ASB8,D,050625,000000,104.41,105.3,104.21,104.95,7630
RU000A10ASB8,D,060625,000000,105.03,105.49,104.75,105.39,26765
RU000A10ASB8,D,090625,000000,105.39,105.39,104.41,105,1230
