<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10BG13,D,220425,000000,101,102,99.99,100.42,401672
RU000A10BG13,D,230425,000000,100.45,100.7,99.65,99.83,324449
RU000A10BG13,D,240425,000000,100.2,100.2,99.2,99.89,54395
RU000A10BG13,D,250425,000000,99.89,100,99.85,99.98,27891
RU000A10BG13,D,280425,000000,99.98,100.18,99.8,99.99,19447
RU000A10BG13,D,290425,000000,100,100.01,99.86,99.97,2841
RU000A10BG13,D,300425,000000,99.97,100.18,99.97,100.08,7050
RU000A10BG13,D,020525,000000,100.23,100.28,99.97,99.97,1382
RU000A10BG13,D,050525,000000,99.98,100.23,99.8,100,13605
RU000A10BG13,D,060525,000000,100,100.19,99.91,99.91,4311
RU000A10BG13,D,070525,000000,100.3,100.3,99.93,99.98,6881
RU000A10BG13,D,080525,000000,99.98,100.12,99.9,99.99,935
RU000A10BG13,D,120525,000000,100.12,100.13,99.91,100,31583
RU000A10BG13,D,130525,000000,100.13,100.13,99.98,100,38565
RU000A10BG13,D,140525,000000,100.12,100.13,99.98,99.99,2066
RU000A10BG13,D,150525,000000,100.13,100.13,99.75,99.98,9361
RU000A10BG13,D,160525,000000,100.04,100.11,99.75,99.9,4325
RU000A10BG13,D,190525,000000,99.9,99.99,99.64,99.8,18061
RU000A10BG13,D,200525,000000,100.06,100.06,99.51,99.98,15529
RU000A10BG13,D,210525,000000,99.99,100,99.83,99.96,5770
RU000A10BG13,D,220525,000000,100,100,99.6,99.95,26690
RU000A10BG13,D,230525,000000,99.96,100,99,99.99,60494
RU000A10BG13,D,260525,000000,100.01,100.12,99.54,99.95,20943
RU000A10BG13,D,270525,000000,99.99,99.99,99.62,99.98,25746
RU000A10BG13,D,280525,000000,99.98,99.98,99.58,99.9,9555
RU000A10BG13,D,290525,000000,100.05,100.11,99.7,99.99,22244
RU000A10BG13,D,300525,000000,99.99,100.1,99.76,100.09,50646
RU000A10BG13,D,020625,000000,100.12,100.72,100.1,100.59,31077
RU000A10BG13,D,030625,000000,100.89,101.88,100.2,101.66,473574
RU000A10BG13,D,040625,000000,101.65,101.65,101,101.65,5543
RU000A10BG13,D,050625,000000,101.55,103.25,101.25,101.91,11917
RU000A10BG13,D,060625,000000,101.96,102,101.65,101.94,26842
RU000A10BG13,D,090625,000000,102.17,102.17,101.01,101.78,17838
RU000A10BG13,D,100625,000000,101.51,102,101.01,101.87,16552
RU000A10BG13,D,110625,000000,102.17,102.2,101.5,102.2,25289
RU000A10BG13,D,130625,000000,102.2,105.9,101.6,102.87,3364
RU000A10BG13,D,160625,000000,103.99,103.99,101.81,103,31729
RU000A10BG13,D,170625,000000,103.5,104,101.15,102.29,24763
RU000A10BG13,D,180625,000000,103,103,101.21,101.8,2949
RU000A10BG13,D,190625,000000,101.91,102.99,101.55,102,8734
RU000A10BG13,D,200625,000000,102.99,103,102.09,102.87,4082
RU000A10BG13,D,230625,000000,102.88,103,101.01,102.07,5822
RU000A10BG13,D,240625,000000,102.07,102.7,102,102.32,2065
RU000A10BG13,D,250625,000000,102.74,102.74,101.68,102.04,11002
RU000A10BG13,D,260625,000000,102.68,102.68,101.83,102.32,6863
RU000A10BG13,D,270625,000000,102.68,102.71,101.71,102.24,4645
RU000A10BG13,D,300625,000000,102.7,102.82,102,102.71,30365
RU000A10BG13,D,010725,000000,102.71,103.5,102.06,102.96,31337
RU000A10BG13,D,020725,000000,102.66,103.35,102.65,103.16,13419
RU000A10BG13,D,030725,000000,103.21,103.29,102.66,102.88,9013
RU000A10BG13,D,040725,000000,103.23,103.23,102.65,102.97,3908
RU000A10BG13,D,070725,000000,103.22,103.99,102.6,103.88,40745
RU000A10BG13,D,080725,000000,103.99,103.99,102.71,103.26,2234
RU000A10BG13,D,090725,000000,103.01,103.8,103.01,103.3,2069
RU000A10BG13,D,100725,000000,103.98,104,103.3,103.75,4209
RU000A10BG13,D,110725,000000,103.28,104,102.91,103.89,5441
RU000A10BG13,D,140725,000000,104.23,104.23,103.36,103.87,3351
RU000A10BG13,D,150725,000000,104.49,104.49,103.5,104.19,46340
RU000A10BG13,D,160725,000000,104.29,104.3,103.8,104.25,30236
RU000A10BG13,D,170725,000000,104.99,105,104.16,104.8,42817
RU000A10BG13,D,180725,000000,105,105,104,104.3,85475
RU000A10BG13,D,210725,000000,104.31,105.08,104.26,104.9,71700
RU000A10BG13,D,220725,000000,104.99,105.25,104.27,105.17,9314
RU000A10BG13,D,230725,000000,105.21,105.25,104.75,104.8,21516
RU000A10BG13,D,240725,000000,105.39,105.4,105,105.1,1526
RU000A10BG13,D,250725,000000,105.96,105.96,103.7,104.5,2665
RU000A10BG13,D,280725,000000,104.68,105.86,103.75,104.48,4834
RU000A10BG13,D,290725,000000,105.36,105.36,103.81,104.8,3401
RU000A10BG13,D,300725,000000,105.24,105.24,103.97,104.76,16563
RU000A10BG13,D,310725,000000,104.07,105.35,104.07,104.88,1518
