<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10BNF8,D,230525,000000,100,100.4,100,100.19,336061
RU000A10BNF8,D,260525,000000,100.19,100.45,100.15,100.2,105396
RU000A10BNF8,D,270525,000000,100.15,100.4,100.15,100.22,49302
RU000A10BNF8,D,280525,000000,100.34,100.74,100.06,100.56,56497
RU000A10BNF8,D,290525,000000,100.5,100.5,100.11,100.35,42787
RU000A10BNF8,D,300525,000000,100.5,100.8,100.3,100.63,35904
RU000A10BNF8,D,020625,000000,100.77,102,100.7,101.03,9012
RU000A10BNF8,D,030625,000000,101.6,101.6,100.17,101.39,106230
RU000A10BNF8,D,040625,000000,101.49,101.49,101,101.3,136673
RU000A10BNF8,D,050625,000000,101.45,102.9,101.3,101.8,99416
RU000A10BNF8,D,060625,000000,102,102,101.41,101.62,14403
RU000A10BNF8,D,090625,000000,102,102,101,101.95,32563
RU000A10BNF8,D,100625,000000,102,102.89,101.02,102.35,35292
RU000A10BNF8,D,110625,000000,102.49,102.5,102.1,102.47,5906
RU000A10BNF8,D,130625,000000,102.8,104.82,102.7,104.29,1370
RU000A10BNF8,D,160625,000000,102.75,102.75,102,102.2,15326
RU000A10BNF8,D,170625,000000,102.2,102.2,101.7,101.94,2237
RU000A10BNF8,D,180625,000000,101.95,102.32,101.5,102.13,4585
RU000A10BNF8,D,190625,000000,102.5,102.5,101.64,102.29,8214
RU000A10BNF8,D,200625,000000,102.4,102.81,102.31,102.8,311592
RU000A10BNF8,D,230625,000000,102.75,102.8,101.71,102.49,51199
RU000A10BNF8,D,240625,000000,102.74,102.75,102.15,102.67,15357
RU000A10BNF8,D,250625,000000,102.6,102.6,102.2,102.46,3117
RU000A10BNF8,D,260625,000000,102.8,103.49,102.4,103.13,26122
RU000A10BNF8,D,270625,000000,102.01,103.5,102.01,103.4,31493
RU000A10BNF8,D,300625,000000,103.5,105.79,103.4,104,16555
RU000A10BNF8,D,010725,000000,104.01,104.99,103.3,104.3,4968
RU000A10BNF8,D,020725,000000,103.42,104.5,103.4,104.19,21394
RU000A10BNF8,D,030725,000000,104.19,104.45,103.56,104.08,14224
RU000A10BNF8,D,040725,000000,104.45,104.45,103.52,104.07,2604
RU000A10BNF8,D,070725,000000,104.46,104.5,103.7,104.5,7623
RU000A10BNF8,D,080725,000000,104.5,104.67,103.7,104.51,4298
RU000A10BNF8,D,090725,000000,104.66,104.66,103.87,104.49,16521
RU000A10BNF8,D,100725,000000,104.09,104.6,103.8,104.37,2312
RU000A10BNF8,D,110725,000000,103.81,105,103.81,104.24,2029
RU000A10BNF8,D,140725,000000,104.48,104.48,103.9,104.33,2673
RU000A10BNF8,D,150725,000000,103.88,105,103.82,104.19,13177
RU000A10BNF8,D,160725,000000,104.99,104.99,103.81,104.8,165992
RU000A10BNF8,D,170725,000000,104.89,105.25,104.8,105.1,6026
RU000A10BNF8,D,180725,000000,105.1,105.1,103.71,105.1,2852
RU000A10BNF8,D,210725,000000,104.9,105.5,104.9,105.2,17937
RU000A10BNF8,D,220725,000000,105.5,105.5,104.9,105.19,7706
RU000A10BNF8,D,230725,000000,105.15,105.7,104.9,105.7,120410
RU000A10BNF8,D,240725,000000,105.88,105.88,105.31,105.69,11540
RU000A10BNF8,D,250725,000000,105.79,106,105.69,105.86,2219
RU000A10BNF8,D,280725,000000,106,106.5,105.71,105.89,24744
RU000A10BNF8,D,290725,000000,105.69,105.95,105.02,105.9,9966
RU000A10BNF8,D,300725,000000,105.94,107.3,105.94,106.68,263
RU000A10BNF8,D,310725,000000,106.33,106.92,104.93,105.74,1274
