<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B7S9,D,020425,000000,100.3,100.33,100.07,100.18,147
RU000A10B7S9,D,030425,000000,100.18,100.2,100,100.13,3193
RU000A10B7S9,D,040425,000000,100.11,100.11,100.03,100.04,1122
RU000A10B7S9,D,070425,000000,100.02,100.04,99.11,99.98,1093
RU000A10B7S9,D,080425,000000,100.03,100.1,100,100.08,281
RU000A10B7S9,D,090425,000000,100,100.08,99.76,100.06,217
RU000A10B7S9,D,100425,000000,100.06,100.07,100.01,100.07,465
RU000A10B7S9,D,110425,000000,99.99,100.1,99.99,100.01,276
RU000A10B7S9,D,140425,000000,100,100.04,100,100.04,173
RU000A10B7S9,D,150425,000000,100.04,100.06,100,100.06,437
RU000A10B7S9,D,160425,000000,99.82,100.1,99.8,100.04,1150
RU000A10B7S9,D,170425,000000,100.04,100.04,100,100,29
RU000A10B7S9,D,180425,000000,100.04,100.07,99.97,100.05,402
RU000A10B7S9,D,210425,000000,100.05,100.05,99.95,100.04,486
RU000A10B7S9,D,220425,000000,100.04,100.04,100.01,100.04,113
RU000A10B7S9,D,230425,000000,99.97,100.06,99.97,100.04,265
RU000A10B7S9,D,240425,000000,100.04,100.06,99.97,100.05,154
RU000A10B7S9,D,250425,000000,100.04,100.1,100.04,100.09,656
RU000A10B7S9,D,280425,000000,100.04,100.07,99.79,100.02,755
RU000A10B7S9,D,290425,000000,100.05,100.05,100.04,100.04,388
RU000A10B7S9,D,300425,000000,100.04,100.15,100.04,100.1,1511
RU000A10B7S9,D,020525,000000,100.1,100.12,100.02,100.02,479
RU000A10B7S9,D,050525,000000,100.02,100.11,99.93,100.11,1010
RU000A10B7S9,D,060525,000000,100.13,100.2,100.02,100.11,1203
RU000A10B7S9,D,070525,000000,100.1,100.2,100.04,100.05,1449
RU000A10B7S9,D,080525,000000,100.04,100.14,100.04,100.04,768
RU000A10B7S9,D,120525,000000,100.06,100.12,100.02,100.12,1918
RU000A10B7S9,D,130525,000000,100.1,100.13,100.05,100.1,2847
RU000A10B7S9,D,140525,000000,100.1,100.11,100.06,100.1,2358
RU000A10B7S9,D,150525,000000,100.06,100.12,100.06,100.1,1081
RU000A10B7S9,D,160525,000000,100.09,100.12,100.08,100.1,1018
