<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B750,D,280325,000000,100.5,100.5,100.05,100.12,719
RU000A10B750,D,310325,000000,100.1,100.3,100,100.04,659
RU000A10B750,D,010425,000000,100.06,100.08,99.97,100,432
RU000A10B750,D,020425,000000,100.07,100.08,100,100.08,859
RU000A10B750,D,030425,000000,100,100.1,100,100.01,1410
RU000A10B750,D,040425,000000,100.06,100.07,99.75,100.02,1291
RU000A10B750,D,070425,000000,100.01,100.04,99.01,99.53,903
RU000A10B750,D,080425,000000,99.99,100,99.34,100,284
RU000A10B750,D,090425,000000,100,100,99.13,99.6,452
RU000A10B750,D,100425,000000,99.59,99.99,99.21,99.8,483
RU000A10B750,D,110425,000000,99.87,100,99.3,99.8,755
RU000A10B750,D,140425,000000,100.01,100.27,100,100,338
RU000A10B750,D,150425,000000,100,100.28,99.97,100.05,249
RU000A10B750,D,160425,000000,100,100.05,99.97,100,208
RU000A10B750,D,170425,000000,100.2,100.2,98,100.01,1187
RU000A10B750,D,180425,000000,100.02,100.05,99.8,100.01,144
RU000A10B750,D,210425,000000,99.95,100.2,99.95,100.18,416
RU000A10B750,D,220425,000000,100.2,100.28,99.99,100.04,1805
RU000A10B750,D,230425,000000,100.28,100.31,100.1,100.15,152
RU000A10B750,D,240425,000000,100.18,100.18,100.01,100.13,321
RU000A10B750,D,250425,000000,100.12,100.12,99.98,100,370
RU000A10B750,D,280425,000000,100.18,102.9,100.06,100.08,289
RU000A10B750,D,290425,000000,100.5,100.56,100.02,100.15,936
RU000A10B750,D,300425,000000,100.38,100.38,99.78,100.07,2496
RU000A10B750,D,020525,000000,100.07,100.07,99.17,99.68,4986
RU000A10B750,D,050525,000000,99.5,99.7,99.36,99.57,2461
RU000A10B750,D,060525,000000,99.55,99.8,99.45,99.8,4214
RU000A10B750,D,070525,000000,99.89,99.89,99.52,99.78,4935
RU000A10B750,D,080525,000000,99.89,99.89,99.54,99.75,3070
RU000A10B750,D,120525,000000,99.97,99.97,99.62,99.95,2585
RU000A10B750,D,130525,000000,99.99,100.18,99.92,100.17,3887
RU000A10B750,D,140525,000000,100.16,100.16,100,100.11,2083
RU000A10B750,D,150525,000000,100.2,100.2,99.66,99.98,4408
RU000A10B750,D,160525,000000,99.98,100.14,99.81,99.93,1970
RU000A10B750,D,190525,000000,100.1,100.13,99.94,99.99,1486
RU000A10B750,D,200525,000000,100.04,100.2,99.99,100.19,2742
RU000A10B750,D,210525,000000,100.14,100.29,100.03,100.07,3202
RU000A10B750,D,220525,000000,100.09,100.15,99.95,99.95,1484
RU000A10B750,D,230525,000000,100.05,100.05,99.82,99.99,1311
RU000A10B750,D,260525,000000,100.08,100.08,99.81,100.07,1982
RU000A10B750,D,270525,000000,100.07,100.99,100.03,100.19,671
RU000A10B750,D,280525,000000,100.19,100.2,100,100.1,1040
RU000A10B750,D,290525,000000,100.15,100.18,99.98,100.09,1952
RU000A10B750,D,300525,000000,100.13,100.14,99.82,100.14,789
RU000A10B750,D,020625,000000,100.15,100.19,99.95,100.08,1200
RU000A10B750,D,030625,000000,100.13,100.16,100.07,100.13,2051
RU000A10B750,D,040625,000000,100.13,100.56,100,100.13,6830
RU000A10B750,D,050625,000000,100.13,100.5,100.09,100.19,4976
RU000A10B750,D,060625,000000,100.15,100.48,100.1,100.47,7775
RU000A10B750,D,090625,000000,100.48,101.94,100.47,101.23,1485
RU000A10B750,D,100625,000000,101.23,101.8,101.19,101.42,1428
RU000A10B750,D,110625,000000,101.37,102.47,101.24,101.91,856
RU000A10B750,D,130625,000000,101.96,103.49,101.53,103.04,608
RU000A10B750,D,160625,000000,102.99,103.49,101.32,101.89,1312
RU000A10B750,D,170625,000000,101.89,102.34,98.58,99.6,6397
RU000A10B750,D,180625,000000,99.7,99.93,99.26,99.78,1822
RU000A10B750,D,190625,000000,99.7,100,99.4,99.9,1461
RU000A10B750,D,200625,000000,99.94,100.24,99.71,99.98,1189
RU000A10B750,D,230625,000000,99.98,100.14,98.7,99.89,3009
RU000A10B750,D,240625,000000,99.89,99.89,99.04,99.83,1078
RU000A10B750,D,250625,000000,99.94,100,99.5,99.98,3255
