<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10BNE1,D,230525,000000,100,101,99.98,100,20678
RU000A10BNE1,D,260525,000000,100.1,100.19,99.02,99.9,36539
RU000A10BNE1,D,270525,000000,100,100.19,99.5,99.76,19825
RU000A10BNE1,D,280525,000000,99.77,100.15,99.76,100.15,23741
RU000A10BNE1,D,290525,000000,100.15,100.8,99.99,100.8,32945
RU000A10BNE1,D,300525,000000,101,101.4,100.5,101.35,15241
RU000A10BNE1,D,020625,000000,101.36,101.5,101.1,101.3,18586
RU000A10BNE1,D,030625,000000,101.01,101.36,101,101.29,7969
RU000A10BNE1,D,040625,000000,101.29,101.35,101.01,101.28,13547
RU000A10BNE1,D,050625,000000,101.29,101.5,101.11,101.5,23224
RU000A10BNE1,D,060625,000000,101.5,101.97,101.4,101.85,20759
RU000A10BNE1,D,090625,000000,101.85,101.96,101.5,101.8,10205
RU000A10BNE1,D,100625,000000,101.85,102.9,101.8,102.4,10510
RU000A10BNE1,D,110625,000000,102.4,102.4,101.45,102.33,5148
RU000A10BNE1,D,130625,000000,102.33,102.33,102.2,102.31,2686
RU000A10BNE1,D,160625,000000,102.2,102.33,101.9,102,5853
RU000A10BNE1,D,170625,000000,102,102.13,101.5,102.13,5928
RU000A10BNE1,D,180625,000000,102.24,102.33,101.5,102,4792
RU000A10BNE1,D,190625,000000,102.01,102.25,101.5,101.9,3260
RU000A10BNE1,D,200625,000000,101.98,101.98,101.6,101.98,1118
RU000A10BNE1,D,230625,000000,101.98,102.25,100.01,101.79,5913
RU000A10BNE1,D,240625,000000,102.25,102.87,101.9,102,8498
RU000A10BNE1,D,250625,000000,102.4,102.8,101.6,101.63,5571
RU000A10BNE1,D,260625,000000,101.64,102.49,101.63,102.49,3239
RU000A10BNE1,D,270625,000000,102.49,102.85,101.6,102.43,1344
RU000A10BNE1,D,300625,000000,102.86,103.44,102.43,102.98,1005
RU000A10BNE1,D,010725,000000,103.4,103.4,102.83,103.1,644
RU000A10BNE1,D,020725,000000,103.09,103.53,102.51,103.53,1706
RU000A10BNE1,D,030725,000000,103.54,104.75,102.67,103.81,5171
RU000A10BNE1,D,040725,000000,103.81,104.4,102.5,103.93,3004
RU000A10BNE1,D,070725,000000,104,104.28,103.43,104.06,1286
RU000A10BNE1,D,080725,000000,104.05,104.47,102.68,104.1,1106
RU000A10BNE1,D,090725,000000,104.09,104.47,102.23,103.2,1869
RU000A10BNE1,D,100725,000000,103.11,104.46,103.11,104.19,1296
RU000A10BNE1,D,110725,000000,104.25,104.25,103.82,103.95,279
RU000A10BNE1,D,140725,000000,104.05,104.05,103,103.51,2464
RU000A10BNE1,D,150725,000000,103.59,104.07,103.46,103.9,1534
RU000A10BNE1,D,160725,000000,103.9,103.97,102.49,103.75,2496
RU000A10BNE1,D,170725,000000,103.79,103.8,103.05,103.5,1280
RU000A10BNE1,D,180725,000000,103.77,104.1,103.26,104.04,2764
RU000A10BNE1,D,210725,000000,104.05,104.05,103.44,103.8,2074
RU000A10BNE1,D,220725,000000,103.98,104,102.73,103.7,1552
RU000A10BNE1,D,230725,000000,104.01,104.44,103.7,104.3,2463
RU000A10BNE1,D,240725,000000,104.3,104.49,104.13,104.49,1269
RU000A10BNE1,D,250725,000000,104.49,106.39,104.49,105.5,2874
RU000A10BNE1,D,280725,000000,106.46,106.85,105.11,105.49,6359
RU000A10BNE1,D,290725,000000,105.55,105.55,104.15,105.47,923
RU000A10BNE1,D,300725,000000,104.43,106.83,104.43,105.9,402
RU000A10BNE1,D,310725,000000,105.34,114.97,104.8,104.8,1173
