<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10BFX7,D,220425,000000,102,102,99.74,99.89,130013
RU000A10BFX7,D,230425,000000,100,100.79,99.88,100.65,125419
RU000A10BFX7,D,240425,000000,100.85,101.7,100.66,101.64,50018
RU000A10BFX7,D,250425,000000,101.77,102.5,100.65,101.9,77469
RU000A10BFX7,D,280425,000000,101.95,103.49,101.95,103,59805
RU000A10BFX7,D,290425,000000,103.75,103.98,103,103.6,29033
RU000A10BFX7,D,300425,000000,103.7,104.9,103.2,104.9,17880
RU000A10BFX7,D,020525,000000,104.95,107.8,104.02,105.05,16807
RU000A10BFX7,D,050525,000000,104.99,105,104,104.5,23436
RU000A10BFX7,D,060525,000000,104.51,104.99,104.4,104.99,42857
RU000A10BFX7,D,070525,000000,105,106.99,104.93,106.48,13874
RU000A10BFX7,D,080525,000000,106.5,107.5,106.48,107,13055
RU000A10BFX7,D,120525,000000,107.5,107.5,106,106.5,36114
RU000A10BFX7,D,130525,000000,106.5,106.8,106.3,106.7,16176
RU000A10BFX7,D,140525,000000,106.9,106.9,106,106.6,20821
RU000A10BFX7,D,150525,000000,106.55,106.75,105.9,106.38,16115
RU000A10BFX7,D,160525,000000,106.74,106.74,104.99,106,8282
RU000A10BFX7,D,190525,000000,106,106.5,105.34,105.8,18766
RU000A10BFX7,D,200525,000000,105.9,105.99,105.1,105.42,12612
RU000A10BFX7,D,210525,000000,105.99,106,104.8,104.93,15561
RU000A10BFX7,D,220525,000000,104.93,104.93,103.13,103.9,28874
RU000A10BFX7,D,230525,000000,103.89,104,102.99,103.7,27314
RU000A10BFX7,D,260525,000000,103.9,104,103.26,103.67,49250
RU000A10BFX7,D,270525,000000,103.97,103.97,102.5,103.44,34538
RU000A10BFX7,D,280525,000000,103.43,103.84,103,103.7,29570
RU000A10BFX7,D,290525,000000,103.71,104.25,103.65,104,58088
RU000A10BFX7,D,300525,000000,104,104.37,103.57,103.95,25866
RU000A10BFX7,D,020625,000000,104,104.8,103.9,104.7,53597
RU000A10BFX7,D,030625,000000,105,105.47,104.7,105.25,32584
RU000A10BFX7,D,040625,000000,105,106,104.75,105.95,33606
RU000A10BFX7,D,050625,000000,105.99,107.97,105.97,106.89,62378
RU000A10BFX7,D,060625,000000,106.98,107.46,106.14,106.89,36695
RU000A10BFX7,D,090625,000000,106.9,107.98,106.27,106.63,32046
RU000A10BFX7,D,100625,000000,107.06,107.49,106.3,106.5,26529
RU000A10BFX7,D,110625,000000,106.49,106.59,106.37,106.5,28042
RU000A10BFX7,D,130625,000000,106.59,107.5,106.3,106.99,15864
RU000A10BFX7,D,160625,000000,107,107.54,103.9,105.25,51282
RU000A10BFX7,D,170625,000000,105.3,106.5,105.02,105.88,29013
RU000A10BFX7,D,180625,000000,105.79,105.9,104.5,105.9,30402
RU000A10BFX7,D,190625,000000,105.99,106,105.4,105.99,25513
RU000A10BFX7,D,200625,000000,106,106,105.49,105.88,28787
RU000A10BFX7,D,230625,000000,105.87,105.87,103.35,104.56,64073
RU000A10BFX7,D,240625,000000,105,105.39,103.5,104.65,46107
RU000A10BFX7,D,250625,000000,105.17,105.88,104.33,104.7,29627
RU000A10BFX7,D,260625,000000,104.8,105.8,104.7,105.5,39380
RU000A10BFX7,D,270625,000000,105.49,106.5,104,104.82,62307
RU000A10BFX7,D,300625,000000,105.82,107,104.82,106.7,38283
RU000A10BFX7,D,010725,000000,106.92,109,106.6,108.86,26030
RU000A10BFX7,D,020725,000000,108.86,109.66,105.65,109.26,28060
RU000A10BFX7,D,030725,000000,109.27,110,109.26,109.99,12564
RU000A10BFX7,D,040725,000000,109.99,111,109.29,110.51,12635
RU000A10BFX7,D,070725,000000,110.05,111.99,109.28,110.3,15391
RU000A10BFX7,D,080725,000000,110.3,110.48,109.01,110,11482
RU000A10BFX7,D,090725,000000,110,110.27,107.63,109.52,16200
RU000A10BFX7,D,100725,000000,109.52,110.7,108.11,110,12563
RU000A10BFX7,D,110725,000000,110,111.12,109.11,110.45,16496
RU000A10BFX7,D,140725,000000,107.5,112.3,107.5,111,18027
RU000A10BFX7,D,150725,000000,111.37,114.99,111.05,113.12,19808
RU000A10BFX7,D,160725,000000,113.14,114.99,113.12,114.83,10548
RU000A10BFX7,D,170725,000000,114.83,115.5,112.6,113.27,30670
RU000A10BFX7,D,180725,000000,113.25,116.53,112.88,116.08,27166
RU000A10BFX7,D,210725,000000,116.08,116.6,114.3,115.89,21028
RU000A10BFX7,D,220725,000000,115.89,117.5,115.04,117.1,16146
RU000A10BFX7,D,230725,000000,117.83,118.31,117,117.56,11027
RU000A10BFX7,D,240725,000000,117.75,119.9,117.7,118.62,10346
RU000A10BFX7,D,250725,000000,118.64,120,116.1,118.01,15646
RU000A10BFX7,D,280725,000000,118.5,119,115.11,115.31,13449
RU000A10BFX7,D,290725,000000,117.19,118,114.07,117.5,15530
RU000A10BFX7,D,300725,000000,116.52,118.96,116.46,118.7,8907
RU000A10BFX7,D,310725,000000,119.04,119.04,117.23,117.9,5294
