<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B933,D,080425,000000,100.09,100.09,99.47,99.59,736487
RU000A10B933,D,090425,000000,99.62,99.69,98.5,98.73,297790
RU000A10B933,D,100425,000000,99.35,99.47,98.9,99.15,218603
RU000A10B933,D,110425,000000,99.25,100,99.16,99.25,399772
RU000A10B933,D,140425,000000,99.65,99.81,99.35,99.54,253972
RU000A10B933,D,150425,000000,99.55,99.77,99.31,99.6,164537
RU000A10B933,D,160425,000000,99.72,99.86,99.39,99.65,171348
RU000A10B933,D,170425,000000,99.65,99.79,99.55,99.73,156971
RU000A10B933,D,180425,000000,99.79,99.8,99.54,99.62,171851
RU000A10B933,D,210425,000000,99.77,99.79,99.52,99.64,178335
RU000A10B933,D,220425,000000,99.74,99.74,99.54,99.6,204658
RU000A10B933,D,230425,000000,99.66,99.75,99.53,99.53,297296
RU000A10B933,D,240425,000000,99.6,99.97,99.55,99.89,203521
RU000A10B933,D,250425,000000,99.95,100.15,99.85,100.14,200351
RU000A10B933,D,280425,000000,100.28,101.86,100.16,101.49,120754
RU000A10B933,D,290425,000000,101.49,101.9,101.1,101.5,74164
RU000A10B933,D,300425,000000,101.69,102.5,101.3,102.23,100121
RU000A10B933,D,020525,000000,102.24,102.91,102.23,102.4,52107
RU000A10B933,D,050525,000000,102.4,102.79,102.02,102.25,80206
RU000A10B933,D,060525,000000,102.38,103,102.25,102.99,56027
RU000A10B933,D,070525,000000,102.99,103.83,102.8,103.75,54805
RU000A10B933,D,080525,000000,103.74,104.86,103.6,104.32,45986
RU000A10B933,D,120525,000000,104.3,104.59,103.9,104.36,68742
RU000A10B933,D,130525,000000,104.4,104.48,103.45,103.69,92977
RU000A10B933,D,140525,000000,103.69,103.82,103.2,103.76,73772
RU000A10B933,D,150525,000000,103.97,103.97,103.34,103.5,51723
RU000A10B933,D,160525,000000,103.68,103.99,103.11,103.38,53240
RU000A10B933,D,190525,000000,103.77,103.95,103.28,103.4,85711
RU000A10B933,D,200525,000000,103.4,103.68,102.9,103.3,53634
RU000A10B933,D,210525,000000,103.35,103.35,102.36,102.98,75321
RU000A10B933,D,220525,000000,102.97,102.98,102.34,102.85,57811
RU000A10B933,D,230525,000000,102.85,102.98,102.04,102.4,82867
RU000A10B933,D,260525,000000,102.46,102.6,102,102.59,96107
RU000A10B933,D,270525,000000,102.79,102.84,102.24,102.7,52573
RU000A10B933,D,280525,000000,102.85,103.31,102.7,103.3,41561
RU000A10B933,D,290525,000000,103.31,103.42,102.7,102.8,77574
RU000A10B933,D,300525,000000,103,103.46,102.8,103.42,50480
RU000A10B933,D,020625,000000,103.42,103.96,102.7,103.96,48161
RU000A10B933,D,030625,000000,103.96,104.49,103.7,104.18,57310
RU000A10B933,D,040625,000000,104.25,105.39,104,104.93,54951
RU000A10B933,D,050625,000000,105.09,105.6,105,105.28,67170
RU000A10B933,D,060625,000000,105.3,106.9,104.61,105.98,100881
RU000A10B933,D,090625,000000,105.99,107,105.35,105.69,37025
RU000A10B933,D,100625,000000,105.81,105.95,105.01,105.82,40022
RU000A10B933,D,110625,000000,105.62,106.09,105.26,105.86,39319
RU000A10B933,D,130625,000000,106.02,106.15,105.45,106.15,15710
RU000A10B933,D,160625,000000,106.18,106.49,105.8,106.11,32136
RU000A10B933,D,170625,000000,106.4,106.9,106.01,106.14,43517
RU000A10B933,D,180625,000000,106.15,106.65,106,106.64,36283
RU000A10B933,D,190625,000000,106.64,107.25,106.51,107,74572
RU000A10B933,D,200625,000000,107.17,107.31,106.25,106.67,36861
RU000A10B933,D,230625,000000,106.67,106.96,105.58,106.29,51193
RU000A10B933,D,240625,000000,106.6,106.82,105.21,105.83,55064
RU000A10B933,D,250625,000000,105.97,106.99,105.6,106.79,27982
RU000A10B933,D,260625,000000,106.7,107.5,106.14,106.97,39331
RU000A10B933,D,270625,000000,106.79,107,106.14,106.96,56987
RU000A10B933,D,300625,000000,106.96,107.71,106.5,107.47,46557
RU000A10B933,D,010725,000000,107.4,108.49,107,108.11,43250
RU000A10B933,D,020725,000000,108.11,108.46,107.42,108.29,39777
RU000A10B933,D,030725,000000,108.29,108.29,107.5,107.94,49707
RU000A10B933,D,040725,000000,107.99,108,106.83,107.53,66794
RU000A10B933,D,070725,000000,107.4,107.48,106.88,107.38,91706
RU000A10B933,D,080725,000000,107.4,107.6,106.67,106.94,55090
RU000A10B933,D,090725,000000,107.12,107.18,106.62,106.86,70756
RU000A10B933,D,100725,000000,106.9,107.26,106.01,106.51,71972
RU000A10B933,D,110725,000000,106.86,107.4,106.56,107.3,50229
RU000A10B933,D,140725,000000,107.29,107.58,106.88,107.35,68392
RU000A10B933,D,150725,000000,107.94,108.19,106.74,107.85,75039
RU000A10B933,D,160725,000000,107.85,108.79,107.43,108.79,110711
RU000A10B933,D,170725,000000,108.8,109.42,108.13,108.72,91330
RU000A10B933,D,180725,000000,108.72,110,108.54,110,45099
RU000A10B933,D,210725,000000,110,110,108.69,109,68637
RU000A10B933,D,220725,000000,109,109.87,107.71,108.28,100204
RU000A10B933,D,230725,000000,108.91,109.2,107.96,109.2,69350
RU000A10B933,D,240725,000000,109.2,110.1,108.59,109.28,46972
RU000A10B933,D,250725,000000,109.3,110.39,109.29,110.04,52476
RU000A10B933,D,280725,000000,110.02,110.25,109.1,109.5,32595
