<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10BHX3,D,290425,000000,100.89,100.89,100.01,100.6,506
RU000A10BHX3,D,300425,000000,100.57,100.57,99.96,100.1,508
RU000A10BHX3,D,020525,000000,100.05,100.16,100.01,100.12,641
RU000A10BHX3,D,050525,000000,100.15,100.15,100,100.06,990
RU000A10BHX3,D,060525,000000,100.09,100.14,100.01,100.12,622
RU000A10BHX3,D,070525,000000,100.25,100.25,100.1,100.19,756
RU000A10BHX3,D,080525,000000,100.29,101.2,100,100.09,691
RU000A10BHX3,D,120525,000000,100.05,100.53,100.05,100.11,757
RU000A10BHX3,D,130525,000000,100.17,100.19,100.1,100.14,508
RU000A10BHX3,D,140525,000000,100.32,100.32,100.05,100.1,406
RU000A10BHX3,D,150525,000000,100.42,100.43,100.07,100.1,315
RU000A10BHX3,D,160525,000000,100.14,100.15,100.07,100.15,714
RU000A10BHX3,D,190525,000000,100.07,100.15,100.01,100.01,957
RU000A10BHX3,D,200525,000000,100.12,100.19,100.06,100.16,445
RU000A10BHX3,D,210525,000000,100.14,100.14,100.02,100.06,549
RU000A10BHX3,D,220525,000000,100.04,100.1,100,100,498
RU000A10BHX3,D,230525,000000,100.02,100.08,99.99,100,222
RU000A10BHX3,D,260525,000000,99.99,100,99.99,100,367
RU000A10BHX3,D,270525,000000,100,100.11,99.99,100.1,562
RU000A10BHX3,D,280525,000000,100.09,100.14,99.99,100.12,659
RU000A10BHX3,D,290525,000000,100.01,100.14,99.99,99.99,936
RU000A10BHX3,D,300525,000000,100,100.1,99.99,100.09,322
RU000A10BHX3,D,020625,000000,100.01,100.3,100.01,100.15,582
RU000A10BHX3,D,030625,000000,100.03,100.21,100.03,100.15,534
RU000A10BHX3,D,040625,000000,100.15,100.5,100.08,100.16,1483
RU000A10BHX3,D,050625,000000,100.13,100.25,100.1,100.22,847
RU000A10BHX3,D,060625,000000,100.13,100.34,100.1,100.28,1303
RU000A10BHX3,D,090625,000000,100.13,100.17,100.01,100.11,1749
RU000A10BHX3,D,100625,000000,100.12,100.35,100.1,100.16,1721
RU000A10BHX3,D,110625,000000,100.13,100.18,100.04,100.14,1464
RU000A10BHX3,D,130625,000000,100.14,100.14,100.01,100.1,800
RU000A10BHX3,D,160625,000000,100.13,100.15,71.01,99.92,2376
RU000A10BHX3,D,170625,000000,99.99,100,99.8,99.96,920
RU000A10BHX3,D,180625,000000,99.64,100.1,98,99.73,1444
RU000A10BHX3,D,190625,000000,100.09,100.09,99.2,100,440
RU000A10BHX3,D,200625,000000,99.2,100.1,99.2,100,868
RU000A10BHX3,D,230625,000000,100.09,100.75,98.05,99.9,1501
RU000A10BHX3,D,240625,000000,99.97,99.98,99.86,99.95,378
RU000A10BHX3,D,250625,000000,99.87,99.87,99.1,99.48,308
RU000A10BHX3,D,260625,000000,99.98,99.99,99.81,99.9,213
RU000A10BHX3,D,270625,000000,99.9,100.12,99.21,100.09,681
RU000A10BHX3,D,300625,000000,100,100.13,99.45,100.13,628
RU000A10BHX3,D,010725,000000,100.12,100.17,99.98,100.09,2612
RU000A10BHX3,D,020725,000000,100.09,100.12,99.96,100.11,841
RU000A10BHX3,D,030725,000000,100.12,100.17,99.99,100.16,1095
RU000A10BHX3,D,040725,000000,100.13,100.2,99.97,100.16,1259
RU000A10BHX3,D,070725,000000,100.14,100.17,99.96,100.09,1275
RU000A10BHX3,D,080725,000000,100.12,100.19,100,100.08,497
RU000A10BHX3,D,090725,000000,100.11,100.11,100.01,100.02,246
RU000A10BHX3,D,100725,000000,100.02,100.19,99.97,100.19,1535
RU000A10BHX3,D,110725,000000,100.13,100.14,99.9,100.1,516
RU000A10BHX3,D,140725,000000,100.13,100.14,99.99,100.09,843
RU000A10BHX3,D,150725,000000,100.09,100.15,100,100.11,898
RU000A10BHX3,D,160725,000000,100.11,100.11,99.96,100.09,881
RU000A10BHX3,D,170725,000000,100.12,100.12,100,100.1,695
RU000A10BHX3,D,180725,000000,100.12,100.12,100.01,100.11,866
RU000A10BHX3,D,210725,000000,100.13,100.13,100.05,100.13,2852
RU000A10BHX3,D,220725,000000,100.13,100.13,100.07,100.1,1359
RU000A10BHX3,D,230725,000000,100.1,100.15,100.06,100.1,1413
RU000A10BHX3,D,240725,000000,100.12,100.12,100,100.09,1824
RU000A10BHX3,D,250725,000000,100.09,100.13,100.03,100.12,1809
RU000A10BHX3,D,280725,000000,100.12,100.17,100.02,100.15,1575
RU000A10BHX3,D,290725,000000,100.13,100.25,100,100.1,4236
RU000A10BHX3,D,300725,000000,100.13,100.13,100,100.07,741
RU000A10BHX3,D,310725,000000,100,100.16,99.91,100.09,1602
