<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10ASF9,D,030225,000000,100.1,100.12,99.99,100,8122
RU000A10ASF9,D,040225,000000,99.99,100,99.94,99.97,3568
RU000A10ASF9,D,050225,000000,99.99,99.99,99.02,99.9,3726
RU000A10ASF9,D,060225,000000,99.94,99.94,99.8,99.9,5652
RU000A10ASF9,D,070225,000000,99.9,99.99,99.74,99.9,2823
RU000A10ASF9,D,100225,000000,99.98,99.99,99.9,99.97,1776
RU000A10ASF9,D,110225,000000,99.92,100,99.88,99.97,4857
RU000A10ASF9,D,120225,000000,99.99,99.99,99.78,99.9,2275
RU000A10ASF9,D,130225,000000,99.98,100,99.89,99.99,4720
RU000A10ASF9,D,140225,000000,99.99,99.99,99.85,99.99,4633
RU000A10ASF9,D,170225,000000,99.99,99.99,99.8,99.89,2860
RU000A10ASF9,D,180225,000000,99.9,99.9,99.8,99.89,3279
RU000A10ASF9,D,190225,000000,99.99,99.99,99.75,99.9,3850
RU000A10ASF9,D,200225,000000,99.97,99.99,99.75,99.9,3012
RU000A10ASF9,D,210225,000000,99.9,99.98,99.75,99.8,4311
RU000A10ASF9,D,240225,000000,99.85,99.9,99.75,99.88,3469
RU000A10ASF9,D,250225,000000,99.88,99.88,99.7,99.88,3407
RU000A10ASF9,D,260225,000000,99.89,99.89,99.62,99.8,2495
RU000A10ASF9,D,270225,000000,99.89,99.99,99.58,99.98,4527
RU000A10ASF9,D,280225,000000,99.98,100.87,99.85,100.19,5617
RU000A10ASF9,D,030325,000000,100.03,100.4,99.61,100.1,6017
RU000A10ASF9,D,040325,000000,100.1,100.19,99.9,100.08,4489
RU000A10ASF9,D,050325,000000,100.07,100.2,99.8,100.01,4398
RU000A10ASF9,D,060325,000000,100.09,100.18,99.79,100.08,5307
RU000A10ASF9,D,070325,000000,100.05,100.7,99.7,100,10220
RU000A10ASF9,D,100325,000000,100.19,100.19,99.7,100.05,7538
RU000A10ASF9,D,110325,000000,100.01,100.07,99.8,99.83,5676
RU000A10ASF9,D,120325,000000,100.18,100.18,99.93,100.06,2074
RU000A10ASF9,D,130325,000000,100.11,100.2,99.95,100.01,3125
RU000A10ASF9,D,140325,000000,100.15,100.16,99.95,100,3142
RU000A10ASF9,D,170325,000000,100.01,100.15,99.82,100,4942
RU000A10ASF9,D,180325,000000,100,100.15,99.9,99.99,3278
RU000A10ASF9,D,190325,000000,99.91,100.19,99.87,100.02,4119
RU000A10ASF9,D,200325,000000,99.99,100.07,99.77,100.02,5229
RU000A10ASF9,D,210325,000000,100.02,100.08,99.75,100.04,5027
RU000A10ASF9,D,240325,000000,100,100.05,99.8,100,4232
RU000A10ASF9,D,250325,000000,100,100.04,99.8,100,3344
RU000A10ASF9,D,260325,000000,100,100.03,99.8,99.99,3979
RU000A10ASF9,D,270325,000000,99.81,100,99.69,99.97,3018
RU000A10ASF9,D,280325,000000,99.97,99.98,99.7,99.93,2395
RU000A10ASF9,D,310325,000000,99.78,99.96,99.7,99.87,2104
RU000A10ASF9,D,010425,000000,99.92,99.95,99.7,99.91,2146
RU000A10ASF9,D,020425,000000,99.82,99.98,99.68,99.98,2706
RU000A10ASF9,D,030425,000000,99.89,100,99.71,100,4598
RU000A10ASF9,D,040425,000000,99.99,100,99.6,99.79,5402
RU000A10ASF9,D,070425,000000,99.79,99.79,98.05,99.5,4243
RU000A10ASF9,D,080425,000000,99.51,99.97,98.7,99.5,3284
RU000A10ASF9,D,090425,000000,99.51,99.98,99.36,99.77,4250
RU000A10ASF9,D,100425,000000,99.49,99.9,99.3,99.86,1978
RU000A10ASF9,D,110425,000000,99.9,99.99,99.4,99.5,2665
RU000A10ASF9,D,140425,000000,99.9,99.96,99.3,99.78,1649
RU000A10ASF9,D,150425,000000,99.88,99.88,99,99.69,4415
RU000A10ASF9,D,160425,000000,99.74,99.74,99,99.72,3833
RU000A10ASF9,D,170425,000000,99.74,99.74,99.31,99.5,1386
RU000A10ASF9,D,180425,000000,99.69,99.69,99.2,99.63,2332
RU000A10ASF9,D,210425,000000,99.62,99.7,99.41,99.7,1837
RU000A10ASF9,D,220425,000000,99.7,99.7,99.33,99.48,2108
RU000A10ASF9,D,230425,000000,99.67,99.72,99.3,99.64,1697
RU000A10ASF9,D,240425,000000,99.64,99.69,99.3,99.49,3826
RU000A10ASF9,D,250425,000000,99.5,99.63,99.3,99.62,2124
RU000A10ASF9,D,280425,000000,99.62,99.71,99.2,99.5,3371
RU000A10ASF9,D,290425,000000,99.59,99.6,99.28,99.32,1241
RU000A10ASF9,D,300425,000000,99.33,99.55,99.2,99.43,2138
RU000A10ASF9,D,020525,000000,99.3,99.75,99,99.72,3445
RU000A10ASF9,D,050525,000000,99.7,99.75,99.2,99.57,6940
RU000A10ASF9,D,060525,000000,99.7,100.1,99.51,99.7,7548
RU000A10ASF9,D,070525,000000,99.97,100.1,99.5,99.6,4872
RU000A10ASF9,D,080525,000000,99.92,99.97,99.8,99.95,726
RU000A10ASF9,D,120525,000000,99.84,99.84,99.37,99.5,6693
RU000A10ASF9,D,130525,000000,99.79,99.79,99.45,99.65,4428
RU000A10ASF9,D,140525,000000,99.63,99.7,99.47,99.7,2830
RU000A10ASF9,D,150525,000000,99.69,99.79,99.53,99.7,3002
RU000A10ASF9,D,160525,000000,99.74,99.79,99.48,99.75,2374
RU000A10ASF9,D,190525,000000,99.75,99.79,99.64,99.7,1355
RU000A10ASF9,D,200525,000000,99.7,99.7,99.5,99.69,1930
RU000A10ASF9,D,210525,000000,99.69,99.75,99.43,99.5,1783
RU000A10ASF9,D,220525,000000,99.51,99.68,99.4,99.6,932
RU000A10ASF9,D,230525,000000,99.5,99.6,99.3,99.59,3221
RU000A10ASF9,D,260525,000000,99.5,99.79,99.11,99.41,2395
RU000A10ASF9,D,270525,000000,99.59,99.7,99.35,99.63,2126
RU000A10ASF9,D,280525,000000,99.59,99.6,99.3,99.48,5600
RU000A10ASF9,D,290525,000000,99.59,99.59,99.16,99.16,2891
RU000A10ASF9,D,300525,000000,99.53,99.57,99.22,99.57,2016
RU000A10ASF9,D,020625,000000,99.58,99.75,99.17,99.75,4870
RU000A10ASF9,D,030625,000000,99.75,99.94,99.58,99.94,3098
RU000A10ASF9,D,040625,000000,99.94,99.99,99.8,99.98,1675
RU000A10ASF9,D,050625,000000,99.98,100.5,99.7,100.2,2894
