<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B024,D,040325,000000,100.15,100.32,99.5,99.7,328959
RU000A10B024,D,050325,000000,99.9,99.9,99.6,99.7,184170
RU000A10B024,D,060325,000000,99.84,99.84,99.52,99.72,256168
RU000A10B024,D,070325,000000,99.87,100.09,99.55,100,391393
RU000A10B024,D,100325,000000,100,100,99.85,100,67568
RU000A10B024,D,110325,000000,100,100.1,99.95,100.01,58311
RU000A10B024,D,120325,000000,100.11,100.23,99.94,100.04,90084
RU000A10B024,D,130325,000000,100.32,100.32,99.92,100.1,192051
RU000A10B024,D,140325,000000,100.4,100.4,99.96,100.3,228817
RU000A10B024,D,170325,000000,100.5,100.9,100.3,100.68,73124
RU000A10B024,D,180325,000000,100.7,102,100.2,101.5,127797
RU000A10B024,D,190325,000000,101.98,102.49,101.52,101.98,22925
RU000A10B024,D,200325,000000,102.3,102.5,101.96,102.01,44135
RU000A10B024,D,210325,000000,102.49,102.49,101.5,101.98,80614
RU000A10B024,D,240325,000000,102.2,102.2,101.55,101.9,228505
RU000A10B024,D,250325,000000,102,102,101.71,101.89,48155
RU000A10B024,D,260325,000000,102,102.4,101.5,101.99,54953
RU000A10B024,D,270325,000000,101.99,102,101.7,101.9,48353
RU000A10B024,D,280325,000000,101.9,102,101.75,101.93,13324
RU000A10B024,D,310325,000000,101.76,101.93,100.72,101.5,39334
RU000A10B024,D,010425,000000,101.8,101.81,101,101.2,14133
RU000A10B024,D,020425,000000,101.73,102.97,101.2,101.5,70397
RU000A10B024,D,030425,000000,101.94,102,101.5,101.73,48217
RU000A10B024,D,040425,000000,101.95,101.97,101,101.65,50446
RU000A10B024,D,070425,000000,101.65,101.65,99.93,100.94,47067
RU000A10B024,D,080425,000000,100.94,101.73,100.37,101.05,24936
RU000A10B024,D,090425,000000,100.75,101.39,100.27,100.77,67219
RU000A10B024,D,100425,000000,100.83,101.69,100.5,101.25,15093
RU000A10B024,D,110425,000000,101.44,101.69,100.22,101.5,221898
RU000A10B024,D,140425,000000,101.7,101.95,100.5,101.2,179436
RU000A10B024,D,150425,000000,101.41,101.49,100.9,101,12240
RU000A10B024,D,160425,000000,101.4,101.8,100.96,101.68,14267
RU000A10B024,D,170425,000000,101.7,101.9,101.15,101.69,40794
RU000A10B024,D,180425,000000,101.69,102.15,101.41,101.49,13618
RU000A10B024,D,210425,000000,101.49,101.9,100.55,101.44,12855
RU000A10B024,D,220425,000000,101.57,101.58,101.2,101.34,17019
RU000A10B024,D,230425,000000,101.68,101.68,100.9,101.25,15111
RU000A10B024,D,240425,000000,101.5,101.56,100.94,101.3,9591
RU000A10B024,D,250425,000000,101.53,101.69,101,101.54,32752
RU000A10B024,D,280425,000000,101.51,101.84,101.27,101.73,32170
RU000A10B024,D,290425,000000,101.9,101.98,101.68,101.95,85866
RU000A10B024,D,300425,000000,101.99,102.44,101.95,102,18055
RU000A10B024,D,020525,000000,102,103.87,102,103.05,6380
RU000A10B024,D,050525,000000,102.97,102.98,101.74,102.05,30646
RU000A10B024,D,060525,000000,102.99,103.95,101.79,102.04,19395
RU000A10B024,D,070525,000000,102.89,102.89,101.8,102.3,31052
RU000A10B024,D,080525,000000,102.72,102.86,102.03,102.83,5019
RU000A10B024,D,120525,000000,102.92,102.92,101.92,102,18801
RU000A10B024,D,130525,000000,102.3,102.3,101.85,102,27082
RU000A10B024,D,140525,000000,102.27,102.28,101.6,101.95,11104
RU000A10B024,D,150525,000000,101.95,102.23,101.82,101.9,10687
RU000A10B024,D,160525,000000,102.16,102.18,101.83,101.95,9599
RU000A10B024,D,190525,000000,102.12,102.15,101.6,101.9,126177
RU000A10B024,D,200525,000000,102,102.05,101.66,101.98,143829
RU000A10B024,D,210525,000000,102.11,102.11,101.61,101.89,13649
RU000A10B024,D,220525,000000,101.98,101.98,101.5,101.84,12841
RU000A10B024,D,230525,000000,101.8,101.9,101.41,101.9,9404
RU000A10B024,D,260525,000000,101.99,101.99,101.06,101.65,18253
RU000A10B024,D,270525,000000,101.95,101.95,101.2,101.89,13854
RU000A10B024,D,280525,000000,101.89,101.97,101.46,101.52,19991
RU000A10B024,D,290525,000000,101.54,101.99,101.4,101.59,29169
RU000A10B024,D,300525,000000,101.95,101.98,101.52,101.9,24921
RU000A10B024,D,020625,000000,101.87,102.29,101.4,102.29,22471
RU000A10B024,D,030625,000000,102.27,102.29,101.57,102.1,33552
RU000A10B024,D,040625,000000,102.27,102.97,101.69,102.79,33519
RU000A10B024,D,050625,000000,102.3,103,101.94,102.99,44318
RU000A10B024,D,060625,000000,103,104,102,103.57,61998
RU000A10B024,D,090625,000000,103.3,103.57,101.85,102.47,53748
RU000A10B024,D,100625,000000,102.45,102.66,101.5,102.25,64676
RU000A10B024,D,110625,000000,102.44,102.53,101.91,102.48,45000
RU000A10B024,D,130625,000000,102.29,103.92,102.1,102.59,6924
RU000A10B024,D,160625,000000,102.58,102.88,102.07,102.69,18557
RU000A10B024,D,170625,000000,102.77,104,102.21,103.2,11568
RU000A10B024,D,180625,000000,103.31,104,103.1,103.86,13697
RU000A10B024,D,190625,000000,103.86,104.93,103.28,103.59,20505
RU000A10B024,D,200625,000000,103.85,103.85,102.87,103.06,17742
RU000A10B024,D,230625,000000,103.2,103.45,102.54,102.84,20282
RU000A10B024,D,240625,000000,102.89,102.97,102.01,102.49,28946
RU000A10B024,D,250625,000000,102.5,102.96,102.31,102.5,31309
RU000A10B024,D,260625,000000,102.5,102.97,102.2,102.7,36506
RU000A10B024,D,270625,000000,102.96,102.96,102.28,102.45,30974
