<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10BP46,D,270525,000000,100,100.35,99.47,99.6,63164
RU000A10BP46,D,280525,000000,99.82,99.99,98.98,99.1,132994
RU000A10BP46,D,290525,000000,99.21,99.46,98.46,99.17,134346
RU000A10BP46,D,300525,000000,99.21,99.74,99,99.74,26329
RU000A10BP46,D,020625,000000,99.75,100.1,99.75,100.07,21180
RU000A10BP46,D,030625,000000,100.07,100.2,99.97,100,44741
RU000A10BP46,D,040625,000000,100.06,100.18,99.95,100.17,36014
RU000A10BP46,D,050625,000000,100.17,100.97,100.12,100.82,22873
RU000A10BP46,D,060625,000000,100.93,101.38,100.42,101.02,18593
RU000A10BP46,D,090625,000000,101.22,101.4,100.42,100.88,13380
RU000A10BP46,D,100625,000000,101.1,101.1,100.5,100.8,8420
RU000A10BP46,D,110625,000000,101.19,101.2,100.8,101.1,8389
RU000A10BP46,D,130625,000000,101.19,101.19,100.71,101,8147
RU000A10BP46,D,160625,000000,101.15,101.19,100.72,100.91,12779
RU000A10BP46,D,170625,000000,100.79,101.09,100.4,100.58,11155
RU000A10BP46,D,180625,000000,100.67,100.67,100.11,100.43,10042
RU000A10BP46,D,190625,000000,100.75,100.75,100.26,100.44,5725
RU000A10BP46,D,200625,000000,100.5,100.66,100.31,100.48,7069
RU000A10BP46,D,230625,000000,100.48,100.55,99.91,100.06,21668
RU000A10BP46,D,240625,000000,100.15,100.33,99.55,100,11941
RU000A10BP46,D,250625,000000,100.09,100.2,99.95,100.11,9451
RU000A10BP46,D,260625,000000,100.11,100.74,100.01,100.45,13714
RU000A10BP46,D,270625,000000,100.45,100.7,100.25,100.25,16062
RU000A10BP46,D,300625,000000,100.35,100.98,100.25,100.95,14418
RU000A10BP46,D,010725,000000,101.11,101.99,101.01,101.98,13381
RU000A10BP46,D,020725,000000,102,102.8,101.41,102.6,11663
RU000A10BP46,D,030725,000000,102.59,102.93,101.7,102.7,8435
RU000A10BP46,D,040725,000000,102.7,102.7,102.3,102.66,8951
RU000A10BP46,D,070725,000000,102.66,103.03,101.41,102.67,6494
RU000A10BP46,D,080725,000000,102.66,102.96,102.19,102.5,3707
RU000A10BP46,D,090725,000000,102.63,102.94,102.34,102.37,6081
RU000A10BP46,D,100725,000000,102.35,102.55,100.58,102.36,9506
RU000A10BP46,D,110725,000000,102.36,102.97,102.33,102.51,7310
RU000A10BP46,D,140725,000000,102.39,102.9,102.39,102.82,5724
RU000A10BP46,D,150725,000000,102.84,103.96,102.79,103.94,11554
RU000A10BP46,D,160725,000000,103.95,104.98,103.8,104.94,12749
RU000A10BP46,D,170725,000000,104.94,105.5,104.52,105.49,7861
RU000A10BP46,D,180725,000000,105.5,106.38,104.7,105.61,7184
RU000A10BP46,D,210725,000000,105,106.65,104.88,105.15,12129
RU000A10BP46,D,220725,000000,105.15,105.99,104.75,105.96,9763
RU000A10BP46,D,230725,000000,105.96,106,105.26,105.92,6188
RU000A10BP46,D,240725,000000,105.43,106.49,105.1,105.72,6563
RU000A10BP46,D,250725,000000,105.8,106.88,105.5,106.88,10661
RU000A10BP46,D,280725,000000,106.88,106.88,106.01,106.86,8575
RU000A10BP46,D,290725,000000,106.5,107.49,106.23,107.21,9035
RU000A10BP46,D,300725,000000,107.21,107.49,106.91,107.21,5964
RU000A10BP46,D,310725,000000,107.13,107.58,106.12,107.34,3730
