<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B8M0,D,070425,000000,100,100.28,98.62,99.3,80456
RU000A10B8M0,D,080425,000000,99.8,99.98,99.1,99.79,36748
RU000A10B8M0,D,090425,000000,99.8,99.89,98.2,99.39,25925
RU000A10B8M0,D,100425,000000,99.55,99.8,99.05,99.79,11642
RU000A10B8M0,D,110425,000000,99.91,99.92,99.61,99.76,12893
RU000A10B8M0,D,140425,000000,99.8,99.88,99.71,99.85,6926
RU000A10B8M0,D,150425,000000,99.85,100,99.8,99.97,25711
RU000A10B8M0,D,160425,000000,99.99,100,99.71,99.94,25200
RU000A10B8M0,D,170425,000000,99.95,99.99,99.65,99.9,10428
RU000A10B8M0,D,180425,000000,99.97,99.97,99.67,99.77,11835
RU000A10B8M0,D,210425,000000,99.98,100,99.79,99.9,28510
RU000A10B8M0,D,220425,000000,99.97,100.14,99.71,100.03,14986
RU000A10B8M0,D,230425,000000,100.03,100.05,99.72,100,13947
RU000A10B8M0,D,240425,000000,99.93,100.05,99.93,100.04,7382
RU000A10B8M0,D,250425,000000,100.05,100.05,99.97,100.04,9576
RU000A10B8M0,D,280425,000000,100.09,100.09,99.97,100.08,34861
RU000A10B8M0,D,290425,000000,100.06,100.1,99.99,100.1,34028
RU000A10B8M0,D,300425,000000,100.15,101.23,100.02,101.17,20459
RU000A10B8M0,D,020525,000000,101,101.96,101,101.5,2399
RU000A10B8M0,D,050525,000000,101.92,101.92,100.07,100.71,14744
RU000A10B8M0,D,060525,000000,101.54,101.54,100.33,101.2,8702
RU000A10B8M0,D,070525,000000,101.9,101.9,101,101.3,8014
RU000A10B8M0,D,080525,000000,101.9,101.9,101.35,101.69,1623
RU000A10B8M0,D,120525,000000,101.95,101.98,101.51,101.85,9626
RU000A10B8M0,D,130525,000000,101.85,103.6,101.61,102.38,21513
RU000A10B8M0,D,140525,000000,102,103.45,102,102.55,4478
RU000A10B8M0,D,150525,000000,102.06,102.96,101.8,102.24,10476
RU000A10B8M0,D,160525,000000,102.27,102.49,102,102,6766
RU000A10B8M0,D,190525,000000,101.95,102.35,101.5,102.27,7250
RU000A10B8M0,D,200525,000000,102.39,102.95,101.35,102.29,15013
RU000A10B8M0,D,210525,000000,102.29,102.61,101.64,101.96,5406
RU000A10B8M0,D,220525,000000,102.5,102.5,101.7,101.97,12634
RU000A10B8M0,D,230525,000000,101.97,101.99,101.33,101.69,10296
RU000A10B8M0,D,260525,000000,101.8,102,101.6,101.97,6868
RU000A10B8M0,D,270525,000000,101.98,102.11,101.75,102.1,9996
RU000A10B8M0,D,280525,000000,102.1,102.6,101.94,102.44,16478
RU000A10B8M0,D,290525,000000,102.6,102.65,102.3,102.48,17485
RU000A10B8M0,D,300525,000000,102.5,102.5,101.99,102.4,5576
RU000A10B8M0,D,020625,000000,102.9,102.9,102,102.59,8693
RU000A10B8M0,D,030625,000000,102.58,103.2,102.58,103.2,4587
RU000A10B8M0,D,040625,000000,103.3,104,103.06,103.8,8274
RU000A10B8M0,D,050625,000000,103.51,104,103.07,104,13647
RU000A10B8M0,D,060625,000000,104,104.88,103.12,104.84,14802
RU000A10B8M0,D,090625,000000,104.79,107.99,103.94,104.95,4792
RU000A10B8M0,D,100625,000000,105,105,103.77,104.8,3240
RU000A10B8M0,D,110625,000000,104.55,105.16,103.83,104.4,15038
RU000A10B8M0,D,130625,000000,104.97,104.97,103.79,104.33,2007
RU000A10B8M0,D,160625,000000,104.35,104.65,102.13,103.65,5589
RU000A10B8M0,D,170625,000000,102.58,104.89,102.33,104.4,7277
RU000A10B8M0,D,180625,000000,104.05,104.75,103.11,104.47,7086
RU000A10B8M0,D,190625,000000,103.52,104.69,102.65,104.01,5810
RU000A10B8M0,D,200625,000000,104.39,104.63,103,104.01,13207
RU000A10B8M0,D,230625,000000,104.45,104.69,103.45,104.69,7488
RU000A10B8M0,D,240625,000000,104.78,104.78,103.51,104.55,6363
RU000A10B8M0,D,250625,000000,104.46,104.54,103.62,104,2565
RU000A10B8M0,D,260625,000000,104.56,104.57,103.37,103.89,8668
RU000A10B8M0,D,270625,000000,103.89,104.7,103.82,104.24,16544
RU000A10B8M0,D,300625,000000,104.69,104.69,104.06,104.34,9966
RU000A10B8M0,D,010725,000000,104.34,104.8,104.06,104.7,23635
RU000A10B8M0,D,020725,000000,104.5,105.7,104.5,105.29,22338
RU000A10B8M0,D,030725,000000,105.85,106.99,105.16,105.9,13319
RU000A10B8M0,D,040725,000000,106.75,106.75,105.62,105.96,11183
RU000A10B8M0,D,070725,000000,106.5,106.5,104.5,105.5,10102
RU000A10B8M0,D,080725,000000,105.56,105.56,105.06,105.45,5017
RU000A10B8M0,D,090725,000000,105.64,105.64,104.1,104.86,6557
RU000A10B8M0,D,100725,000000,104.86,105.58,104.04,104.4,8421
RU000A10B8M0,D,110725,000000,104.4,105.29,104.4,105,9386
RU000A10B8M0,D,140725,000000,105.29,105.46,104.02,104.6,12016
RU000A10B8M0,D,150725,000000,104.93,105.33,104.37,104.5,12578
RU000A10B8M0,D,160725,000000,104.49,104.92,104.09,104.5,21821
RU000A10B8M0,D,170725,000000,104.62,105.35,104.12,105.26,4832
RU000A10B8M0,D,180725,000000,105.38,105.58,104.97,105.5,27435
RU000A10B8M0,D,210725,000000,105.5,105.5,104.9,105.4,3084
RU000A10B8M0,D,220725,000000,105.48,105.48,104.99,105.2,3714
RU000A10B8M0,D,230725,000000,105.38,105.38,104.92,105.31,7255
RU000A10B8M0,D,240725,000000,105.16,105.6,105,105.5,20240
RU000A10B8M0,D,250725,000000,105.5,105.95,105.5,105.89,15993
RU000A10B8M0,D,280725,000000,105.89,106.03,105.6,105.7,12425
RU000A10B8M0,D,290725,000000,105.9,106.5,105.62,106.5,3910
RU000A10B8M0,D,300725,000000,106.16,106.7,105.5,106.23,7031
RU000A10B8M0,D,310725,000000,105.6,106.23,105.59,106.2,2106
