<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10AS02,D,300125,000000,101,101,99.97,100.71,200081
RU000A10AS02,D,310125,000000,100.93,102,100.71,101.6,132352
RU000A10AS02,D,030225,000000,101.5,101.87,100.4,100.53,120163
RU000A10AS02,D,040225,000000,100.66,100.84,100,100.19,137596
RU000A10AS02,D,050225,000000,100.3,101.28,100.05,100.67,69999
RU000A10AS02,D,060225,000000,100.78,101.17,100.37,101.05,68510
RU000A10AS02,D,070225,000000,101.14,101.5,100.74,101.14,45994
RU000A10AS02,D,100225,000000,101.47,101.99,101.19,101.99,65972
RU000A10AS02,D,110225,000000,102,103.5,101.83,103.44,50652
RU000A10AS02,D,120225,000000,103.43,103.43,102.77,103.01,35675
RU000A10AS02,D,130225,000000,103.8,104.77,103.1,104.77,50665
RU000A10AS02,D,140225,000000,104.9,106.01,103.52,104.9,53208
RU000A10AS02,D,170225,000000,105,106.5,104.91,106.49,64930
RU000A10AS02,D,180225,000000,106.5,106.67,105.51,106.45,39446
RU000A10AS02,D,190225,000000,106.48,106.8,105.25,105.94,38749
RU000A10AS02,D,200225,000000,105.94,106.77,105.7,106,38046
RU000A10AS02,D,210225,000000,106.24,106.75,105.37,106.69,29054
RU000A10AS02,D,240225,000000,106.69,107.86,106.15,107,33000
RU000A10AS02,D,250225,000000,106.99,107.45,106.25,107,35395
RU000A10AS02,D,260225,000000,107.31,107.4,106.43,107.2,28999
RU000A10AS02,D,270225,000000,107.2,107.38,106.43,106.81,25630
RU000A10AS02,D,280225,000000,107,107.39,106.51,107.29,40051
RU000A10AS02,D,030325,000000,107.33,107.5,106.6,107.1,35935
RU000A10AS02,D,040325,000000,107.14,107.5,106.6,107.5,32553
RU000A10AS02,D,050325,000000,107.55,108.99,107.5,108.96,47681
RU000A10AS02,D,060325,000000,108.49,109.7,108.48,108.77,35287
RU000A10AS02,D,070325,000000,108.92,110,108.74,109.68,25995
RU000A10AS02,D,100325,000000,109.68,112,109.56,110.8,55742
RU000A10AS02,D,110325,000000,110.81,111.35,108.74,109.18,41201
RU000A10AS02,D,120325,000000,111.33,111.33,107.51,109.36,16546
RU000A10AS02,D,130325,000000,109.57,109.69,108,108.21,13884
RU000A10AS02,D,140325,000000,108.51,109.89,107.72,108.98,13694
RU000A10AS02,D,170325,000000,109.89,110.29,107.86,110,21275
RU000A10AS02,D,180325,000000,109.96,110.19,109.15,109.83,16416
RU000A10AS02,D,190325,000000,110.2,110.95,109.41,110.29,19617
RU000A10AS02,D,200325,000000,110.29,111.5,109.98,111.46,22410
RU000A10AS02,D,210325,000000,111.78,111.97,111.1,111.19,11808
RU000A10AS02,D,240325,000000,111.13,111.92,110.02,111.26,19045
RU000A10AS02,D,250325,000000,111.25,111.3,108,108.8,47679
RU000A10AS02,D,260325,000000,109.59,109.59,108,108.93,32348
RU000A10AS02,D,270325,000000,108.93,109.29,108.11,108.88,20484
RU000A10AS02,D,280325,000000,109.14,109.78,108.1,109.5,14042
RU000A10AS02,D,310325,000000,109.98,111.4,108.85,109.99,16429
RU000A10AS02,D,010425,000000,110,110.89,109.28,109.88,13313
RU000A10AS02,D,020425,000000,109.99,110,109,109.6,26312
RU000A10AS02,D,030425,000000,109.68,110.39,109.13,109.5,13880
RU000A10AS02,D,040425,000000,109.5,109.99,108.8,109.04,24189
RU000A10AS02,D,070425,000000,108.9,109,106.21,107.68,25138
RU000A10AS02,D,080425,000000,107.68,109.03,107.68,108.94,13432
RU000A10AS02,D,090425,000000,108.66,108.99,106.22,107.54,26889
RU000A10AS02,D,100425,000000,107.68,108.87,107.51,108.2,14186
RU000A10AS02,D,110425,000000,108.75,108.76,107.82,107.9,14332
RU000A10AS02,D,140425,000000,108.39,109.32,107,108.75,25018
RU000A10AS02,D,150425,000000,108.5,108.71,107.2,108.27,14219
RU000A10AS02,D,160425,000000,108.66,108.66,107.7,107.85,14350
RU000A10AS02,D,170425,000000,108.24,108.24,107.15,107.71,15782
RU000A10AS02,D,180425,000000,107.85,109.33,107.5,108.2,10799
RU000A10AS02,D,210425,000000,108.96,108.97,100.17,103.25,183517
RU000A10AS02,D,220425,000000,103.3,105.2,102.76,104.85,54247
RU000A10AS02,D,230425,000000,105.2,105.69,103.04,105.43,31858
RU000A10AS02,D,240425,000000,105.43,107.29,104.73,106.6,23786
RU000A10AS02,D,250425,000000,106.96,107.05,105.64,106.91,30979
RU000A10AS02,D,280425,000000,106.91,108.5,105.88,107.48,28585
RU000A10AS02,D,290425,000000,107.49,107.97,107,107.4,20235
RU000A10AS02,D,300425,000000,107.44,108.13,106.11,108.01,23472
RU000A10AS02,D,020525,000000,108.46,108.46,107.39,108,17107
RU000A10AS02,D,050525,000000,108,108.19,107.17,107.28,23099
RU000A10AS02,D,060525,000000,107.97,107.97,107.38,107.83,10366
RU000A10AS02,D,070525,000000,107.84,108.7,107.8,108.7,21653
RU000A10AS02,D,080525,000000,108.7,108.9,108,108.65,3654
RU000A10AS02,D,120525,000000,108.76,109.49,108.03,109.35,15194
RU000A10AS02,D,130525,000000,109.5,109.5,107.27,108.21,40584
RU000A10AS02,D,140525,000000,108.21,108.44,107.5,107.7,29826
RU000A10AS02,D,150525,000000,107.7,107.99,105.15,106.85,33289
RU000A10AS02,D,160525,000000,107.24,108.5,106.3,106.8,24513
RU000A10AS02,D,190525,000000,107,107.4,105.01,105.42,51658
RU000A10AS02,D,200525,000000,105.43,106,104.9,105.91,36128
RU000A10AS02,D,210525,000000,105.61,105.85,105.17,105.49,23512
