<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10BPF3,D,290525,000000,99.5,99.5,80.05,82.7,781010
RU000A10BPF3,D,300525,000000,82.69,82.8,75.05,78.53,404171
RU000A10BPF3,D,020625,000000,78.51,82.25,78.02,82.18,123786
RU000A10BPF3,D,030625,000000,82.7,86.8,82.51,86.5,105892
RU000A10BPF3,D,040625,000000,87.2,89.98,87.1,89.2,88433
RU000A10BPF3,D,050625,000000,89.6,89.97,88.01,88.26,80380
RU000A10BPF3,D,060625,000000,89,89.89,88.27,88.9,76370
RU000A10BPF3,D,090625,000000,88.89,88.9,86.7,88.28,48746
RU000A10BPF3,D,100625,000000,88.53,88.73,87.61,88.23,26412
RU000A10BPF3,D,110625,000000,88.3,88.75,87.67,88.69,31056
RU000A10BPF3,D,130625,000000,88.69,89.33,88.5,88.79,12685
RU000A10BPF3,D,160625,000000,89.07,89.49,88,88.55,17287
RU000A10BPF3,D,170625,000000,88.5,88.98,85,87.86,27660
RU000A10BPF3,D,180625,000000,88.01,88.28,87,87.5,28329
RU000A10BPF3,D,190625,000000,87.59,87.98,87.2,87.79,36642
RU000A10BPF3,D,200625,000000,87.5,88.5,87.35,88.3,20830
RU000A10BPF3,D,230625,000000,88.3,88.79,85.88,87.58,21962
RU000A10BPF3,D,240625,000000,88.09,88.09,85.01,87.49,29989
RU000A10BPF3,D,250625,000000,87.49,88,86.75,87.92,12924
RU000A10BPF3,D,260625,000000,87.98,88.08,87.53,88.08,33561
RU000A10BPF3,D,270625,000000,88.04,88.04,87.72,87.89,13122
RU000A10BPF3,D,300625,000000,88,89.05,87.8,89.04,37248
RU000A10BPF3,D,010725,000000,89.19,93.95,89.11,92.99,68038
RU000A10BPF3,D,020725,000000,93,94.5,92.45,93.87,44753
RU000A10BPF3,D,030725,000000,94.85,96.95,93,95.57,41204
RU000A10BPF3,D,040725,000000,96,97.45,95,95.35,27701
RU000A10BPF3,D,070725,000000,96.3,96.73,94.1,96.25,34520
RU000A10BPF3,D,080725,000000,96.48,96.6,95.6,96.15,35328
RU000A10BPF3,D,090725,000000,96,96.15,95.13,95.68,16662
RU000A10BPF3,D,100725,000000,95.68,96.17,88.47,95.09,48613
RU000A10BPF3,D,110725,000000,95.01,95.84,93.74,94.58,18470
RU000A10BPF3,D,140725,000000,94.58,95.5,91.51,94.99,37119
RU000A10BPF3,D,150725,000000,95.01,96.68,95.01,95.7,40305
RU000A10BPF3,D,160725,000000,95.71,96.9,95.6,96.7,44282
RU000A10BPF3,D,170725,000000,96.9,98,96.5,97.99,50134
RU000A10BPF3,D,180725,000000,98.29,99.97,97.58,99.97,57511
RU000A10BPF3,D,210725,000000,100,100.3,99.01,99.92,45743
RU000A10BPF3,D,220725,000000,99.2,100,98.05,99.29,116305
RU000A10BPF3,D,230725,000000,99.25,100,98.5,99.75,66900
RU000A10BPF3,D,240725,000000,99.8,101.2,99.76,100.5,102641
RU000A10BPF3,D,250725,000000,100.5,101.06,99.76,100.25,84568
RU000A10BPF3,D,280725,000000,100.25,100.97,99,100.05,64265
RU000A10BPF3,D,290725,000000,100.24,100.49,99.53,100.25,71905
RU000A10BPF3,D,300725,000000,100.29,100.3,99.8,100,35246
RU000A10BPF3,D,310725,000000,100,100.28,99.9,100.1,34039
