<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10BBG1,D,110425,000000,100,106,99.9,101.98,7467
RU000A10BBG1,D,140425,000000,101.7,101.89,99.91,100.03,8681
RU000A10BBG1,D,150425,000000,100.03,100.05,99.5,100.02,4033
RU000A10BBG1,D,160425,000000,100,100.01,99.5,99.95,2451
RU000A10BBG1,D,170425,000000,99.91,99.99,99.37,99.59,4871
RU000A10BBG1,D,180425,000000,99.79,99.8,99.13,99.64,3920
RU000A10BBG1,D,210425,000000,99.64,99.64,99.01,99.5,2238
RU000A10BBG1,D,220425,000000,99.7,99.85,99.11,99.5,1938
RU000A10BBG1,D,230425,000000,99.7,100,99.21,99.78,40345
RU000A10BBG1,D,240425,000000,99.98,100.15,99.8,100.1,1981
RU000A10BBG1,D,250425,000000,100.2,100.49,100.05,100.13,3186
RU000A10BBG1,D,280425,000000,100.26,100.9,99.9,100.34,17401
RU000A10BBG1,D,290425,000000,100.34,100.34,100.01,100.05,6167
RU000A10BBG1,D,300425,000000,100.07,100.17,100,100.1,4427
RU000A10BBG1,D,020525,000000,100.15,100.19,100,100.1,3813
RU000A10BBG1,D,050525,000000,100.1,100.17,100,100.05,5646
RU000A10BBG1,D,060525,000000,100,103,100,100.18,12928
RU000A10BBG1,D,070525,000000,100.18,100.21,99.97,100.1,5815
RU000A10BBG1,D,080525,000000,100.01,100.19,100,100.15,4125
RU000A10BBG1,D,120525,000000,100.1,100.15,99.98,100.1,8671
RU000A10BBG1,D,130525,000000,100.13,100.13,99.99,100.1,6048
RU000A10BBG1,D,140525,000000,100.1,100.14,99.99,100.05,6996
RU000A10BBG1,D,150525,000000,100.05,100.09,99.99,100.05,3168
RU000A10BBG1,D,160525,000000,100.05,100.1,99.99,100.1,4571
RU000A10BBG1,D,190525,000000,100.05,100.12,99.99,100.05,2916
RU000A10BBG1,D,200525,000000,100.09,100.09,99.99,100.04,2723
RU000A10BBG1,D,210525,000000,100.08,100.08,99.98,99.98,1862
RU000A10BBG1,D,220525,000000,100.04,100.08,99.9,100,2852
RU000A10BBG1,D,230525,000000,100,100.09,99.98,99.98,1969
RU000A10BBG1,D,260525,000000,99.98,100.02,99.88,99.98,2167
RU000A10BBG1,D,270525,000000,100.02,100.03,99.96,100.03,4464
RU000A10BBG1,D,280525,000000,100,100.08,99.96,100.05,5286
RU000A10BBG1,D,290525,000000,100.01,100.09,99.97,100.05,4083
RU000A10BBG1,D,300525,000000,100.01,100.12,99.99,100.12,4351
RU000A10BBG1,D,020625,000000,100.05,100.13,100.01,100.06,3249
RU000A10BBG1,D,030625,000000,100.11,100.13,100.05,100.09,4231
RU000A10BBG1,D,040625,000000,100.1,100.11,100.05,100.11,3825
RU000A10BBG1,D,050625,000000,100.11,100.5,100.04,100.49,8119
RU000A10BBG1,D,060625,000000,100.54,100.55,100.05,100.13,21402
RU000A10BBG1,D,090625,000000,100.17,100.19,100,100.09,79038
RU000A10BBG1,D,100625,000000,100.12,101,100,100.74,57102
RU000A10BBG1,D,110625,000000,100.92,101.19,100.51,101,11084
RU000A10BBG1,D,130625,000000,101,101.09,100.5,100.94,4132
RU000A10BBG1,D,160625,000000,101.02,101.03,100.15,100.15,17967
RU000A10BBG1,D,170625,000000,100.15,100.6,99.76,99.8,15882
RU000A10BBG1,D,180625,000000,99.78,99.92,99.36,99.7,10483
RU000A10BBG1,D,190625,000000,99.89,99.9,99.2,99.67,13252
RU000A10BBG1,D,200625,000000,99.68,99.82,99.25,99.77,6192
RU000A10BBG1,D,230625,000000,99.78,99.78,99.31,99.59,5532
RU000A10BBG1,D,240625,000000,99.59,99.79,99.29,99.69,4748
RU000A10BBG1,D,250625,000000,99.48,99.8,99.36,99.7,3603
RU000A10BBG1,D,260625,000000,99.74,99.84,99.5,99.78,5212
RU000A10BBG1,D,270625,000000,99.84,99.84,99.54,99.8,6045
RU000A10BBG1,D,300625,000000,99.85,100.18,99.7,100.17,9006
RU000A10BBG1,D,010725,000000,100,100.18,99.91,100,3380
RU000A10BBG1,D,020725,000000,100.02,100.25,99.91,100.18,6282
RU000A10BBG1,D,030725,000000,100.18,100.49,100.11,100.49,3195
RU000A10BBG1,D,040725,000000,100.47,100.49,100,100.19,8967
RU000A10BBG1,D,070725,000000,100.24,100.34,100,100.22,8440
RU000A10BBG1,D,080725,000000,100.19,100.38,99.87,100.26,6867
RU000A10BBG1,D,090725,000000,100.1,100.2,99.67,100.2,8850
RU000A10BBG1,D,100725,000000,100.2,100.49,99.95,100.08,8444
RU000A10BBG1,D,110725,000000,100.08,100.39,100,100.16,16368
RU000A10BBG1,D,140725,000000,100.15,100.24,100,100.2,5365
RU000A10BBG1,D,150725,000000,100.19,101.1,100.08,100.99,14904
RU000A10BBG1,D,160725,000000,101,101.15,100.7,101.05,5252
RU000A10BBG1,D,170725,000000,101.1,101.23,100.83,101.23,6676
RU000A10BBG1,D,180725,000000,101.3,102.5,101.1,102.5,6472
RU000A10BBG1,D,210725,000000,102.01,102.75,101.5,102.71,8601
RU000A10BBG1,D,220725,000000,102.52,102.95,101.36,102.88,3811
RU000A10BBG1,D,230725,000000,102.7,102.9,101.67,102.45,3767
RU000A10BBG1,D,240725,000000,102.77,102.88,101.63,102.86,2702
RU000A10BBG1,D,250725,000000,102.89,103.5,102.05,103.47,4386
RU000A10BBG1,D,280725,000000,103.25,103.5,102.01,102.94,7658
RU000A10BBG1,D,290725,000000,103,104.5,103,104,4289
RU000A10BBG1,D,300725,000000,104,105,103.51,104.89,4121
RU000A10BBG1,D,310725,000000,104.9,105,104.01,104.99,3179
