<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B6K8,D,270325,000000,100.51,100.51,100,100.32,1027
RU000A10B6K8,D,280325,000000,100.27,100.29,100,100.01,4723
RU000A10B6K8,D,310325,000000,100.04,100.04,99.92,100,2871
RU000A10B6K8,D,010425,000000,100.12,100.12,99.99,100.04,1855
RU000A10B6K8,D,020425,000000,100.04,101.04,100,100.05,4538
RU000A10B6K8,D,030425,000000,100.09,100.28,100,100.05,1241
RU000A10B6K8,D,040425,000000,100.09,100.21,99.99,100.03,3483
RU000A10B6K8,D,070425,000000,100.03,100.03,99.46,99.97,1672
RU000A10B6K8,D,080425,000000,99.99,100.47,99.98,100.1,2311
RU000A10B6K8,D,090425,000000,100.15,100.21,99.99,100.05,945
RU000A10B6K8,D,100425,000000,100.15,100.15,100,100.12,567
RU000A10B6K8,D,110425,000000,100.21,100.21,100,100.05,1340
RU000A10B6K8,D,140425,000000,100.1,100.1,99.5,100.02,1818
RU000A10B6K8,D,150425,000000,100.08,100.13,99.93,100.05,1146
RU000A10B6K8,D,160425,000000,100.12,100.19,99.98,100.09,1981
RU000A10B6K8,D,170425,000000,100.18,100.18,99.9,100.01,1273
RU000A10B6K8,D,180425,000000,100.16,100.16,99.78,100,1491
RU000A10B6K8,D,210425,000000,100.08,100.23,99.59,100.1,1655
RU000A10B6K8,D,220425,000000,100.18,103.06,99.85,100.2,2442
RU000A10B6K8,D,230425,000000,100.04,100.18,100.01,100.13,526
RU000A10B6K8,D,240425,000000,100.14,100.14,100.01,100.02,1398
RU000A10B6K8,D,250425,000000,100.1,100.18,100.01,100.12,4590
RU000A10B6K8,D,280425,000000,100.12,100.12,100.01,100.03,2690
RU000A10B6K8,D,290425,000000,100.13,100.13,100.07,100.12,3535
RU000A10B6K8,D,300425,000000,100.12,100.9,100.06,100.1,4309
RU000A10B6K8,D,020525,000000,100.12,100.21,100.01,100.09,4640
RU000A10B6K8,D,050525,000000,100.15,100.18,100,100.08,3987
RU000A10B6K8,D,060525,000000,100.14,100.14,100.04,100.08,3183
