<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10BJL4,D,060525,000000,100.3,100.44,100.09,100.11,3330
RU000A10BJL4,D,070525,000000,100.14,100.2,100.08,100.1,8015
RU000A10BJL4,D,080525,000000,100.12,100.13,100.02,100.06,6354
RU000A10BJL4,D,120525,000000,100.08,100.39,100.08,100.3,6754
RU000A10BJL4,D,130525,000000,100.31,100.36,100.19,100.2,6347
RU000A10BJL4,D,140525,000000,100.22,100.27,100.09,100.15,9619
RU000A10BJL4,D,150525,000000,100.09,100.2,100.06,100.2,6421
RU000A10BJL4,D,160525,000000,100.18,100.59,100.1,100.59,5309
RU000A10BJL4,D,190525,000000,100.59,100.8,100.4,100.65,2511
RU000A10BJL4,D,200525,000000,100.61,100.61,100.15,100.38,1618
RU000A10BJL4,D,210525,000000,100.33,100.47,100.12,100.3,2197
RU000A10BJL4,D,220525,000000,100.3,100.3,100,100.07,2613
RU000A10BJL4,D,230525,000000,100.11,100.12,99.95,100.09,3053
RU000A10BJL4,D,260525,000000,100.1,100.21,100.01,100.18,1794
RU000A10BJL4,D,270525,000000,100.18,100.24,100.04,100.17,1617
RU000A10BJL4,D,280525,000000,100.19,100.19,100.01,100.14,1464
RU000A10BJL4,D,290525,000000,100.1,100.2,100,100.1,2505
RU000A10BJL4,D,300525,000000,100.18,100.23,100,100.19,1575
RU000A10BJL4,D,020625,000000,100.2,100.24,100.11,100.24,912
RU000A10BJL4,D,030625,000000,100.24,100.65,100.24,100.64,2492
RU000A10BJL4,D,040625,000000,100.64,100.98,100.6,100.98,2918
RU000A10BJL4,D,050625,000000,100.97,101.09,100.84,101,1806
RU000A10BJL4,D,060625,000000,101,101.2,100.81,101.06,1587
RU000A10BJL4,D,090625,000000,101.06,101.12,100.9,101,1656
RU000A10BJL4,D,100625,000000,100.96,101.14,100.95,101.05,1231
RU000A10BJL4,D,110625,000000,101.05,101.1,100.65,101.1,1427
RU000A10BJL4,D,130625,000000,101.1,101.14,100.91,100.91,992
RU000A10BJL4,D,160625,000000,100.9,101.04,99.8,100.5,3896
RU000A10BJL4,D,170625,000000,100.45,100.45,100.06,100.11,2477
RU000A10BJL4,D,180625,000000,100.11,100.55,99.91,100.01,4959
RU000A10BJL4,D,190625,000000,100.07,100.38,100,100.27,1072
RU000A10BJL4,D,200625,000000,100.1,100.68,100.1,100.63,1777
RU000A10BJL4,D,230625,000000,100.63,100.63,100.14,100.31,1217
RU000A10BJL4,D,240625,000000,100.4,100.61,100.05,100.1,2866
RU000A10BJL4,D,250625,000000,100.1,100.48,99.96,100.4,1390
RU000A10BJL4,D,260625,000000,100.4,100.48,100.11,100.3,851
RU000A10BJL4,D,270625,000000,100.3,100.44,100.05,100.4,2248
RU000A10BJL4,D,300625,000000,100.35,100.35,100.05,100.3,1035
RU000A10BJL4,D,010725,000000,100.29,100.43,100.1,100.43,1443
RU000A10BJL4,D,020725,000000,100.35,100.69,100.3,100.62,1162
RU000A10BJL4,D,030725,000000,100.62,100.64,100.5,100.59,788
RU000A10BJL4,D,040725,000000,100.58,100.62,100.35,100.45,1507
RU000A10BJL4,D,070725,000000,100.5,100.6,100.13,100.56,2781
RU000A10BJL4,D,080725,000000,100.6,100.67,100.26,100.64,2196
RU000A10BJL4,D,090725,000000,100.55,100.67,100.3,100.55,1060
RU000A10BJL4,D,100725,000000,100.55,100.66,100.3,100.55,888
RU000A10BJL4,D,110725,000000,100.6,100.62,100.41,100.45,1097
RU000A10BJL4,D,140725,000000,100.5,100.55,100.35,100.5,3213
RU000A10BJL4,D,150725,000000,100.5,100.6,100.45,100.59,2983
RU000A10BJL4,D,160725,000000,100.55,100.63,100.2,100.51,2397
RU000A10BJL4,D,170725,000000,100.52,100.63,100.42,100.46,2641
RU000A10BJL4,D,180725,000000,100.48,100.56,100.42,100.5,2558
RU000A10BJL4,D,210725,000000,100.5,100.54,100.42,100.5,2505
RU000A10BJL4,D,220725,000000,100.51,100.74,100.4,100.6,2142
RU000A10BJL4,D,230725,000000,100.6,100.72,100.41,100.68,2384
RU000A10BJL4,D,240725,000000,100.7,100.7,100.4,100.59,1665
RU000A10BJL4,D,250725,000000,100.59,100.74,100.35,100.73,3772
RU000A10BJL4,D,280725,000000,100.73,100.75,100.5,100.65,2266
RU000A10BJL4,D,290725,000000,100.56,101.15,100.3,101.13,1935
RU000A10BJL4,D,300725,000000,101.13,101.39,101.05,101.15,868
RU000A10BJL4,D,310725,000000,101.1,101.44,100.7,101.3,823
