<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B0Z9,D,070325,000000,100.3,100.3,99.35,99.7,55123
RU000A10B0Z9,D,100325,000000,99.97,100,99.11,99.58,72107
RU000A10B0Z9,D,110325,000000,99.7,99.72,99.07,99.37,35847
RU000A10B0Z9,D,120325,000000,99.66,99.66,99,99.33,26627
RU000A10B0Z9,D,130325,000000,99.44,99.44,98.8,99.22,32783
RU000A10B0Z9,D,140325,000000,99.31,99.32,98.8,99.32,55603
RU000A10B0Z9,D,170325,000000,99.53,99.59,98.8,99.08,18856
RU000A10B0Z9,D,180325,000000,99.11,100,98.82,99.55,89187
RU000A10B0Z9,D,190325,000000,99.89,99.89,99.13,99.72,32549
RU000A10B0Z9,D,200325,000000,99.73,99.87,99.2,99.45,25590
RU000A10B0Z9,D,210325,000000,99.79,99.79,99.27,99.42,19086
RU000A10B0Z9,D,240325,000000,99.32,99.4,98.9,99.19,31940
RU000A10B0Z9,D,250325,000000,99.1,99.4,98.9,98.99,10847
RU000A10B0Z9,D,260325,000000,99.33,99.36,98.98,99,6960
RU000A10B0Z9,D,270325,000000,99,99.23,98.9,99,6193
RU000A10B0Z9,D,280325,000000,99,99.09,98.78,98.8,18595
RU000A10B0Z9,D,310325,000000,98.8,99,98.5,98.9,8179
RU000A10B0Z9,D,010425,000000,98.9,98.98,98.7,98.9,6619
RU000A10B0Z9,D,020425,000000,99,99,98.76,98.9,22194
RU000A10B0Z9,D,030425,000000,98.99,99,98.01,98.89,12473
RU000A10B0Z9,D,040425,000000,98.9,99.14,98.1,98.89,13834
RU000A10B0Z9,D,070425,000000,98.65,98.87,98,98.85,9691
RU000A10B0Z9,D,080425,000000,98.85,99.1,98.27,98.96,8584
RU000A10B0Z9,D,090425,000000,99,99.16,98.26,98.26,4451
RU000A10B0Z9,D,100425,000000,98.48,99.24,98.48,99,11972
RU000A10B0Z9,D,110425,000000,99,99.38,98.5,98.98,10978
RU000A10B0Z9,D,140425,000000,98.99,99.2,98.68,99,5413
RU000A10B0Z9,D,150425,000000,99.08,99.19,98.9,99.11,7273
RU000A10B0Z9,D,160425,000000,98.8,99.5,98.8,99.38,10446
RU000A10B0Z9,D,170425,000000,99.4,100.01,99.07,99.67,12295
RU000A10B0Z9,D,180425,000000,99.67,99.7,99.35,99.6,136704
RU000A10B0Z9,D,210425,000000,99.95,99.95,99.4,99.61,9260
RU000A10B0Z9,D,220425,000000,99.62,99.62,99.3,99.6,9605
RU000A10B0Z9,D,230425,000000,99.62,99.64,99.3,99.63,9783
RU000A10B0Z9,D,240425,000000,99.7,99.95,99.6,99.85,12042
RU000A10B0Z9,D,250425,000000,99.87,99.95,99.61,99.95,13533
RU000A10B0Z9,D,280425,000000,99.95,99.99,99.66,99.87,13773
RU000A10B0Z9,D,290425,000000,99.99,100.12,99.93,100,13854
RU000A10B0Z9,D,300425,000000,100.47,100.78,100.15,100.5,9676
RU000A10B0Z9,D,020525,000000,100.5,101.1,100.16,101.07,4085
RU000A10B0Z9,D,050525,000000,101.48,101.48,100.06,100.62,7143
RU000A10B0Z9,D,060525,000000,100.64,100.67,100.25,100.49,14200
RU000A10B0Z9,D,070525,000000,100.49,101.65,100.49,101.58,9508
RU000A10B0Z9,D,080525,000000,101.58,101.92,101.58,101.88,1885
RU000A10B0Z9,D,120525,000000,101.75,101.75,101.04,101.19,4198
RU000A10B0Z9,D,130525,000000,101.19,101.5,101.1,101.4,10514
