<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10AXX2,D,200225,000000,100,101,99.99,100,24020
RU000A10AXX2,D,210225,000000,100.16,100.8,100.05,100.71,16919
RU000A10AXX2,D,240225,000000,100.99,100.99,100.49,100.6,5154
RU000A10AXX2,D,250225,000000,100.7,100.72,100.48,100.56,4166
RU000A10AXX2,D,260225,000000,100.57,100.58,100.16,100.56,5292
RU000A10AXX2,D,270225,000000,100.57,100.57,100.32,100.56,4211
RU000A10AXX2,D,280225,000000,100.56,100.75,100.4,100.49,6586
RU000A10AXX2,D,030325,000000,100.5,100.7,100.02,100.48,7046
RU000A10AXX2,D,040325,000000,100.55,100.55,100.04,100.29,3192
RU000A10AXX2,D,050325,000000,100.28,100.28,100.02,100.12,6522
RU000A10AXX2,D,060325,000000,100.2,100.56,100.01,100.4,4894
RU000A10AXX2,D,070325,000000,100.5,100.7,100.26,100.67,7255
RU000A10AXX2,D,100325,000000,100.75,100.9,100.5,100.89,3567
RU000A10AXX2,D,110325,000000,100.89,101.88,100.7,101.83,3991
RU000A10AXX2,D,120325,000000,101.9,101.96,101.04,101.64,2975
RU000A10AXX2,D,130325,000000,101.66,101.75,101.21,101.68,3650
RU000A10AXX2,D,140325,000000,101.7,101.75,100.83,101.42,5696
RU000A10AXX2,D,170325,000000,101.42,101.43,100.44,100.99,3142
RU000A10AXX2,D,180325,000000,101.17,101.17,100.4,100.93,2995
RU000A10AXX2,D,190325,000000,100.96,101.4,100.7,101.36,2841
RU000A10AXX2,D,200325,000000,101.4,101.69,100.74,101.6,2207
RU000A10AXX2,D,210325,000000,101.64,102.4,101.01,102.4,5434
RU000A10AXX2,D,240325,000000,102.42,102.58,100.98,101.5,8133
RU000A10AXX2,D,250325,000000,101.5,101.97,100.53,101.39,2793
RU000A10AXX2,D,260325,000000,101.16,101.71,100.6,101.25,1755
RU000A10AXX2,D,270325,000000,101.49,101.84,101.01,101.6,4657
RU000A10AXX2,D,280325,000000,101.59,101.64,101.13,101.53,1314
RU000A10AXX2,D,310325,000000,101.5,101.5,100.88,101.02,1956
RU000A10AXX2,D,010425,000000,101.03,101.4,100.59,101,2277
RU000A10AXX2,D,020425,000000,101.29,102,100.59,101.51,4895
RU000A10AXX2,D,030425,000000,101.57,101.59,100.93,101.49,1839
RU000A10AXX2,D,040425,000000,101.5,101.55,100.88,101.14,1714
RU000A10AXX2,D,070425,000000,100.87,101.99,100.1,101.89,7683
