<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10BNK8,D,230525,000000,101.8,101.8,100.5,100.82,36619
RU000A10BNK8,D,260525,000000,100.99,101.06,100.4,100.72,19732
RU000A10BNK8,D,270525,000000,100.98,101.05,100.72,100.92,7126
RU000A10BNK8,D,280525,000000,100.95,100.95,100.79,100.88,4880
RU000A10BNK8,D,290525,000000,100.87,101.5,100.87,101.36,6490
RU000A10BNK8,D,300525,000000,101.48,101.48,100.5,101.26,3160
RU000A10BNK8,D,020625,000000,101.38,101.48,101.01,101.39,2696
RU000A10BNK8,D,030625,000000,101.37,101.4,100.9,101.31,2261
RU000A10BNK8,D,040625,000000,101.31,101.75,101.28,101.68,4251
RU000A10BNK8,D,050625,000000,101.68,102.4,101.5,102.28,4834
RU000A10BNK8,D,060625,000000,102.5,103,102.06,102.97,4688
RU000A10BNK8,D,090625,000000,102.97,102.97,102.5,102.84,2291
RU000A10BNK8,D,100625,000000,102.87,103.02,102.51,102.73,2143
RU000A10BNK8,D,110625,000000,102.83,102.83,102.52,102.53,1835
RU000A10BNK8,D,130625,000000,102.78,102.87,102.23,102.5,906
RU000A10BNK8,D,160625,000000,102.67,102.68,101.02,102.08,4209
RU000A10BNK8,D,170625,000000,101.75,101.89,101.25,101.25,2478
RU000A10BNK8,D,180625,000000,101.25,101.83,101.21,101.72,4637
RU000A10BNK8,D,190625,000000,101.83,102.03,101.15,102,1926
RU000A10BNK8,D,200625,000000,102,102.45,101.68,102.41,3152
RU000A10BNK8,D,230625,000000,102.46,102.46,101.5,101.5,3727
RU000A10BNK8,D,240625,000000,101.51,101.97,101.5,101.78,2291
RU000A10BNK8,D,250625,000000,101.78,101.99,101.5,101.88,1610
RU000A10BNK8,D,260625,000000,101.89,101.9,101.3,101.69,3894
RU000A10BNK8,D,270625,000000,101.69,101.91,101.32,101.75,8513
RU000A10BNK8,D,300625,000000,101.81,102.26,101.8,102.26,3019
RU000A10BNK8,D,010725,000000,102.26,102.98,102.26,102.65,2841
RU000A10BNK8,D,020725,000000,102.65,102.99,102.65,102.99,2225
RU000A10BNK8,D,030725,000000,102.99,103.83,102.98,103.5,1641
RU000A10BNK8,D,040725,000000,103.79,103.99,103.56,103.97,3374
RU000A10BNK8,D,070725,000000,103.96,103.97,103.8,103.95,1735
RU000A10BNK8,D,080725,000000,103.9,103.99,103.63,103.87,1428
RU000A10BNK8,D,090725,000000,103.87,103.91,103.5,103.89,1739
RU000A10BNK8,D,100725,000000,103.91,103.94,103.5,103.94,1144
RU000A10BNK8,D,110725,000000,103.94,104.01,103.77,103.97,3200
RU000A10BNK8,D,140725,000000,103.72,104.01,103.71,103.93,1623
RU000A10BNK8,D,150725,000000,103.94,104.95,103.94,104.75,1617
RU000A10BNK8,D,160725,000000,104.8,106.88,104.8,106.06,2328
RU000A10BNK8,D,170725,000000,105.95,107.95,105.95,107.22,1051
RU000A10BNK8,D,180725,000000,107.96,108.92,107.03,108.88,2168
RU000A10BNK8,D,210725,000000,108.87,108.87,106.05,107,2101
RU000A10BNK8,D,220725,000000,107.01,107.81,107,107.71,1600
RU000A10BNK8,D,230725,000000,107.7,107.7,106.78,107.3,2626
RU000A10BNK8,D,240725,000000,107.68,108.85,106.82,107.46,2234
RU000A10BNK8,D,250725,000000,108.5,108.5,106.97,107.55,1528
RU000A10BNK8,D,280725,000000,108.89,108.89,106.71,106.71,1924
RU000A10BNK8,D,290725,000000,108.34,108.34,107,108.2,3124
RU000A10BNK8,D,300725,000000,108.2,108.99,107.66,108.35,2076
RU000A10BNK8,D,310725,000000,108.09,108.6,107.34,107.99,771
