<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B081,D,050325,000000,100.3,101.29,100.1,100.43,22649
RU000A10B081,D,060325,000000,100.5,100.67,100.2,100.26,11135
RU000A10B081,D,070325,000000,100.52,100.52,100.1,100.47,10439
RU000A10B081,D,100325,000000,100.47,100.97,100.46,100.97,5186
RU000A10B081,D,110325,000000,100.97,101.25,100.77,101.25,4209
RU000A10B081,D,120325,000000,100.95,101.29,100.5,100.8,4543
RU000A10B081,D,130325,000000,101.17,101.9,100.8,101.62,3335
RU000A10B081,D,140325,000000,101.84,101.88,101.09,101.85,1099
RU000A10B081,D,170325,000000,101.84,101.86,100.85,101.5,2213
RU000A10B081,D,180325,000000,101.45,101.5,101.1,101.5,1250
RU000A10B081,D,190325,000000,101.3,101.59,101.15,101.39,2846
RU000A10B081,D,200325,000000,101.6,101.69,100.84,101.31,2002
RU000A10B081,D,210325,000000,101.45,101.79,101.32,101.5,1036
RU000A10B081,D,240325,000000,101.59,101.6,101.14,101.19,1621
RU000A10B081,D,250325,000000,101.19,101.58,101.13,101.48,582
RU000A10B081,D,260325,000000,101.57,101.57,101.01,101.08,601
RU000A10B081,D,270325,000000,101.29,101.29,100.8,101,1804
RU000A10B081,D,280325,000000,101.14,101.14,100.39,100.4,739
RU000A10B081,D,310325,000000,100.54,100.9,100.32,100.32,1368
RU000A10B081,D,010425,000000,100.64,101.4,100.5,100.5,930
RU000A10B081,D,020425,000000,100.9,100.9,100.5,100.79,514
RU000A10B081,D,030425,000000,100.99,100.99,100.07,100.5,1365
RU000A10B081,D,040425,000000,100.66,100.93,100.1,100.1,2413
RU000A10B081,D,070425,000000,100.09,100.09,99.89,99.98,3631
RU000A10B081,D,080425,000000,100.77,100.9,100,100.03,928
RU000A10B081,D,090425,000000,100.04,100.62,99.98,100.26,1811
RU000A10B081,D,100425,000000,100.58,100.89,100.3,100.81,723
RU000A10B081,D,110425,000000,100.8,100.95,100.34,100.6,1362
RU000A10B081,D,140425,000000,100.7,100.95,100.01,100.75,1752
RU000A10B081,D,150425,000000,100.88,101.23,100.5,101.2,1347
RU000A10B081,D,160425,000000,101.2,101.72,101,101.39,733
RU000A10B081,D,170425,000000,101.68,102.5,101.5,101.56,545
