<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10BAP4,D,110425,000000,100.5,100.5,99.12,99.3,205976
RU000A10BAP4,D,140425,000000,99.54,99.9,99.5,99.5,97194
RU000A10BAP4,D,150425,000000,99.75,99.8,99.5,99.8,44952
RU000A10BAP4,D,160425,000000,99.75,99.8,99.6,99.75,74510
RU000A10BAP4,D,170425,000000,99.75,99.75,99.56,99.6,110824
RU000A10BAP4,D,180425,000000,99.75,99.98,99.58,99.6,76136
RU000A10BAP4,D,210425,000000,99.9,99.9,99.6,99.7,64523
RU000A10BAP4,D,220425,000000,99.9,100,99.7,99.95,75829
RU000A10BAP4,D,230425,000000,99.97,100.1,99.95,100,89401
RU000A10BAP4,D,240425,000000,100.01,100.51,99.99,100.09,118232
RU000A10BAP4,D,250425,000000,100.2,101.5,100,100.5,90553
RU000A10BAP4,D,280425,000000,100.98,102,100.53,101.95,42875
RU000A10BAP4,D,290425,000000,102,102.48,101.03,101.9,105660
RU000A10BAP4,D,300425,000000,102.4,103.35,101.7,102.79,32184
RU000A10BAP4,D,020525,000000,103,103.98,102.79,103.76,9744
RU000A10BAP4,D,050525,000000,103.75,104.6,102.02,103.14,26102
RU000A10BAP4,D,060525,000000,103.5,104.45,102.51,103.22,26096
RU000A10BAP4,D,070525,000000,104.4,104.46,103,103.75,16892
RU000A10BAP4,D,080525,000000,104,104.1,103.07,104.1,11979
RU000A10BAP4,D,120525,000000,104.18,104.86,103.53,104.75,28437
RU000A10BAP4,D,130525,000000,104.75,105.28,103.75,104.19,29272
RU000A10BAP4,D,140525,000000,104.15,104.91,103,103.75,24616
RU000A10BAP4,D,150525,000000,103.75,104.17,103.33,103.99,26817
RU000A10BAP4,D,160525,000000,104.24,104.49,103.81,104.42,19527
RU000A10BAP4,D,190525,000000,104.7,104.77,103,103.82,27892
RU000A10BAP4,D,200525,000000,104,104.06,103.02,103.99,10497
RU000A10BAP4,D,210525,000000,103.97,103.97,102.56,103.06,13422
RU000A10BAP4,D,220525,000000,103.66,103.67,102,102.57,20002
RU000A10BAP4,D,230525,000000,102.51,102.9,102.21,102.84,16269
RU000A10BAP4,D,260525,000000,102.84,103.95,101.7,102.25,27253
RU000A10BAP4,D,270525,000000,102.59,103.29,100.55,102.62,27630
RU000A10BAP4,D,280525,000000,103,103.95,102.75,103.6,16450
RU000A10BAP4,D,290525,000000,103.6,103.87,103.2,103.35,29717
RU000A10BAP4,D,300525,000000,103.74,103.89,102.76,103.87,12422
RU000A10BAP4,D,020625,000000,103.89,104.49,103.46,104.49,13764
RU000A10BAP4,D,030625,000000,104.49,105.1,103.71,105.1,9947
RU000A10BAP4,D,040625,000000,105.2,106.34,104.7,105.5,20902
RU000A10BAP4,D,050625,000000,105.99,106,105.21,105.99,18683
RU000A10BAP4,D,060625,000000,105.98,106.5,105.1,106.49,29767
RU000A10BAP4,D,090625,000000,106.99,106.99,105.64,106.25,11300
RU000A10BAP4,D,100625,000000,106.4,106.4,105.92,106.2,19765
RU000A10BAP4,D,110625,000000,106.38,106.38,106.01,106.2,14607
RU000A10BAP4,D,130625,000000,106.97,107,105.55,107,6470
RU000A10BAP4,D,160625,000000,107,107.5,105.1,106,11446
RU000A10BAP4,D,170625,000000,106.5,106.75,105.61,106.47,6527
RU000A10BAP4,D,180625,000000,106.3,106.47,105.7,106.14,11877
RU000A10BAP4,D,190625,000000,106.46,106.88,105.76,106.45,9199
