<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B354,D,170325,000000,100,100,98.56,99.04,13699
RU000A10B354,D,180325,000000,99.45,99.45,98.28,98.3,8856
RU000A10B354,D,190325,000000,98.6,98.94,97.91,98.89,30133
RU000A10B354,D,200325,000000,98.89,98.9,98.76,98.89,7852
RU000A10B354,D,210325,000000,98.93,99.1,98.51,99.09,7362
RU000A10B354,D,240325,000000,99.38,100,98.7,99.9,12539
RU000A10B354,D,250325,000000,99.91,99.98,99.6,99.93,3972
RU000A10B354,D,260325,000000,99.93,99.94,99.02,99.93,4824
RU000A10B354,D,270325,000000,99.93,99.94,99.62,99.81,2660
RU000A10B354,D,280325,000000,99.81,99.9,99.6,99.83,3148
RU000A10B354,D,310325,000000,99.86,99.86,98.98,98.98,4049
RU000A10B354,D,010425,000000,98.98,98.98,98.01,98.6,3172
RU000A10B354,D,020425,000000,98.77,98.98,98.02,98.96,2708
RU000A10B354,D,030425,000000,98.95,98.95,98.42,98.89,945
RU000A10B354,D,040425,000000,98.88,98.88,97.5,98,4680
RU000A10B354,D,070425,000000,97.59,97.61,94.53,95,10934
RU000A10B354,D,080425,000000,95.6,96.93,94.99,95.15,6260
RU000A10B354,D,090425,000000,95.91,95.91,94.5,94.93,2553
RU000A10B354,D,100425,000000,94.5,95.39,94.5,95.3,902
RU000A10B354,D,110425,000000,95.29,95.38,94.68,95.1,2210
RU000A10B354,D,140425,000000,95.22,95.97,95.04,95.64,2426
RU000A10B354,D,150425,000000,95.85,95.85,95.11,95.45,725
RU000A10B354,D,160425,000000,95.47,96.49,94.69,96,1917
RU000A10B354,D,170425,000000,96.17,96.2,95.9,96.2,1465
RU000A10B354,D,180425,000000,96.21,96.29,96.02,96.27,660
RU000A10B354,D,210425,000000,96.29,96.39,96.2,96.38,746
RU000A10B354,D,220425,000000,96.5,96.89,96.01,96.38,906
RU000A10B354,D,230425,000000,96.2,96.68,96,96.44,932
RU000A10B354,D,240425,000000,96.4,96.74,96.25,96.74,2378
RU000A10B354,D,250425,000000,96.69,97.9,96.6,97.69,2220
RU000A10B354,D,280425,000000,98.01,98.01,96.18,97.21,895
RU000A10B354,D,290425,000000,97,97.33,96.86,97.29,972
RU000A10B354,D,300425,000000,97.29,97.29,96.78,97.2,2380
RU000A10B354,D,020525,000000,97.35,97.35,97,97,276
RU000A10B354,D,050525,000000,97.01,97.34,96.91,97.29,723
RU000A10B354,D,060525,000000,97.35,97.7,96.88,97.67,2485
RU000A10B354,D,070525,000000,97.6,97.68,97.5,97.51,819
RU000A10B354,D,080525,000000,97.64,97.7,97.03,97.69,678
RU000A10B354,D,120525,000000,97.69,97.7,97,97.5,6930
RU000A10B354,D,130525,000000,97.79,97.97,97.71,97.85,689
RU000A10B354,D,140525,000000,97.75,97.95,97.6,97.86,1342
RU000A10B354,D,150525,000000,97.7,97.88,97.32,97.54,880
RU000A10B354,D,160525,000000,97.93,97.99,96.77,97.93,4291
RU000A10B354,D,190525,000000,97.98,98.18,97.77,98.17,1813
RU000A10B354,D,200525,000000,98.48,98.48,97.63,97.79,534
RU000A10B354,D,210525,000000,98,98,97.73,97.91,420
RU000A10B354,D,220525,000000,97.8,97.8,97,97.28,1656
RU000A10B354,D,230525,000000,97.36,97.37,96.81,96.99,1296
RU000A10B354,D,260525,000000,96.99,97.35,96.8,96.97,1191
RU000A10B354,D,270525,000000,97.01,97.01,96.81,96.88,913
RU000A10B354,D,280525,000000,96.86,96.99,95.99,96.36,4363
RU000A10B354,D,290525,000000,96.36,96.62,95.72,96.36,1513
RU000A10B354,D,300525,000000,96.62,97.32,96.34,96.51,1335
RU000A10B354,D,020625,000000,96.8,97.46,96.8,97.2,1090
RU000A10B354,D,030625,000000,97.47,97.77,96.5,96.98,1306
RU000A10B354,D,040625,000000,97.26,97.44,96,97.19,1230
RU000A10B354,D,050625,000000,97.4,97.4,97.12,97.26,1621
RU000A10B354,D,060625,000000,97.68,97.96,96,97.28,6681
RU000A10B354,D,090625,000000,97.43,97.43,97.05,97.1,843
RU000A10B354,D,100625,000000,97.66,97.66,96.39,97.19,2436
RU000A10B354,D,110625,000000,97.38,97.58,97.2,97.4,1734
RU000A10B354,D,130625,000000,97.4,97.99,97,97.4,3333
RU000A10B354,D,160625,000000,97.87,97.89,97.5,97.69,1877
RU000A10B354,D,170625,000000,97.79,97.89,96.97,97,1676
RU000A10B354,D,180625,000000,97.05,97.46,96.44,96.93,2146
RU000A10B354,D,190625,000000,96.91,96.92,96.44,96.68,2255
RU000A10B354,D,200625,000000,96.68,96.95,95.02,96.95,2107
RU000A10B354,D,230625,000000,96.94,96.94,96.3,96.51,2645
RU000A10B354,D,240625,000000,96.51,96.56,95.53,96.06,1341
RU000A10B354,D,250625,000000,96.57,96.57,94.5,95.42,7239
RU000A10B354,D,260625,000000,95.7,96.57,95.4,96.05,1929
RU000A10B354,D,270625,000000,96.32,96.5,96,96.2,1303
RU000A10B354,D,300625,000000,96.49,96.49,95.66,96.31,2862
RU000A10B354,D,010725,000000,97.09,97.45,95.85,96.56,3902
RU000A10B354,D,020725,000000,96.04,96.58,96.02,96.56,1434
RU000A10B354,D,030725,000000,96.58,96.58,96.03,96.57,1363
RU000A10B354,D,040725,000000,96.59,97.04,96.1,96.93,2231
RU000A10B354,D,070725,000000,96.93,97.52,96.9,97.39,4698
RU000A10B354,D,080725,000000,97.39,97.5,97.07,97.39,1489
RU000A10B354,D,090725,000000,97.44,97.5,97.26,97.46,1936
RU000A10B354,D,100725,000000,97.46,97.79,97.45,97.79,1153
RU000A10B354,D,110725,000000,97.8,97.88,97.6,97.7,2638
RU000A10B354,D,140725,000000,97.32,97.39,96.43,97.17,5655
RU000A10B354,D,150725,000000,97.03,97.88,97.03,97.76,2996
RU000A10B354,D,160725,000000,97.84,97.88,97.55,97.73,2901
RU000A10B354,D,170725,000000,97.87,99.64,97.73,99.64,3461
RU000A10B354,D,180725,000000,99.65,99.65,99,99.5,3770
RU000A10B354,D,210725,000000,99.61,99.61,97.99,98.67,7309
RU000A10B354,D,220725,000000,99.32,99.49,98.29,98.47,3939
RU000A10B354,D,230725,000000,99.13,99.13,98.58,98.93,3893
