Название,ISIN,Рейтинг,Качество Эмитента,Объем,Дата Выпуска,Дата Погашения / Оферты,Купон,Частота Выплат,Дюрация
МОНОПОЛИЯ 001P-03,RU000A10ARS4,BB-,2.6,3000,30.01.2025,26.01.2026,26.5,12,0.47
ТГК-14 001Р-05,RU000A10AS02,BB-,6.5,4500,30.01.2025,11.01.2029,24.75,12,2.41
ПАО ЛК Европлан 001P-09,RU000A10ASC6,A,4,16000,31.01.2025,14.07.2028,24,12,1.5
Магнит ПАО БО-005Р-01,RU000A10ANZ8,AA,4.2,36000,24.01.2025,20.04.2026,21.5,12,0.67
РОЛЬФ БО 001Р-07,RU000A10ASE2,BB-,3.8,1600,31.01.2025,21.01.2027,26,12,1.23
ИКС 5 ФИНАНС 003P-08,RU000A10AP21,AA,6.8,20000,27.01.2025,21.02.2026,21.5,12,0.55
ЕвразХолдинг Финанс 003P-02,RU000A10ANH6,AA,5.7,30000,22.01.2025,17.01.2026,22.3,12,0.46
Россети ПАО БО 001P-15R,RU000A10ASB8,AA,5.6,20000,31.01.2025,25.07.2026,21.5,12,0.89
ЛКХ-01,RU000A10AMY3,B,4,50,16.01.2025,01.01.2028,31,12,1.75
БЭЛТИ-ГРАНД ООО БО-П07,RU000A10AQD8,B,4.7,100,27.01.2025,12.01.2028,25,12,1.07
РЖД 1Р-38R,RU000A10AZ60,AA,4,30000,26.02.2025,02.03.2030,17.9,12,3.27
ГТЛК 2P-07,RU000A10AU73,BBB,4.3,15000,10.02.2025,04.08.2026,24,12,0.91
МТС 1P-28,RU000A10AV98,AA,3,20000,14.02.2025,09.06.2026,21.75,12,1.96
БалтЛизП15,RU000A10ATW2,BBB,3.8,6000,28.02.2025,13.02.2028,23.7,12,1.4
БинФарм1P4,RU000A10AS28,BB,3.9,4000,06.02.2025,31.07.2026,25.5,12,0.9
iКарРус1P5,RU000A10AV31,BB,4.1,2000,13.02.2025,09.05.2026,25.5,12,0.71
ВИС Ф БП07,RU000A10AV15,BBB,3.1,1500,13.02.2025,07.08.2026,25.25,12,0.91
ГЛОРАКС1Р3,RU000A10ATR2,BB-,1.7,1400,06.02.2025,27.01.2027,28,12,1.24
РЖД 1Р-37R,RU000A10AZ45,AA,4,28000,26.02.2025,24.08.2028,19.5,12,2.39
ЕвроТранс6,RU000A10ATS0,BB,5.9,1930,07.02.2025,12.01.2030,25,12,2.87
МГКЛ-1P7,RU000A10ATC4,B,1.5,1000,06.02.2025,11.01.2030,30,12,2.64
РЖД 1Р-36R,RU000A10AUE8,AA,4,20000,11.02.2025,22.11.2028,19.95,12,2.52
АПРИ 2Р7,RU000A10AUG3,B+,3.4,300,12.02.2025,06.08.2026,29.5,12,0.91
РостелP14R,RU000A10ASS2,AA,8.1,18000,03.02.2025,29.05.2026,21.65,12,0.76
Россет1Р16,RU000A10ATT8,AA,5.6,20000,07.02.2025,03.05.2026,21.35,12,0.7
ВсИнстр1Р4,RU000A10AXP8,BB,4,1000,18.02.2025,12.08.2026,24,12,0.93
ССекьюр_А,RU000A10AST0,n/a,0,8000,24.02.2025,25.01.2028,23,12,1.35
Интерскол3,RU000A10ATB6,B,3.2,340,05.02.2025,02.11.2025,29.5,12,0.16
МЕТАЛН1P10,RU000A10AU99,AA,5.2,10000,10.02.2025,05.02.2026,21.3,12,0.5
НовТех1Р4,RU000A10AYF7,BB,3.6,1100,21.02.2025,19.02.2027,24.25,4,1.3
Магнит5P02,RU000A10AXH5,AA,4.2,46500,18.02.2025,11.09.2026,21.5,12,1.01
СибСтекБ01,RU000A10ASF9,B,6.5,350,03.02.2025,24.01.2027,29,12,1.11
ВТБ Б1-371,RU000A10AY61,AA,1.1,1030,20.02.2025,19.02.2026,19.8,4,0.53
АСпэйс 1Р2,RU000A10AYB6,B,3,150,21.02.2025,04.08.2028,31,12,1.83
ХРОМОС Б3,RU000A10AXX2,B,5.8,250,20.02.2025,05.02.2028,29.5,12,1.83
МаниМенБО1,RU000A10AYU6,B+,9.5,500,25.02.2025,10.02.2028,26.5,12,1.9
КЛВЗ 1P02,RU000A10AZG2,B,4.3,350,27.02.2025,12.02.2028,28,12,1.67
ВТБ Б1-370,RU000A10AY53,AA,1.1,910,20.02.2025,21.08.2025,20.5,4,0.06
ИКС5Ф3P10,RU000A10AT27,AA,6.8,10000,28.02.2025,18.02.2027,19.95,12,1.38
Органик1Р1,RU000A10AZN8,B,6,100,28.02.2025,13.02.2028,29.5,12,1.86
ПСБ 3P-11,RU000A10AV72,AA,1.7,8000,14.02.2025,13.02.2026,22.3,4,0.51
ЛКХ-02,RU000A10AT01,B,4,50,04.02.2025,20.01.2028,31,12,1.76
ВЭБ2Р-К601,RU000A10AYN1,AA,2.7,6680,24.02.2025,19.02.2026,21.25,12,0.53
МТС-Банк04,RU000A10ASQ6,BB,2.8,500,03.02.2025,04.08.2025,23.3,2,0.02
ВЭБ2Р-К600,RU000A10AUY6,AA,2.7,6130,12.02.2025,16.12.2025,21.3,12,0.37
РЕСОЛиБП16,RU000A10AV23,BBB,4,5000,13.02.2025,08.02.2026,21.5,12,0.51
Брус 2P05,RU000A10B313,BB,3.8,3000,19.03.2025,10.09.2026,23.25,12,0.99
NSKATD-03,RU000A10B461,BB,6.5,1700,20.03.2025,11.09.2026,24.46,12,1.92
Систем2P01,RU000A10B024,BBB,3.7,12000,04.03.2025,11.04.2026,23.35,12,0.65
