,date,open,high,low,close,vol
0,2014-01-06,1503.39,1503.39,1463.75,1463.75,16899853941
1,2014-01-08,1463.75,1470.19,1460.41,1462.67,16027208644
2,2014-01-09,1462.67,1470.64,1460.99,1464.95,20056139248
3,2014-01-10,1464.95,1470.43,1454.75,1469.39,26014306595
4,2014-01-13,1469.39,1482.44,1466.51,1477.28,29596722793
5,2014-01-14,1477.28,1477.28,1453.9,1471.06,31230995484
6,2014-01-15,1471.06,1487.82,1471.06,1485.77,34588970751
7,2014-01-16,1485.77,1492.55,1478.49,1480.43,30825691118
8,2014-01-17,1480.43,1495.05,1475.29,1484.85,31481519788
9,2014-01-20,1484.85,1498.37,1483.25,1495.94,23823873748
10,2014-01-21,1495.94,1507.08,1495.94,1503.6,32920309250
11,2014-01-22,1503.6,1505.09,1490.99,1498.73,42599589813
12,2014-01-23,1498.73,1511.69,1493.79,1493.79,36924884218
13,2014-01-24,1491.6,1497.67,1483.82,1492.72,50458496617
14,2014-01-27,1490.21,1495.27,1476.27,1477.87,46236592629
15,2014-01-28,1478.93,1486.03,1467.98,1470.83,39833131971
16,2014-01-29,1473.52,1494.4,1459.97,1463.11,51739848074
17,2014-01-30,1463.65,1473.42,1444.45,1463.6,52405227882
18,2014-01-31,1462.6,1470.56,1448.38,1454.05,42264453229
19,2014-02-03,1456.68,1463.54,1439.52,1440.9,32778246789
20,2014-02-04,1435.51,1442.62,1426.29,1441.79,35953450593
21,2014-02-05,1442.58,1460.73,1437.63,1456.0,32228722826
22,2014-02-06,1456.0,1469.07,1454.44,1463.96,28543630077
23,2014-02-07,1470.42,1480.6,1469.19,1478.22,30965552387
24,2014-02-10,1479.32,1485.32,1475.66,1475.9,23411352583
25,2014-02-11,1477.26,1488.94,1473.3,1483.57,26102577251
26,2014-02-12,1487.59,1498.62,1487.59,1498.08,28049402947
27,2014-02-13,1493.48,1493.48,1475.41,1478.77,28254062183
28,2014-02-14,1483.2,1497.93,1482.28,1494.32,30474386521
29,2014-02-17,1499.44,1515.28,1499.44,1507.49,28079414670
30,2014-02-18,1507.78,1518.12,1500.42,1504.24,29676093042
31,2014-02-19,1503.76,1507.92,1482.03,1485.6,42334867727
32,2014-02-20,1478.98,1482.4,1467.54,1480.99,33694582444
33,2014-02-21,1484.22,1492.34,1483.79,1487.64,23318948666
34,2014-02-24,1486.7,1491.77,1480.03,1489.01,19772900486
35,2014-02-25,1491.24,1495.13,1472.44,1478.64,28414020573
36,2014-02-26,1480.31,1486.11,1465.22,1469.51,35931158697
37,2014-02-27,1470.35,1476.26,1431.62,1448.7,52734826934
38,2014-02-28,1449.38,1456.43,1429.28,1444.71,49924435497
39,2014-03-03,1410.98,1410.98,1261.84,1288.81,114796601349
40,2014-03-04,1292.43,1365.21,1292.43,1356.54,93980994812
