,date,open,high,low,close,vol
33,2014-02-06,34.8934,34.9337,34.5848,34.7102,7669
34,2014-02-07,34.73,34.83,34.53,34.75,10
116,2014-05-05,35.7747,35.8635,35.67,35.71,1564
268,2014-10-07,39.7165,39.9751,39.655,39.8873,376
269,2014-10-08,39.8959,40.156,39.6877,39.9721,901
291,2014-10-31,41.4547,43.1366,41.4072,43.0322,95184
292,2014-11-01,42.9971,43.0322,42.9971,43.0233,29
293,2014-11-03,43.1758,43.6175,43.1471,43.5873,163475
294,2014-11-04,43.5911,43.8006,43.485,43.5678,38242
295,2014-11-05,43.5845,45.0068,43.5643,44.9,217777
296,2014-11-06,44.9,46.871,44.7786,46.832,205326
297,2014-11-07,46.827,48.6445,45.5778,46.6655,93142
298,2014-11-08,46.698,46.772,46.6548,46.7041,41
299,2014-11-10,45.82,46.02,44.9354,45.7775,18580
300,2014-11-11,45.8227,47.0063,45.64,46.43,17860
301,2014-11-12,46.3678,46.54,45.5035,45.8205,29669
302,2014-11-13,45.8134,46.835,44.5805,46.7193,158916
303,2014-11-14,46.7349,47.8503,46.578,47.2775,149057
304,2014-11-15,47.1803,47.2775,47.1769,47.2227,38
305,2014-11-16,47.265,47.265,47.265,47.265,12
306,2014-11-17,47.265,47.5001,46.94,47.1481,236771
307,2014-11-18,47.1191,47.2376,46.5705,46.8899,213845
308,2014-11-19,46.8693,47.12,46.5737,46.8125,229317
309,2014-11-20,46.8208,46.8974,46.1019,46.1357,198721
310,2014-11-21,46.1359,46.391,45.2996,45.6897,205014
311,2014-11-22,45.7214,45.842,45.6645,45.7616,48
312,2014-11-24,44.7011,45.1616,44.6572,45.0013,170245
313,2014-11-25,45.0011,46.345,44.5967,46.2355,176048
314,2014-11-26,46.2355,47.42,46.0175,47.42,227143
315,2014-11-27,47.4155,49.278,46.6889,49.1342,179879
316,2014-11-28,49.1006,50.6855,48.616,50.4397,137395
317,2014-11-29,50.4892,50.4892,49.9422,50.0231,45
318,2014-12-01,49.342,53.8952,49.342,51.1845,62037
319,2014-12-02,50.5897,54.397,50.4722,54.1825,122563
320,2014-12-03,53.8529,54.8971,52.5687,53.2877,111701
321,2014-12-04,53.4845,54.4974,52.1128,54.3835,70217
322,2014-12-05,54.395,54.395,52.5025,52.7985,123252
323,2014-12-06,52.5797,52.972,52.5706,52.972,43
324,2014-12-07,52.972,52.972,52.972,52.972,23
325,2014-12-08,52.972,53.9025,52.601,53.717,179155
326,2014-12-09,53.7432,54.3542,53.394,54.1125,235285
327,2014-12-10,54.1202,54.8713,54.044,54.865,181446
328,2014-12-11,54.8505,56.6975,54.327,56.5245,170902
329,2014-12-12,56.5,58.6127,55.9128,58.16,124134
330,2014-12-13,58.1791,58.221,58.0945,58.0945,41
331,2014-12-15,58.21,66.0042,57.5878,65.897,100249
332,2014-12-16,65.9759,79.5151,58.2345,68.322,43904
333,2014-12-17,68.061,72.3087,58.9754,61.045,196998
334,2014-12-18,61.3822,63.8318,56.9991,61.835,279598
335,2014-12-19,61.4633,63.1025,57.2121,60.595,89402
336,2014-12-20,60.5939,60.645,58.2,59.4202,64
337,2014-12-21,59.6,59.6,57.8946,57.8946,58
338,2014-12-22,59.6,59.6,53.7644,55.362,124291
339,2014-12-23,55.8565,57.0012,52.4891,54.635,168677
340,2014-12-24,54.635,55.5995,52.858,53.4665,61402
341,2014-12-25,53.6973,54.1175,50.4,51.6418,4550
342,2014-12-26,51.35,54.7385,49.663,53.5897,61146
343,2014-12-27,53.59,54.075,52.995,53.8066,44
344,2014-12-28,53.9626,54.075,53.941,53.9457,43
345,2014-12-29,53.952,58.9051,53.4571,57.4641,115984
346,2014-12-30,58.5474,60.924,53.8341,56.245,57571
347,2014-12-31,55.6645,61.675,54.775,59.2332,1349
348,2015-01-01,59.2332,60.8699,56.993,56.993,107
349,2015-01-02,58.067,60.7475,56.9,58.53,2144
350,2015-01-03,58.7518,59.17,58.225,58.8179,43
351,2015-01-05,58.53,62.732,56.6874,60.1817,130538
352,2015-01-06,61.7597,64.2241,59.1606,62.3742,155618
353,2015-01-07,63.1504,63.8875,61.6267,62.0547,9360
354,2015-01-08,62.67,62.895,58.5183,59.1579,222129
355,2015-01-09,60.7353,62.0212,58.2601,61.1993,208408
356,2015-01-10,61.1062,61.995,60.7791,61.67,293
357,2015-01-11,61.5316,61.67,61.0,61.0,31
358,2015-01-12,61.54,63.4337,60.5,62.875,158263
359,2015-01-13,63.0344,67.649,62.827,65.235,141526
360,2015-01-14,65.3165,66.6969,62.1594,64.23,189519
361,2015-01-15,64.7894,66.4571,62.8782,64.956,160093
362,2015-01-16,64.77,65.644,62.998,65.141,149596
363,2015-01-17,65.117,65.298,64.9,65.1621,58
364,2015-01-18,65.147,65.3736,65.055,65.1207,67
365,2015-01-19,65.33,65.6832,61.5885,64.9382,240215
366,2015-01-20,64.9962,65.7345,62.2246,65.0071,217515
367,2015-01-21,65.1031,66.1967,64.0627,65.1614,206669
368,2015-01-22,65.365,65.5845,62.9299,63.7105,288479
369,2015-01-23,64.0871,65.4566,60.5517,63.845,282527
370,2015-01-24,64.2078,64.2078,62.5806,63.9467,219
371,2015-01-25,63.842,63.8796,63.842,63.8608,44
372,2015-01-26,63.8608,69.195,63.4067,68.0762,282637
373,2015-01-27,67.8833,68.7621,65.0097,66.6364,289115
374,2015-01-28,67.965,68.205,65.953,67.4456,288417
375,2015-01-29,67.82,69.5015,66.805,68.5961,295941
376,2015-01-30,68.894,71.8497,67.6026,68.7099,297855
377,2015-01-31,68.945,70.55,67.9974,69.9877,313
378,2015-02-02,69.9388,70.476,67.375,68.1241,356601
379,2015-02-03,68.3762,68.4876,63.5843,64.494,336083
380,2015-02-04,65.6933,68.5577,63.9104,67.6082,374233
381,2015-02-05,67.8413,68.952,65.0699,66.1781,356492
382,2015-02-06,66.5423,67.5646,64.9151,66.0246,301390
383,2015-02-07,65.9874,67.0734,65.6011,66.9839,319
384,2015-02-08,66.9456,66.9778,66.9456,66.9778,36
385,2015-02-09,66.9778,67.485,64.3168,65.75,237196
386,2015-02-10,65.77,67.3244,63.9589,64.963,285488
387,2015-02-11,65.8675,66.884,64.5987,65.0945,268108
388,2015-02-12,65.43,67.43,63.6962,64.9622,275767
389,2015-02-13,65.385,65.955,61.4184,63.1669,280423
390,2015-02-14,63.1136,63.67,62.0811,63.3344,317
391,2015-02-15,63.0495,63.67,63.0495,63.67,60
392,2015-02-16,63.3696,64.124,60.9893,61.8734,256466
393,2015-02-17,63.075,63.92,61.2025,62.1241,255165
394,2015-02-18,62.786,64.1137,60.3167,61.2346,368731
395,2015-02-19,61.4608,62.5825,60.0773,61.8488,360273
396,2015-02-20,61.9333,63.5755,60.8714,61.6592,368548
397,2015-02-21,61.6065,62.375,60.9584,61.9703,291
398,2015-02-22,62.001,62.018,61.945,61.9815,36
399,2015-02-23,61.9815,64.685,59.9374,63.5841,34956
400,2015-02-24,63.7698,64.0598,62.43,62.7171,389679
401,2015-02-25,62.8758,63.6205,61.0658,61.2391,390394
402,2015-02-26,61.485,61.975,59.673,60.9701,392813
403,2015-02-27,61.175,62.1066,60.1048,61.6407,369486
404,2015-02-28,61.459,61.6827,60.5479,61.5268,239
405,2015-03-01,61.7806,61.795,61.04,61.6494,60
406,2015-03-02,61.4175,63.8614,60.7995,62.5451,336180
407,2015-03-03,62.72,62.786,60.6963,61.8446,311903
408,2015-03-04,61.9701,63.043,60.485,61.833,286576
409,2015-03-05,61.8309,62.2371,60.354,60.8299,289292
410,2015-03-06,60.8233,61.1341,58.9044,60.1589,330307
411,2015-03-07,59.743,60.4209,59.7151,60.3591,300
412,2015-03-08,60.3555,60.5507,60.3555,60.4079,69
413,2015-03-09,60.3723,61.0519,59.6954,60.1772,19539
414,2015-03-10,60.6562,62.745,59.8273,61.5977,344444
415,2015-03-11,62.1945,63.0382,61.0369,61.5538,360441
416,2015-03-12,61.5544,62.495,60.2557,61.0174,396629
417,2015-03-13,60.98,62.715,60.2291,61.9783,388269
418,2015-03-14,61.5614,62.2738,61.5614,62.0933,31
419,2015-03-15,62.13,62.3501,61.654,62.2962,95
420,2015-03-16,62.0866,62.73,61.7,61.8797,248738
421,2015-03-17,61.863,62.3048,61.2651,61.4195,276554
422,2015-03-18,61.4668,61.54,58.3074,59.0532,329854
423,2015-03-19,59.36,61.22,58.6533,59.7618,399724
424,2015-03-20,60.085,60.6423,58.9404,59.2713,358896
425,2015-03-21,59.287,59.3475,59.02,59.254,29
426,2015-03-22,59.02,59.3193,58.9627,59.3083,88
427,2015-03-23,59.1175,59.871,58.4008,58.4008,348752
428,2015-03-24,58.7945,58.9845,56.8787,57.5972,396714
429,2015-03-25,57.7567,58.0055,56.6198,57.2941,404797
430,2015-03-26,57.3526,57.7031,55.6183,57.2348,414197
431,2015-03-27,57.2492,58.0193,56.2548,57.2429,302752
432,2015-03-28,57.82,58.0087,57.67,57.8036,32
433,2015-03-29,57.7325,57.9259,57.67,57.9259,71
434,2015-03-30,57.7126,58.666,57.416,57.4945,367098
435,2015-03-31,57.575,58.257,56.2022,58.0886,312970
436,2015-04-01,58.0616,58.9106,57.252,57.5071,349221
437,2015-04-02,57.5853,57.7497,55.943,56.4701,368587
438,2015-04-03,56.33,57.1645,54.9589,56.2703,297443
439,2015-04-04,56.9424,56.9424,56.465,56.7756,31
440,2015-04-05,56.807,57.0366,56.5067,57.0332,62
441,2015-04-06,56.8648,57.56,55.06,55.3166,301866
442,2015-04-07,55.4156,55.8144,54.5672,54.8641,309381
443,2015-04-08,55.0048,55.095,53.39,53.6066,338817
444,2015-04-09,53.6066,53.7483,51.7955,51.9002,355316
445,2015-04-10,51.913,53.726,50.2578,52.8387,460119
446,2015-04-11,52.8387,53.6692,52.8387,53.2353,31
447,2015-04-12,53.51,53.8737,52.393,53.51,56
448,2015-04-13,53.6007,54.0318,51.8273,51.9392,365607
449,2015-04-14,52.1402,52.5963,50.01,50.6562,214462
450,2015-04-15,51.006,51.3351,48.5835,48.5835,186444
451,2015-04-16,49.0445,50.54,48.4271,49.6987,333443
452,2015-04-17,49.7912,52.7675,48.4489,51.436,390285
453,2015-04-18,52.0842,52.657,51.436,52.657,30
454,2015-04-19,52.657,52.657,51.8929,52.0867,80
455,2015-04-20,52.5253,53.8238,50.1633,53.036,377401
456,2015-04-21,53.3308,54.1176,51.2792,53.1543,262883
457,2015-04-22,53.6929,53.9646,51.4158,52.0902,296601
458,2015-04-23,52.3296,52.5381,50.442,50.4978,334942
459,2015-04-24,50.7915,51.54,49.789,50.1832,342787
460,2015-04-25,50.1839,50.9538,50.1839,50.942,31
461,2015-04-26,51.079,51.13,50.54,50.5557,47
462,2015-04-27,51.0118,52.0941,49.1442,51.8801,349522
463,2015-04-28,51.9514,52.5944,50.5139,51.1732,257877
464,2015-04-29,51.3912,52.007,50.4905,50.6775,282699
465,2015-04-30,51.0576,52.2084,50.4339,51.4814,308928
466,2015-05-01,51.6765,51.8995,50.7604,51.0801,17992
467,2015-05-02,51.7651,51.9137,51.7651,51.798,30
468,2015-05-03,51.7908,51.8725,51.4673,51.7264,48
469,2015-05-04,51.792,52.2547,50.1309,52.0432,17928
470,2015-05-05,52.181,52.2334,50.306,50.5526,170823
471,2015-05-06,50.5731,50.9911,49.664,50.9843,25209
472,2015-05-07,50.495,50.9553,49.947,49.947,5789
473,2015-05-08,50.0673,51.277,49.8719,50.9739,64987
474,2015-05-09,50.9697,51.1077,50.9339,50.9339,22
475,2015-05-10,50.843,51.0811,50.84,51.0526,84
476,2015-05-11,50.8578,51.825,48.6911,51.4511,7629
477,2015-05-12,51.531,51.582,49.825,50.7557,5314
478,2015-05-13,50.8762,51.025,48.806,48.9644,69222
479,2015-05-14,49.09,50.7533,48.777,49.95,48204
480,2015-05-15,49.995,50.228,49.143,49.4851,5270
481,2015-05-16,49.4615,49.5483,49.39,49.39,30
482,2015-05-17,49.545,49.585,49.39,49.4982,47
483,2015-05-18,49.4783,49.585,48.4928,49.1285,62854
484,2015-05-19,49.1833,49.688,48.8012,49.645,75635
485,2015-05-20,49.5993,50.1838,49.3695,49.8295,79450
486,2015-05-21,49.8789,50.282,49.48,49.9775,6949
487,2015-05-22,49.9525,50.6169,49.13,49.88,6213
488,2015-05-23,49.965,50.09,49.9551,49.9551,31
489,2015-05-24,49.945,50.056,49.901,49.9857,77
490,2015-05-25,49.9343,50.169,48.6712,49.8495,47464
491,2015-05-26,50.0333,50.9784,49.1986,50.7208,40329
492,2015-05-27,50.8413,52.1635,50.61,51.5495,59308
493,2015-05-28,51.67,53.04,51.2485,52.6595,55039
494,2015-05-29,52.78,53.6441,52.1187,52.285,99405
495,2015-05-30,52.37,52.596,52.2919,52.4099,30
496,2015-05-31,52.41,52.4454,51.9659,51.9659,72
497,2015-06-01,52.0864,53.6087,50.9288,53.41,70822
498,2015-06-02,53.495,54.0677,52.236,52.7773,88654
499,2015-06-03,52.7739,54.4217,51.7024,54.338,93826
500,2015-06-04,54.254,56.6372,53.9695,55.96,107719
501,2015-06-05,56.0611,57.19,54.91,56.115,43816
502,2015-06-06,56.21,56.62,56.0273,56.372,29
503,2015-06-07,56.384,56.5547,56.384,56.4065,30
504,2015-06-08,56.4065,56.62,55.494,55.632,78477
505,2015-06-09,55.8969,57.2916,54.4467,55.2835,69494
506,2015-06-10,55.415,55.6868,53.7603,54.3105,76195
507,2015-06-11,54.331,54.9111,53.0487,54.7603,10926
508,2015-06-12,54.7079,55.3085,53.4531,54.7963,28283
509,2015-06-13,54.817,55.2305,54.763,55.1238,30
510,2015-06-14,55.1448,55.2278,54.771,55.1679,78
511,2015-06-15,54.9891,55.8959,54.3102,54.4795,66117
512,2015-06-16,54.49,55.9967,53.413,53.7845,95385
513,2015-06-17,53.905,54.3234,52.9227,53.56,91060
514,2015-06-18,53.645,54.02,52.9905,53.372,77493
515,2015-06-19,53.467,54.5525,52.39,54.12,86833
516,2015-06-20,54.138,54.138,53.98,54.1242,30
517,2015-06-21,54.2,54.2225,54.0646,54.2124,47
518,2015-06-22,54.2225,54.2479,51.985,53.9344,58975
519,2015-06-23,53.9272,54.6554,53.5,53.7094,237492
520,2015-06-24,53.8119,54.736,52.7139,54.365,245218
521,2015-06-25,54.4533,55.2495,52.775,54.5964,216916
522,2015-06-26,54.7046,55.2993,54.178,54.216,216436
523,2015-06-27,54.6499,55.061,54.6499,54.934,30
524,2015-06-28,54.882,55.812,54.882,55.4364,49
525,2015-06-29,55.385,55.7459,54.5886,55.6259,257566
526,2015-06-30,55.7442,55.9835,54.4621,55.2282,257816
527,2015-07-01,55.3429,55.9359,54.7314,55.7225,259986
528,2015-07-02,55.8237,56.2415,54.7478,55.2716,200633
529,2015-07-03,55.4462,56.059,54.2659,55.9064,185176
530,2015-07-04,55.863,55.9935,55.863,55.9369,29
531,2015-07-05,55.944,56.5762,55.863,56.004,35
532,2015-07-06,56.004,56.895,55.7605,56.5472,83127
533,2015-07-07,56.8296,57.6785,55.698,56.5131,214097
534,2015-07-08,56.6672,57.6193,55.4423,57.3735,249811
535,2015-07-09,57.4498,57.5328,56.0598,57.0967,271147
536,2015-07-10,57.1933,57.3333,55.3459,55.6597,237770
537,2015-07-11,56.3226,56.435,56.2254,56.3646,30
538,2015-07-12,56.37,56.7759,56.37,56.4485,41
539,2015-07-13,56.4485,56.8474,55.2908,56.1933,288658
540,2015-07-14,56.1183,57.08,54.9541,56.2788,210045
541,2015-07-15,56.4094,56.9583,55.423,56.7584,217002
542,2015-07-16,56.8709,57.1512,56.428,56.8443,184174
543,2015-07-17,56.965,57.3391,55.7072,56.4233,169307
544,2015-07-18,56.7248,57.036,56.7248,56.9566,31
545,2015-07-19,56.909,57.0518,56.8933,57.0191,43
546,2015-07-20,57.0138,57.3935,56.54,56.7774,135254
547,2015-07-21,57.0914,57.419,55.7353,56.9401,160710
548,2015-07-22,57.0747,57.4941,55.3032,57.1107,123066
549,2015-07-23,57.3339,57.9836,56.5262,57.694,172280
550,2015-07-24,57.7467,58.7075,56.7319,57.583,185617
551,2015-07-25,58.4817,58.4817,58.3188,58.4437,28
552,2015-07-26,58.465,58.4933,58.35,58.4195,30
553,2015-07-27,58.4195,59.94,57.101,59.0954,259401
554,2015-07-28,59.7663,60.8804,58.0043,59.8098,289990
555,2015-07-29,59.9451,60.4064,57.6608,57.8594,309158
556,2015-07-30,58.606,59.9204,57.6226,59.5371,284950
557,2015-07-31,59.7299,61.7854,59.3653,61.2897,344575
558,2015-08-01,61.748,61.7888,60.6,61.4746,27
559,2015-08-02,60.6,61.723,60.6,61.723,71
560,2015-08-03,61.7155,63.6254,60.1152,63.1682,326635
561,2015-08-04,63.2152,64.3697,62.1905,62.4044,388200
562,2015-08-05,62.8002,63.7873,61.2734,63.2031,308554
563,2015-08-06,63.6213,64.5608,62.4171,63.7899,330343
564,2015-08-07,64.2145,65.8725,62.7039,63.6169,361206
565,2015-08-08,64.0574,64.0753,63.6169,63.9906,31
566,2015-08-09,63.968,64.0349,63.9173,64.0285,43
567,2015-08-10,64.0272,64.86,62.5281,62.8782,315476
568,2015-08-11,62.8782,64.5084,61.5454,64.0268,346699
569,2015-08-12,64.2244,65.2235,62.0826,63.8469,343108
570,2015-08-13,64.5177,65.0279,61.7292,64.4923,367488
571,2015-08-14,64.707,65.0513,63.9434,63.9434,286491
572,2015-08-15,64.862,65.0233,64.56,64.7814,28
573,2015-08-16,64.576,65.3742,64.576,65.3193,55
574,2015-08-17,64.9466,65.7566,64.469,65.1406,288515
575,2015-08-18,65.3334,65.9314,64.0267,65.6348,246494
576,2015-08-19,65.8376,66.6294,64.3458,66.4809,285011
577,2015-08-20,66.4207,68.4852,66.0893,67.1164,359851
