<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
140102;000000;110.7400000;111.0700000;107.4900000;107.6500000;32972
140103;000000;107.6600000;108.4200000;106.4400000;106.6500000;35605
140105;000000;106.4900000;106.6900000;106.4900000;106.6900000;8
140106;000000;106.6800000;107.6000000;106.2800000;106.6700000;35795
140107;000000;106.7300000;107.3300000;106.5600000;107.0100000;30686
140108;000000;107.0800000;107.5400000;106.6000000;106.8300000;36728
140109;000000;106.8300000;107.7100000;105.7000000;106.0000000;55777
140110;000000;105.9100000;106.8900000;105.5000000;106.8300000;70000
140112;000000;106.7500000;106.9600000;106.6100000;106.9200000;227
140113;000000;106.9200000;106.9300000;105.5800000;105.5900000;54066
140114;000000;105.8700000;106.3000000;105.2200000;105.2500000;78105
140115;000000;105.2700000;106.7200000;105.0600000;105.9700000;111685
140116;000000;106.1100000;106.4000000;105.4600000;105.4800000;105071
140117;000000;105.5500000;106.9500000;105.4400000;106.3200000;96846
140119;000000;106.3400000;106.4400000;106.2400000;106.4000000;56
140120;000000;106.4400000;106.6500000;105.8100000;106.5100000;43793
140122;000000;108.2500000;108.2500000;108.0500000;108.0800000;73
140123;000000;108.1400000;108.2800000;107.3700000;107.5800000;98987
140124;000000;107.5800000;108.0300000;106.2300000;107.8900000;151029
140126;000000;107.9300000;108.0900000;107.8800000;107.9500000;371
140127;000000;107.9500000;107.9900000;106.4500000;106.9400000;107157
140128;000000;106.8600000;107.7900000;106.7600000;107.4100000;98698
140129;000000;107.3600000;108.0500000;106.9300000;107.7500000;107320
140130;000000;107.8500000;108.4000000;107.6500000;107.7000000;85182
140131;000000;107.7500000;107.9400000;105.7700000;105.7900000;121741
140202;000000;105.7500000;105.7500000;105.4400000;105.5500000;113
140203;000000;105.5700000;106.0500000;104.7800000;105.2700000;49438
140204;000000;105.2000000;105.5600000;104.8800000;105.4100000;31411
140205;000000;105.3300000;105.8200000;105.0000000;105.5600000;38542
140206;000000;105.7100000;106.8000000;105.5500000;106.7500000;5478
140207;000000;106.7700000;109.0200000;106.2900000;108.8300000;73732
140209;000000;108.9600000;108.9700000;108.7700000;108.9500000;64
140210;000000;108.9600000;109.0100000;107.7300000;107.7800000;61166
140211;000000;107.8300000;108.6300000;107.8300000;108.2000000;70319
140212;000000;108.2400000;109.0000000;108.0700000;108.2700000;103744
140213;000000;108.2000000;108.7400000;107.6400000;108.5800000;102707
140214;000000;108.5800000;109.2500000;107.8500000;109.0500000;86107
140216;000000;109.0200000;109.4000000;109.0200000;109.3800000;499
140217;000000;109.3600000;109.3700000;108.6400000;109.1000000;34371
140218;000000;109.0900000;110.7000000;108.8400000;110.6300000;101275
140219;000000;110.5200000;110.8200000;110.0200000;110.4200000;100744
140220;000000;110.3900000;110.4900000;109.5800000;110.4900000;100575
140221;000000;110.4900000;110.4900000;109.3500000;109.8400000;100830
140223;000000;109.9900000;110.1300000;109.8900000;110.1300000;271
140224;000000;110.1200000;110.7700000;109.5000000;110.7100000;100360
140225;000000;110.6400000;110.6400000;109.4200000;109.5900000;93865
140226;000000;109.5600000;109.9700000;109.2000000;109.5100000;91287
140227;000000;109.4100000;109.4500000;108.6500000;108.7700000;110060
140228;000000;108.8500000;109.3400000;108.4000000;108.6500000;102252
140302;000000;108.8300000;110.7000000;108.8300000;110.4900000;1910
140303;000000;110.5000000;111.8700000;109.9200000;110.7800000;53794
140304;000000;110.6400000;110.8600000;108.6000000;108.6200000;44442
140305;000000;108.6700000;108.9300000;107.0900000;107.2900000;39834
140306;000000;107.2000000;107.9700000;106.8600000;107.8000000;41822
140307;000000;107.7300000;108.5500000;107.2700000;108.2300000;50145
140309;000000;108.3000000;108.3200000;108.0700000;108.1200000;29
140310;000000;108.2100000;108.2400000;107.2100000;107.3800000;36741
140311;000000;107.3000000;108.0800000;107.2700000;107.7700000;43608
140312;000000;107.6600000;107.8400000;106.9200000;107.6000000;96322
140313;000000;107.5300000;107.7900000;106.5000000;106.9900000;91365
140314;000000;106.8200000;108.5000000;106.7500000;108.5000000;120033
140316;000000;108.5100000;108.6000000;108.3100000;108.3200000;750
140317;000000;108.3500000;108.4000000;106.1600000;106.4000000;112934
140318;000000;106.2800000;106.8500000;105.8500000;106.6500000;86172
140319;000000;106.5900000;106.8700000;105.7100000;105.8400000;107802
140320;000000;105.8700000;106.7500000;105.4100000;106.2300000;122788
140321;000000;106.2500000;107.7700000;106.0100000;107.2000000;115628
140323;000000;106.9700000;107.0900000;106.8000000;106.8100000;199
140324;000000;106.7900000;107.5000000;106.4500000;106.5900000;88767
140325;000000;106.5900000;107.4800000;106.4400000;106.9300000;101035
140326;000000;106.9400000;107.3500000;106.4800000;107.0000000;88475
140327;000000;106.9200000;107.9900000;106.7700000;107.6900000;107360
140328;000000;107.7300000;108.3900000;107.6200000;107.9700000;91232
140330;000000;107.8900000;107.9700000;107.7800000;107.9200000;146
140331;000000;107.9500000;108.3300000;107.0500000;107.7000000;104113
140401;000000;107.5500000;107.7000000;105.0300000;105.3100000;52883
140402;000000;105.3300000;105.7600000;103.9600000;104.7000000;81871
140403;000000;104.5900000;106.2400000;104.4100000;106.1400000;58759
140404;000000;106.1100000;106.9100000;106.0400000;106.5700000;51933
140406;000000;106.3000000;106.3100000;106.0700000;106.1000000;311
140407;000000;106.1000000;106.6000000;105.1200000;105.9800000;53317
140408;000000;106.0000000;107.8000000;105.8000000;107.4800000;67034
140409;000000;107.5100000;108.1200000;107.1000000;107.9000000;66958
140410;000000;107.8800000;107.9100000;107.3300000;107.3900000;53550
140411;000000;107.3800000;107.9200000;107.0600000;107.1500000;74966
140413;000000;107.4900000;107.8800000;107.4900000;107.8500000;387
140414;000000;107.8000000;109.1400000;107.2800000;108.9600000;156814
140415;000000;108.8200000;109.7400000;108.3300000;109.1800000;133138
140416;000000;109.4300000;110.3500000;109.0000000;109.7100000;128754
140417;000000;109.6400000;110.1800000;109.0800000;109.7600000;103858
140420;000000;109.8300000;109.8900000;109.6800000;109.7200000;83
140421;000000;109.7000000;110.0500000;108.8900000;109.9600000;45441
140422;000000;109.8800000;109.9900000;108.5300000;109.3700000;119775
140423;000000;109.4900000;109.5400000;108.6000000;109.1400000;113032
140424;000000;109.2300000;110.6400000;109.0700000;110.4100000;122942
140425;000000;110.3900000;110.6300000;109.2500000;109.3900000;112353
140427;000000;109.5000000;109.7800000;109.4600000;109.7300000;221
140428;000000;109.7700000;110.2000000;107.8600000;108.1200000;132076
140429;000000;108.1300000;109.3700000;108.0000000;108.9100000;97716
