<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
140106;000000;1503.3900000;1503.3900000;1463.7500000;1463.7500000;16899853941
140108;000000;1463.7500000;1470.1900000;1460.4100000;1462.6700000;16027208644
140109;000000;1462.6700000;1470.6400000;1460.9900000;1464.9500000;20056139248
140110;000000;1464.9500000;1470.4300000;1454.7500000;1469.3900000;26014306595
140113;000000;1469.3900000;1482.4400000;1466.5100000;1477.2800000;29596722793
140114;000000;1477.2800000;1477.2800000;1453.9000000;1471.0600000;31230995484
140115;000000;1471.0600000;1487.8200000;1471.0600000;1485.7700000;34588970751
140116;000000;1485.7700000;1492.5500000;1478.4900000;1480.4300000;30825691118
140117;000000;1480.4300000;1495.0500000;1475.2900000;1484.8500000;31481519788
140120;000000;1484.8500000;1498.3700000;1483.2500000;1495.9400000;23823873748
140121;000000;1495.9400000;1507.0800000;1495.9400000;1503.6000000;32920309250
140122;000000;1503.6000000;1505.0900000;1490.9900000;1498.7300000;42599589813
140123;000000;1498.7300000;1511.6900000;1493.7900000;1493.7900000;36924884218
140124;000000;1491.6000000;1497.6700000;1483.8200000;1492.7200000;50458496617
140127;000000;1490.2100000;1495.2700000;1476.2700000;1477.8700000;46236592629
140128;000000;1478.9300000;1486.0300000;1467.9800000;1470.8300000;39833131971
140129;000000;1473.5200000;1494.4000000;1459.9700000;1463.1100000;51739848074
140130;000000;1463.6500000;1473.4200000;1444.4500000;1463.6000000;52405227882
140131;000000;1462.6000000;1470.5600000;1448.3800000;1454.0500000;42264453229
140203;000000;1456.6800000;1463.5400000;1439.5200000;1440.9000000;32778246789
140204;000000;1435.5100000;1442.6200000;1426.2900000;1441.7900000;35953450593
140205;000000;1442.5800000;1460.7300000;1437.6300000;1456.0000000;32228722826
140206;000000;1456.0000000;1469.0700000;1454.4400000;1463.9600000;28543630077
140207;000000;1470.4200000;1480.6000000;1469.1900000;1478.2200000;30965552387
140210;000000;1479.3200000;1485.3200000;1475.6600000;1475.9000000;23411352583
140211;000000;1477.2600000;1488.9400000;1473.3000000;1483.5700000;26102577251
140212;000000;1487.5900000;1498.6200000;1487.5900000;1498.0800000;28049402947
140213;000000;1493.4800000;1493.4800000;1475.4100000;1478.7700000;28254062183
140214;000000;1483.2000000;1497.9300000;1482.2800000;1494.3200000;30474386521
140217;000000;1499.4400000;1515.2800000;1499.4400000;1507.4900000;28079414670
140218;000000;1507.7800000;1518.1200000;1500.4200000;1504.2400000;29676093042
140219;000000;1503.7600000;1507.9200000;1482.0300000;1485.6000000;42334867727
140220;000000;1478.9800000;1482.4000000;1467.5400000;1480.9900000;33694582444
140221;000000;1484.2200000;1492.3400000;1483.7900000;1487.6400000;23318948666
140224;000000;1486.7000000;1491.7700000;1480.0300000;1489.0100000;19772900486
140225;000000;1491.2400000;1495.1300000;1472.4400000;1478.6400000;28414020573
140226;000000;1480.3100000;1486.1100000;1465.2200000;1469.5100000;35931158697
140227;000000;1470.3500000;1476.2600000;1431.6200000;1448.7000000;52734826934
140228;000000;1449.3800000;1456.4300000;1429.2800000;1444.7100000;49924435497
140303;000000;1410.9800000;1410.9800000;1261.8400000;1288.8100000;114796601349
140304;000000;1292.4300000;1365.2100000;1292.4300000;1356.5400000;93980994812
140305;000000;1357.6700000;1364.0300000;1330.6700000;1351.1100000;51458666467
140306;000000;1352.3700000;1370.3600000;1301.9600000;1337.9800000;73730707234
140307;000000;1335.7000000;1359.1800000;1322.1000000;1339.3600000;49801950288
