<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
140101;000000;32.8700000;32.9400000;32.7800000;32.8400000;0
140102;000000;32.8500000;33.2000000;32.8400000;33.1100000;0
140103;000000;33.1100000;33.2200000;33.0100000;33.2000000;0
140104;000000;33.2000000;33.2100000;33.1600000;33.1800000;0
140106;000000;33.1900000;33.2900000;33.1400000;33.1900000;0
140107;000000;33.1900000;33.2600000;33.0900000;33.1400000;0
140108;000000;33.1400000;33.2200000;33.0400000;33.1500000;0
140109;000000;33.1800000;33.2700000;33.0500000;33.2100000;0
140110;000000;33.2300000;33.3000000;32.9400000;32.9900000;0
140111;000000;33.0300000;33.0700000;32.9800000;32.9900000;0
140112;000000;32.9900000;32.9900000;32.9900000;32.9900000;0
140113;000000;33.0300000;33.3000000;33.0200000;33.2800000;0
140114;000000;33.2800000;33.3700000;33.2000000;33.3000000;0
140115;000000;33.3100000;33.4500000;33.2900000;33.4000000;0
140116;000000;33.4100000;33.4600000;33.3300000;33.3800000;0
140117;000000;33.4100000;33.6100000;33.3800000;33.5900000;0
140118;000000;33.6000000;33.6200000;33.5800000;33.5900000;0
140120;000000;33.5800000;33.8200000;33.5600000;33.7600000;0
140121;000000;33.7800000;34.0000000;33.7500000;33.9300000;0
140122;000000;33.9300000;33.9800000;33.8100000;33.9300000;0
140123;000000;33.9500000;34.2000000;33.9200000;34.1400000;0
140124;000000;34.1400000;34.6200000;34.0700000;34.5100000;0
140125;000000;34.5000000;34.5400000;34.4800000;34.4800000;0
140127;000000;34.4800000;34.8600000;34.4200000;34.6700000;0
140128;000000;34.6800000;34.8600000;34.4300000;34.7100000;0
140129;000000;34.7600000;35.2800000;34.4400000;35.1700000;0
140130;000000;35.1800000;35.4500000;34.7800000;34.9000000;0
140131;000000;34.9200000;35.3500000;34.8400000;35.1600000;0
140201;000000;35.1800000;35.1800000;35.1100000;35.1100000;0
140202;000000;35.1300000;35.1300000;35.1300000;35.1300000;0
140203;000000;35.1100000;35.4700000;35.0800000;35.4400000;0
140204;000000;35.4400000;35.5500000;34.9500000;34.9700000;0
140205;000000;34.9900000;35.0900000;34.6400000;34.8700000;0
140206;000000;34.8934000;34.9337000;34.5848000;34.7102000;7669
140207;000000;34.7300000;34.8300000;34.5300000;34.7500000;10
140208;000000;34.7400000;34.8000000;34.7000000;34.8000000;0
140209;000000;34.7500000;34.8000000;34.7500000;34.7800000;0
140210;000000;34.8000000;34.8500000;34.6700000;34.7400000;0
140211;000000;34.7500000;34.8800000;34.6700000;34.7400000;0
140212;000000;34.7500000;34.8400000;34.7100000;34.8300000;0
140213;000000;34.8400000;35.2700000;34.7700000;35.1200000;0
140214;000000;35.1400000;35.3800000;34.9600000;35.1100000;0
140215;000000;35.1200000;35.2000000;35.0600000;35.0900000;0
140216;000000;35.0900000;35.1000000;35.0900000;35.1000000;0
140217;000000;35.0800000;35.2900000;35.0000000;35.2100000;0
140218;000000;35.2200000;35.4800000;35.1600000;35.4700000;0
140219;000000;35.4800000;35.8700000;35.4100000;35.7800000;0
140220;000000;35.7900000;35.9300000;35.6400000;35.7700000;0
140221;000000;35.8000000;35.8900000;35.4500000;35.4900000;0
140222;000000;35.5100000;35.5700000;35.4600000;35.5700000;0
140223;000000;35.4900000;35.5700000;35.4900000;35.5700000;0
140224;000000;35.5300000;35.6300000;35.3600000;35.4700000;0
140225;000000;35.4800000;35.7300000;35.4500000;35.7200000;0
140226;000000;35.7200000;36.0500000;35.6700000;36.0200000;0
140227;000000;36.0300000;36.2600000;35.9800000;36.0400000;0
140228;000000;36.0700000;36.2100000;35.7900000;35.9700000;0
140301;000000;35.9800000;36.1000000;35.9500000;35.9500000;0
140302;000000;35.8700000;35.8800000;35.8700000;35.8800000;0
140303;000000;36.0600000;36.8700000;35.9700000;36.5100000;0
140304;000000;36.5200000;36.5700000;36.0000000;36.0800000;0
140305;000000;36.0900000;36.2000000;35.9000000;36.0400000;0
140306;000000;36.0300000;36.3500000;36.0100000;36.1300000;0
140307;000000;36.1300000;36.4700000;36.0900000;36.4400000;0
